Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/17/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.4719395745,16441.3812596351,16586.1922970903,17927.4120263906,19081.570288414,19356.4208651472,20619.5658496388,20671.545738502,20433.6541088167,20834.9397101237,22566.6821576324,23302.8319880055,24015.4206122701,25921.5382341406,27549.8894224976,24640.4212441218,24289.1415161326,25353.7875446441,,,,
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3238.0914624024,3497.9103153491,4217.4029146143,5343.1183256133,6320.971878047,7168.3996534753,7151.5704814873,7751.1672996784,9127.6088693862,11819.6492070738,12377.7159819699,10372.3265550741,9611.239684209,8023.3464217276,7729.3241153517,7775.0269368502,10362.1668559332,12615.0511216815,14305.2085377854,15166.9138405885,18876.729351928,19530.8435047204,20541.7738959473,16508.8752202349,16226.971079738,18460.007428295,19038.7988311469,18405.3200974733,18969.9779859045,19323.8925471569,21432.9600712136,21897.6629394768,24175.3727542522,31742.9925847537,37235.4500323146,39990.3304085679,42417.2291456984,47253.5297963111,46735.9995745016,42701.447136255,39639.386021211,41630.0525792977,39666.3692147448,42806.5225532934,,
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7876807072,59.8900369372,58.5059950141,78.8025868555,82.2313945581,101.321627084,137.9467828757,161.3847017598,129.5623184484,129.8573781694,157.2584607676,160.443151793,136.1756113489,144.1739444069,175.0270977411,188.085136087,199.1648093241,226.1964266735,249.5737098222,278.3906251718,275.6498281322,267.6624236227,,,,,,,,,,,,,,,,,,,,119.8990371116,192.1535282788,203.6510409232,224.9147121934,257.1757946563,280.2456441069,380.4009551866,384.1316812768,458.9557815858,569.9407287933,622.3796543585,690.842629015,666.7950510965,633.5692469519,
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,685.9259743541,666.8687189969,649.8813090051,633.9073336855,926.600626626,901.0473673681,1056.3483399549,479.7287223313,430.9851556805,245.167740669,387.9574927396,560.6755165948,554.252232901,454.2965495189,421.3767773336,606.2722922443,574.1941611374,948.8443995727,1067.1789161539,1361.7442252858,2063.9222021292,2825.0734902496,3402.1459800335,4462.1253508558,3565.1815885091,3928.8245135436,5053.7386489293,5531.7762986967,5900.5295698989,,
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,662.5200523091,662.9147925671,719.1572957039,699.3842920867,676.56673252,723.4096102379,639.4638992899,348.711317787,218.4921659026,380.5273710843,619.0651634471,760.5593757741,1046.3585105892,749.5846489725,865.3021618451,1098.4254633894,1175.788980734,1326.9703392934,1453.6427766085,1890.6815574355,2416.5882350701,2709.142930562,3005.0129033756,3603.0136852028,4370.5396465316,4114.1365448197,4094.3588320383,4437.8119990023,4247.485436815,4411.2582405608,4564.3903386929,
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,220.494685429,236.761838883,254.249137901,287.506660256,333.2358469784,412.1664131538,767.9818430824,824.4961512748,994.9807102084,1112.0419686378,1189.4155215394,1552.7854240459,2046.4865003519,2041.2030099409,1843.7863254032,1677.4798434841,1650.5000766882,1580.252659213,1460.2315658879,1535.5072047539,1467.5361080435,1497.2929497592,2000.0038155004,1914.3232544358,2012.9835578744,1983.8219142894,1978.1784099543,2059.8817822646,2224.0315110219,2307.4731865643,2178.5803701791,2323.3287163435,2597.363747473,2502.4941634314,2469.6781135609,2728.4039612141,3130.3770689378,3763.0712850705,4358.2972851318,4985.822104241,6171.0312850115,5209.1449157007,5955.0647563847,6911.5668593506,7465.1458639121,7498.2281023109,7386.4284437148,
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,27708.7195506655,30886.5717699381,34407.9812874137,28735.8033334866,33673.4193402514,42878.854380409,45131.3356812396,40244.8374519623,35135.8686387129,32655.3718742793,30067.1341631547,23727.6987976109,23953.3405440863,22476.971471363,24218.5527454209,27989.301267604,26945.6591464759,26864.1881075461,26141.3306464453,26495.8215612079,27973.7428158486,29813.3723096431,30378.5453428093,27681.310528386,29278.7686208249,34207.5389498903,32105.6478664635,32355.4095972427,34294.8939976005,37179.6818919642,40298.5242178562,42950.1005841305,42913.7840342254,45720.0178979792,32905.0538494054,34341.9112921486,39901.2209155518,41712.1242109135,42831.0891322689,43962.7136932011,
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1148.5799570666,845.0769887802,1166.3175589532,1272.0105530913,1266.3450445928,1057.7557537219,1136.5180765257,1324.0826542522,1317.4875351987,1366.3545582686,1401.4877379927,2083.9722181289,2824.6510253349,2011.6890403249,1932.5907090831,2112.5010161794,2129.3137150525,2501.4811143039,2738.2846257575,2756.3967881861,2907.757426435,3530.1316632923,2643.3691330959,2909.5168016203,3595.0861312457,3546.7188201556,3969.3276613413,2375.3392499715,4318.7745675551,5715.5040522025,6798.0271667107,6940.3513753902,7449.4806053363,7373.4274028801,7683.5738479082,8172.6652353431,8248.7647199027,7736.3725779273,7669.2737085844,7170.6896981936,2579.2016382104,3330.4098205646,4696.0701108867,5640.8485028359,6639.9094346175,8239.1371613464,9999.0935169352,9231.38290042,11198.6425666859,13392.9169036445,14357.4115893903,14443.0656513599,12509.5311180615,
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.6806899965,589.0029482239,368.9168367934,356.5073514422,399.7512025223,455.5502760862,503.2319696202,522.5220720402,608.3366487308,596.505996304,621.4248263189,692.3016308889,779.8296261316,924.4640098178,1181.9684454224,1625.4077691268,2126.6186610718,3080.9709594357,3919.9754738106,2915.5839059087,3124.784017862,3417.1718359992,3565.5175749254,3716.8289225446,3873.5335658068,
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
