year,Brazil,Ghana
1960,209.1987851411,182.9792462247
1961,203.9551541682,189.7132145619
1962,258.7576685374,195.1200160771
1963,290.0582841423,210.9689784984
1964,259.4669688136,230.4312919171
1965,259.004152121,266.3187148775
1966,312.8819081493,269.4592355726
1967,344.2945120366,216.8414795791
1968,371.3930967497,202.7618610452
1969,400.2628588745,233.6512697914
1970,440.9931062946,257.652031459
1971,500.0341120468,273.8227964092
1972,580.4884952537,232.5398623323
1973,767.3098515096,263.6859639697
1974,993.2896412467,301.3666732093
1975,1140.9011495971,285.8294665705
1976,1374.5357580132,275.8779229477
1977,1548.3982668557,312.9993439014
1978,1723.1372346666,353.7091805391
1979,1885.0910571786,381.0364486337
1980,1923.2826152137,411.5180308742
1981,2106.6789566193,379.7976752887
1982,2199.7019928049,351.319205748
1983,1551.7730360365,341.0870732545
1984,1560.4557886204,358.3965861075
1985,1629.2649091607,354.2197112846
1986,1919.8648036438,437.0889481059
1987,2064.6540114113,376.4604228896
1988,2276.2405561,375.2250190116
1989,2879.4998702858,368.9981979909
1990,3071.6279531441,402.588881651
1991,3942.4039411955,438.5203726006
1992,2578.2070086443,414.5616397031
1993,2774.174126945,375.0653336379
1994,3482.5298163741,333.2178249908
1995,4827.1524426348,385.7252601996
1996,5163.2658126966,403.9197548286
1997,5279.1112978472,392.2518164242
1998,5083.7009642494,416.3262485488
1999,3476.1440381963,419.8855508847
2000,3738.7194117205,264.7025761681
2001,3136.4967334247,275.4723720594
2002,2810.2307896012,311.6168250278
2003,3044.2550266916,375.8807044609
2004,3597.9788356531,426.1592342406
2005,4733.1641810725,501.7240745507
2006,5809.1890959459,929.7266285841
2007,7240.9239833775,1099.0223125796
2008,8700.4552018376,1234.0799001109
2009,8462.5083455869,1095.5032324553
2010,11124.2457796398,1323.0991405686
2011,13042.4219326201,1587.1908727476
2012,11922.5130576782,1641.8259218244
2013,11711.004404501,1827.1013677999
2014,11384.4150095055,1441.6364531117
