id,ug_cm2,erro
AFR1,11.5006532358,0.2981085701
AFR2,0.2159045736,0.0421618784
AFR3,5.9691648368,0.1434554143
AFR4,1.7504915915,0.0398125751
AFR5,1.1472405946,0.0347679045
AFR6,10.5911123116,0.2725038256
AFR7,6.4746553117,0.1574050337
AFR8,3.4449496408,0.0759847835
AFR9,2.1705862111,0.0468279865
AFR10,2.1954032871,0.0473037947
AFR11,7.996726037,0.1997397556
AFR12,6.5558653292,0.159652517
AFR13,0.4864387834,0.0383222
AFR14,0.212284662,0.0422203427
AFR15,5.0878862374,0.1193550777
AFR16,4.4584479595,0.1024046985
AFR17,3.6708745044,0.0817384103
AFR18,0.3599532539,0.0399802441
AFR19,3.5426402805,0.0784602304
AFR20,0.3411650357,0.0402479855
AFR21,8.4846898578,0.2133827146
AFR22,3.2156848979,0.0702619274
AFR23,5.8487769955,0.1401446876
AFR24,6.4746553117,0.1574050337
AFR25,6.8330004417,0.1673336437
AFR26,4.367085691,0.0999704638
AFR27,1.728510771,0.0395101818
AFR28,2.4466347322,0.0524103683
AFR29,10.9147130264,0.2816095912
AFR30,10.1814020248,0.2609822898
AFR31,2.1398000105,0.0462458198
AFR32,0.3336767126,0.0403561638
AFR33,5.8998869251,0.1415496346
AFR34,3.1022385246,0.0674823558
AFR35,11.1235870407,0.2874895134
AFR36,10.6535805061,0.2742612364
AFR37,1.0141754085,0.0347078027
AFR38,4.611962956,0.1065115962
AFR39,8.0273061351,0.2005939518
AFR40,9.6658584475,0.2464977616
AFR41,4.8874173088,0.113926682
AFR42,0.2195280745,0.0421035255
AFR43,10.6535805061,0.2742612364
AFR44,6.9000537064,0.1691945743
AFR45,4.0434849761,0.0914179657
AFR46,4.7221512153,0.1094711732
AFR47,3.6153650766,0.0803155753
AFR48,2.0729697118,0.045014449
AFR49,9.1301253139,0.2314642944
AFR50,0.311303375,0.0406842665
AFR51,8.1522516528,0.2040852138
AFR52,1.7066613762,0.0392171081
AFR53,0.5177727408,0.0379526901
AFR54,1.1895416503,0.0348726515
AFR55,6.76715541,0.1655071487
AFR56,7.6762234999,0.1907942561
AFR57,8.1206124907,0.2032009719
AFR58,8.2816209288,0.2077019576
AFR60,7.2303442179,0.1783737064
AFR61,0.7241023802,0.0359758612
AFR62,0.605352759,0.0370136126
AFR63,0.6703920802,0.0364103269
AFR64,7.7895442202,0.1939555975
AFR66,4.7346019953,0.1098061692
AFR67,4.8102109075,0.1118428697
AFR69,5.6192836373,0.1338479405
AFR72,7.0379682018,0.1730249098
AFR73,6.7889721935,0.1661122299
AFR74,9.4330217218,0.2399615252
AFR75,7.5934810882,0.188487092
AFR76,6.76715541,0.1655071487
AFR77,6.0397815346,0.1453996417
AFR78,8.0273061351,0.2005939518
AFR79,5.3586990293,0.1267241188
AFR80,7.6484340093,0.1900192744
AFR81,9.4330217218,0.2399615252
AFR82,8.3480645846,0.2095602145
AFR83,10.1264491036,0.2594376184
AFR85,6.1852455311,0.1494094534
AFR86,9.3001234254,0.2362324621
AFR87,6.2791915892,0.1520024342
AFR88,7.7895442202,0.1939555975
AFR89,0.5374937838,0.0377290059
AFR90,0.695083393,0.0362032855
AFR91,0.8511476337,0.0351901336
AFR92,0.7324360221,0.0359137698
AFR93,2.8703869715,0.0619337686
AFR94,0.5692705092,0.0373833744
AFR95,0.7241023802,0.0359758612
AFR96,0.7407887124,0.0358529921
AFR97,0.8640985051,0.0351298138
AFR98,1.3588644776,0.0356948865
AFR99,0.695083393,0.0362032855
AFR100,1.1100463764,0.0347098204
AFR101,4.0331766466,0.0911475248
AFR102,10.1264491036,0.2594376184
AFR103,0.1584119361,0.0431099594
AFR104,0.2449936855,0.0416982689
AFR105,4.1481998885,0.0941726067
AFR106,4.0331766466,0.0911475248
AFR107,0.1655492438,0.0429900361
AFR108,4.0954673661,0.0927837594
AFR109,7.8769021745,0.196393815
AFR110,9.2568767621,0.2350192579
AFR111,0.1834537401,0.0426919407
AFR112,4.4239188799,0.1014838
AFR113,9.1301253139,0.2314642944
AFR114,1.1193095002,0.0347212982
AFR115,5.8318979798,0.1396809052
AFR116,5.1994765994,0.1223869004
AFR117,0.7366099808,0.0358832157
AFR118,8.9281788854,0.2258029721
AFR119,0.2632926742,0.0414123905
AFR120,1.5729851552,0.0375971211
AFR121,4.6973762024,0.1088049273
AFR122,3.0546764598,0.0663288113
AFR123,10.5911123116,0.2725038256
AFR124,3.7462235737,0.0836784655
AFR125,0.2050555788,0.0423376015
AFR126,0.6134196506,0.0369343172
AFR127,4.064189283,0.0919615524
AFR128,6.5558653292,0.159652517
AFR129,4.6850514002,0.1084736618
AFR130,0.1762814113,0.0428108802
AFR132,10.8476597617,0.2797223989
AFR133,1.995532576,0.0436471823
AFR134,0.8083065757,0.0354160917
AFR135,9.5709362173,0.2438326478
AFR136,6.2602081678,0.1514782776
AFR137,0.5732620993,0.0373412701
AFR138,6.7454681036,0.1649057591
AFR139,6.7024758384,0.1637138835
AFR140,3.0389590145,0.0659492391
AFR141,11.1235870407,0.2874895134
AFR142,6.6179795793,0.1613725879
AFR143,11.3451276201,0.2937279467
AFR144,4.3783818372,0.1002710094
AFR145,8.626622276,0.2173556659
AFR146,0.1158783766,0.0438372042
AFR147,4.6973762024,0.1088049273
AFR148,1.237124359,0.03503923
AFR149,4.1375923328,0.0938929658
AFR150,4.9266409454,0.1149868418
AFR151,0.4169045426,0.0392017569
AFR152,4.311122876,0.0984833602
AFR153,5.6672620122,0.1351626902
AFR154,0.2376996703,0.0418134714
AFR155,10.6535805061,0.2742612364
AFR156,11.5006532358,0.2981085701
AFR157,10.5296940525,0.2707761344
AFR158,9.9663811623,0.2549392343
AFR159,11.9211511331,0.3099568719
AFR160,5.4334317032,0.1287640724
AFR161,12.1988264629,0.3177840793
AFR162,2.4801299291,0.0531263269
AFR163,0.2706380041,0.041298915
AFR164,6.5558653292,0.159652517
AFR165,3.7941181046,0.0849165501
AFR166,4.5879214193,0.1058671227
AFR167,3.1262537286,0.0680675371
AFR168,1.3243664429,0.0354762143
AFR169,6.0936542605,0.1468839311
AFR170,8.662983774,0.2183738012
AFR171,11.0526275218,0.2854917578
AFR172,10.8476597617,0.2797223989
AFR173,7.9363230024,0.1980528483
AFR174,7.7324446149,0.1923624549
AFR175,10.4692910178,0.2690771807
AFR176,8.4846898578,0.2133827146
AFR177,1.3837068601,0.0358680626
AFR178,8.7368105353,0.2204413539
AFR179,2.7020911474,0.0580407377
AFR180,0.7997983055,0.0354657507
AFR181,7.5934810882,0.188487092
AFR182,8.3146917463,0.2086268038
AFR183,3.8720794699,0.0869395537
AFR184,1.9837634824,0.0434453346
AFR185,0.2559620791,0.0415263712
AFR187,4.5759597052,0.1055466441
AFR188,7.1089277206,0.1749970869
AFR189,0.1441790051,0.0433509372
AFR190,10.78181473,0.2778694053
AFR191,9.7633122333,0.2492345589
AFR192,2.9004636877,0.0626423321
AFR193,11.2697785507,0.2916059513
AFR194,3.992231676,0.0900746788
AFR195,1.3737496322,0.0357970862
AFR196,0.8425391482,0.03523229
AFR197,6.39521087,0.1552079958
AFR198,4.8229658957,0.1121868505
AFR199,7.4334131469,0.1840266477
AFR201,0.2743162131,0.0412423698
AFR202,7.7324446149,0.1923624549
AFR203,6.7024758384,0.1637138835
AFR204,4.3000324263,0.0981890251
AFR205,5.1016500969,0.1197286585
AFR206,3.8918324931,0.0874535673
AFR207,5.2422174421,0.1235499038
AFR209,6.375616719,0.1546663675
AFR211,3.6615641799,0.0814993762
AFR213,4.9398096097,0.1153429932
AFR214,3.992231676,0.0900746788
AFR215,5.0741740247,0.1189830059
AFR216,3.6895666188,0.0822187757
AFR217,3.1992610482,0.0698571957
AFR218,3.8918324931,0.0874535673
AFR220,3.1423519943,0.068460799
