quartzo,teflon,tot.ugcm2,Tot.incerteza,Incerteza.efetiva,refletancia,ajuste,ajuste.incerteza
branco,branco,0,0.1,0.1,100,0.00,0.12
GHA408QC,ACC431MS,6.24,0.51,0.7,29.5,6.96,0.44
GHA407QC,ACC431MS,7.05,0.54,0.8,29.5,6.96,0.44
GHA405QC,ACC421MS,6.98,0.55,0.8,26.2,7.68,0.28
GHA346QC,ACC366MS,8.08,0.55,0.9,26.2,7.68,0.28
GHA315QC,ACC020MS,7.48,0.57,0.9,24.2,8.17,0.23
GHA342QC,ACC312MS,10.11,0.58,1.1,22.8,8.55,0.21
GHA343QC,ACC312MS,10.72,0.6,1.2,22.8,8.55,0.21
GHA423QC,ACC692MS,9.07,0.6,1.0,22.5,8.63,0.21
GHA422QC,ACC692MS,9.28,0.6,1.0,22.5,8.63,0.21
GHA413QC,ACC654MS,9.67,0.62,1.1,22.2,8.72,0.21
GHA330QC,ACC145MS,9.87,0.62,1.1,22.1,8.75,0.21
GHA418QC,ACC675MS,11,0.63,1.2,21.5,8.93,0.20
GHA424QC,ACC708MS,8.47,0.63,1.0,21.3,8.99,0.20
GHA426QC,ACC708MS,10.3,0.63,1.1,21.3,8.99,0.20
GHA442QC,AFR077MS,6.73,0.65,0.8,20.5,9.24,0.20
GHA440QC,ACC471MS,8,0.66,0.9,20.1,9.37,0.20
GHA347QC,ACC387MS,14.82,0.66,1.6,19.6,9.54,0.21
GHA416QC,ACC672MS,12.08,0.68,1.3,19.5,9.58,0.21
GHA417QC,ACC672MS,12.42,0.68,1.3,19.5,9.58,0.21
GHA308QC,GHA910MS,9.2,0.68,1.1,19.2,9.68,0.21
GHA415QC,ACC657MS,8.41,0.69,1.0,19.1,9.72,0.21
GHA414QC,ACC657MS,8.6,0.7,1.0,19.1,9.72,0.21
GHA304QC,GHA833MS,8.62,0.7,1.0,19.1,9.72,0.21
GHA420QC,ACC683MS,10.38,0.71,1.2,18.6,9.91,0.21
GHA404QC,ACC391MS,9.7,0.71,1.1,17.6,10.30,0.21
GHA411QC,ACC641MS,10.13,0.72,1.2,17.4,10.38,0.21
GHA341QC,ACC290MS,16.27,0.72,1.7,17.2,10.47,0.21
GHA404QC,ACC412MS,9.7,0.72,1.1,17,10.55,0.21
GHA445QC,AFR055MS,10.8,0.74,1.2,16.8,10.64,0.21
GHA320QC,ACC047MS,11.59,0.74,1.3,16.8,10.64,0.21
GHA311QC,GHA945MS,9.93,0.74,1.2,16.4,10.82,0.22
GHA310QC,GHA945MS,9.98,0.74,1.2,16.4,10.82,0.22
GHA303QC,GHA820MS,10.8,0.75,1.2,16.4,10.82,0.22
GHA446QC,ACC983MS,18.21,0.75,1.9,16.3,10.87,0.22
GHA301QC,GHA750MS,7.66,0.78,1.0,15.8,11.11,0.23
GHA305QC,GHA884MS,8.06,0.8,1.0,15.5,11.26,0.24
GHA329QC,ACC150MS,10.35,0.82,1.2,15.2,11.42,0.25
GHA428QC,ACC709MS,10.78,0.82,1.3,14.9,11.58,0.26
GHA429QC,ACC709MS,11.01,0.84,1.3,14.9,11.58,0.26
GHA402QC,ACC408MS,16.16,0.91,1.7,14.5,11.80,0.27
GHA430QC,ACC718MS,12.45,0.93,1.4,14.4,11.86,0.28
GHA335QC,ACC199MS,12.79,0.94,1.5,13.3,12.54,0.35
GHA344QC,ACC326MS,19.99,0.98,2.1,13.3,12.54,0.35
GHA438QC,AFR080MS,14.25,1.01,1.6,13.2,12.61,0.36
GHA441QC,AFR056MS,15.65,1.01,1.7,13.1,12.68,0.36
GHA448QC,ACC981MS,24.2,1.05,2.5,11.8,13.66,0.48
GHA300QC,GHA736MS,8.69,1.11,1.3,11.3,14.09,0.54
GHA436QC,ACC987MS,18.69,1.13,2.1,11.2,14.19,0.55
GHA435QC,ACC982MS,14.51,1.2,1.9,9.8,15.66,0.74
GHA302QC,GHA777MS,17.06,1.25,2.2,9.2,16.42,0.84
GHA307QC,GHA893MS,20.95,1.41,2.8,7.8,18.66,1.22
GHA434QC,ACC995MS,24.91,1.45,5.0,5,26.97,4.60
