,ref policarbonado,TOT_ug_cm2,incerteza_TOT,efetiva
branco,100,0,0.6518374846,0.7084310886
PIE01-JQ,32.4,8.8767661262,0.7202926379,0.7557683316
PIE02-JQ,20.3,6.3425759497,0.5803134527,0.6233422996
PIE03-JQ,30.2,7.46558108,0.6618585755,0.7048612046
PIE04-JQ,4.9,14.3768198279,0.9976380169,1.0856218162
PIE05-JQ,26.6,10.6361992562,0.7971169423,0.8415139455
PIE06-JQ,16.3,7.9372676203,0.6829335154,0.7302578407
PIE07-JQ,41.9,6.7249137863,0.6081305278,0.6335496754
PIE08-JQ,43.2,5.2352648426,0.5453673965,0.572203291
PIE09-JQ,34.3,3.4455470485,0.4375843319,0.4638188026
PIE10-JQ,36.7,6.7630698681,0.6242236278,0.6567032105
PIE11-JQ,29.9,5.4044941929,0.5292645951,0.5568294361
PIE12-JQ,34.7,6.8548890965,0.6313239764,0.6668511034
PIE13-JQ,7.7,10.5977416829,0.8040377667,0.882659467
PIE14-JQ,31.4,8.2828889746,0.7002144401,0.7399609366
PIE15-JQ,30.2,4.6443219097,0.4872397312,0.516582467
PIE16-JQ,36.9,6.7651213116,0.6218602199,0.6541240961
