Monarch21,ug_cm2,erro_ug_cm2,Ref1_iag2007,Ref2_iag2007,Ref3_iag2007,RefMedia_iag2007,Log10Ref,BC_ajustado
branco,0,0.25,100,100,100,100,2,0
BC 02,8.08,0.25,33.8,33.6,33.9,33.77,1.53,8.21
BC 03,2.87,0.25,65.6,66,66.6,66.07,1.82,2.33
BC 04,2.52,0.3,69,68.5,69,68.83,1.84,2.05
BC 05,3.5,0.26,61,60.8,60.7,60.83,1.78,2.91
BC 06,0.86,0.34,84,83.2,83.9,83.7,1.92,0.89
BC 07,2.8,0.38,68.3,67.9,67.8,68,1.83,2.13
BC 08,4.75,0.25,51.5,50.5,51.3,51.1,1.71,4.26
BC 09,2.66,0.25,68.2,67.8,68.5,68.17,1.83,2.12
BC 10,1.34,0.25,81.2,80.7,81.3,81.07,1.91,1.06
BC 12,2.59,0.3,69.4,68.9,69.4,69.23,1.84,2.02
BC 13,3.22,0.25,60.4,59.9,60.3,60.2,1.78,2.98
BC 14,2.73,0.25,61.4,61.3,61.3,61.33,1.79,2.85
BC 15,2.04,0.25,69.9,69.5,70.2,69.87,1.84,1.96
BC 16,2.52,0.25,64.9,64.7,65.1,64.9,1.81,2.45
BC 17,3.98,0.25,52.8,52.4,53,52.73,1.72,4.01
BC 18,5.37,0.3,42.9,42.7,42.9,42.83,1.63,5.82
BC 19,2.66,0.39,63,62.6,63.2,62.93,1.8,2.66
BC 20,3.01,0.25,60,59.4,60,59.8,1.78,3.03
BC 21,3.56,0.25,55,55,55.4,55.13,1.74,3.65
BC 22,1.27,0.25,73.6,73.6,74,73.73,1.87,1.62
BC 23,2.87,0.25,58.6,58.5,58.8,58.63,1.77,3.18
BC 24,2.87,0.25,58,58.2,58.5,58.23,1.77,3.23
BC 25,1.41,0.25,73.7,73.5,73.4,73.53,1.87,1.63
BC 26,2.38,0.25,59.9,59.8,60.3,60,1.78,3.01
BC 27,2.45,0.25,62.3,62.1,62.3,62.23,1.79,2.74
BC 28,5.79,0.25,43.3,43.2,43.4,43.3,1.64,5.72
BC 29,6,0.25,42.9,42.9,42.7,42.83,1.63,5.82
BC 30,5.72,0.26,44.7,44.4,44.6,44.57,1.65,5.46
BC 31,3.98,0.25,50.9,50.4,51,50.77,1.71,4.32
BC 32,5.44,0.34,47.3,47.3,47.4,47.33,1.68,4.92
BC 33,6,0.3,44.5,44.3,44.6,44.47,1.65,5.48
BC 34,5.51,0.25,44.4,43.9,44.4,44.23,1.65,5.52
BC 35,2.18,0.26,69.4,69.6,69.7,69.57,1.84,1.98
BC 36,2.31,0.3,68.5,69,69.2,68.9,1.84,2.05
BC 37,2.59,0.25,64.8,64.8,64.9,64.83,1.81,2.46
BC 38,3.5,0.25,56.8,57.1,57.4,57.1,1.76,3.38
BC 39,2.18,0.25,67.2,67.4,67.6,67.4,1.83,2.19
BC 40,1.41,0.25,76.8,77,77.2,77,1.89,1.36
BC 41,0.79,0.25,82.9,83.4,83.5,83.27,1.92,0.92
BC 42,1.13,0.25,71.6,71.4,73.2,72.07,1.86,1.76
BC 43,1.55,0.34,77.1,77.1,77.8,77.33,1.89,1.33
BC 44,6.27,0.25,40.5,40.4,40.8,40.57,1.61,6.34
BC 45,1.13,0.25,76.5,76.5,77.3,76.77,1.89,1.38
BC 46,4.33,0.3,49.8,49.8,50.3,49.97,1.7,4.45
BC 47,3.29,0.31,55.8,56,56.3,56.03,1.75,3.52
BC 48,5.72,0.25,42.3,42.2,42.6,42.37,1.63,5.92
