Quartz.Filter,Teflon.Filter,EC.ug.sq.cm.,EC.unc,Efect.unc,EF.unc_sampling,Refl,unc.refl,unc.Log(refle)
,,0,0.1,0.1176912669,0.1179628514,100,1.0621918713,0.0046130407
GHA408QC,ACC431MS,6.24,0.51,0.5511483659,0.7436162728,29.5,1.0621918713,0.015637426
GHA442QC,AFR077MS,6.73,0.54,0.6371232439,0.8341466226,20.5,1.0621918713,0.0225026375
GHA405QC,ACC421MS,6.98,0.55,0.6007381414,0.8201810011,26.2,1.0621918713,0.0176070255
GHA407QC,ACC431MS,7.05,0.55,0.5883574774,0.8150217919,29.5,1.0621918713,0.015637426
GHA315QC,ACC020MS,7.48,0.57,0.6298390615,0.8687806417,24.2,1.0621918713,0.0190621516
GHA301QC,GHA750MS,7.66,0.58,0.7716185734,0.9853522532,15.8,1.0621918713,0.02919646
GHA440QC,ACC471MS,8,0.6,0.6936718947,0.9438117913,20.1,1.0621918713,0.0229504512
GHA305QC,GHA884MS,8.06,0.6,0.7975765008,1.0256194785,15.5,1.0621918713,0.0297615528
GHA346QC,ACC366MS,8.08,0.6,0.6468278864,0.9144502581,26.2,1.0621918713,0.0176070255
GHA415QC,ACC657MS,8.41,0.62,0.7250594486,0.9891264044,19.1,1.0621918713,0.0241520455
GHA424QC,ACC708MS,8.47,0.62,0.6976254927,0.9725343635,21.3,1.0621918713,0.021657468
GHA414QC,ACC657MS,8.6,0.63,0.7336287917,1.0057610074,19.1,1.0621918713,0.0241520455
GHA304QC,GHA833MS,8.62,0.63,0.7336287917,1.0068561784,19.1,1.0621918713,0.0241520455
GHA300QC,GHA736MS,8.69,0.63,1.1134787908,1.3126835329,11.3,1.0621918713,0.0408233689
GHA423QC,ACC692MS,9.07,0.65,0.7141960166,1.0181214614,22.5,1.0621918713,0.020502403
GHA308QC,GHA910MS,9.2,0.66,0.7580765233,1.0565869653,19.2,1.0621918713,0.0240262536
GHA422QC,ACC692MS,9.28,0.66,0.7233090281,1.0365007044,22.5,1.0621918713,0.020502403
GHA413QC,ACC654MS,9.67,0.68,0.7438600864,1.0732123686,22.2,1.0621918713,0.0207794625
GHA404QC,ACC391MS,9.7,0.68,0.8029404551,1.1166420082,17.6,1.0621918713,0.0262104584
GHA404QC,ACC412MS,9.7,0.68,0.8161678861,1.1261909333,17,1.0621918713,0.0271355334
GHA330QC,ACC145MS,9.87,0.69,0.7537837237,1.0916309184,22.1,1.0621918713,0.0208734873
GHA311QC,GHA945MS,9.93,0.7,0.8479327869,1.1619214135,16.4,1.0621918713,0.0281282969
GHA310QC,GHA945MS,9.98,0.7,0.8479327869,1.1646598521,16.4,1.0621918713,0.0281282969
GHA342QC,ACC312MS,10.11,0.71,0.7671467053,1.1147517694,22.8,1.0621918713,0.0202326346
