amostras,refletancia,erro_ref,ug_cm2,erro_massa,erro_efetivo,erro_matricial
zero,100,1.06,0.00,0.21,0.50,0.21
BC37-1,95.9,1.06,3.88,0.31,0.57,0.20
BC37-1.2,85.6,1.06,10.01,0.64,0.83,0.18
BC37-1.3,76.2,1.06,6.27,0.43,0.74,0.18
BC37-1.4,70.9,1.06,7.91,0.52,0.83,0.19
BC37-1.5,65.6,1.06,9.41,0.60,0.92,0.21
BC37-1.6,61.3,1.06,10.60,0.67,1.00,0.23
BC37-1.7,43.7,1.06,16.87,1.04,1.47,0.37
BC37-1.8,27.5,1.06,25.98,1.58,2.29,0.59
BC37-1.9,27.3,1.06,24.49,1.49,2.24,0.60
BC37-1.10,93.8,1.06,1.49,0.23,0.54,0.20
BC37-1.11,95.6,1.06,1.34,0.23,0.53,0.20
BC37-1.12,98.7,1.06,1.19,0.22,0.51,0.21
BC37-1.13,80.7,1.06,5.53,0.39,0.69,0.18
BC37-1.14,38.5,1.06,19.11,1.17,1.66,0.43
BC37-1.15,20.5,1.06,32.55,1.97,2.97,0.74
BC37-1.16,16.9,1.06,34.64,2.09,3.42,0.84
BC37-1.17,12.9,1.06,38.38,2.32,4.23,0.98
BC37-1.18,13,1.06,39.57,2.39,4.25,0.98
BC37-1.19,9.4,1.06,46.89,2.83,5.62,1.15
BC37-1.20,3.1,1.06,74.52,4.48,15.39,1.73
BC37-1.21,7.9,1.06,48.53,2.92,6.47,1.24
BC37-1.22,16.6,1.06,32.85,1.99,3.39,0.85
BC37-1.23,33.8,1.06,20.01,1.22,1.82,0.49
BC37-1.24,5.1,1.06,58.54,3.52,9.62,1.47
BC37-1.25,36.7,1.06,18.67,1.14,1.69,0.45
BC37-1.26,59.1,1.06,10.30,0.65,1.01,0.24
BC37-1.27,72.5,1.06,6.42,0.44,0.77,0.18
