ID,cetesb,cetesb_incerteza,TOT,TOT_incerteza
zero,0,1.4201311772,0,0.6518374846
JQ-01,44.7706259709,1.1712512049,8.8767661262,0.7202926379
JQ-02,31.2629073282,1.1648324359,6.3425759497,0.5803134527
JQ-03,47.3851353881,1.2408511789,7.46558108,0.6618585755
JQ-04,58.1212444884,2.1913186243,14.3768198279,0.9976380169
JQ-05,52.2350303742,1.3805427205,10.6361992562,0.7971169423
JQ-06,35.4283979914,1.3236560702,7.9372676203,0.6829335154
JQ-07,34.9764534294,0.9093222636,6.7249137863,0.6081305278
JQ-08,33.8461042223,0.8863964195,5.2352648426,0.5453673965
JQ-09,21.3152615185,0.7870967859,3.4455470485,0.4375843319
JQ-10,40.0408211584,1.0439984086,6.7630698681,0.6242236278
JQ-11,23.9179937077,0.8856128569,5.4044941929,0.5292645951
JQ-12,42.1093454232,1.0992061069,6.8548890965,0.6313239764
JQ-13,49.5657428632,1.8638984021,10.5977416829,0.8040377667
JQ-14,45.8658009993,1.2245867926,8.2828889746,0.7002144401
JQ-15,23.728704891,0.8784380791,4.6443219097,0.4872397312
JQ-16,39.8350721335,1.0385164808,6.7651213116,0.6218602199
