dia,volume_m3,refletancia
06/14/2007,5.338,66.3
06/15/2007,15.305,44.9
06/16/2007,15.197,
06/17/2007,15.332,54.6
06/18/2007,15.227,48.5
06/19/2007,15.313,
06/20/2007,15.71,44.7
06/21/2007,15.753,46.7
06/22/2007,14.479,
06/23/2007,14.367,34.4
06/24/2007,15.076,36.5
06/25/2007,15.218,52.4
06/26/2007,14.298,56.1
06/27/2007,15.122,45.55
06/28/2007,14.748,21.3
06/29/2007,15.38,37
06/30/2007,30.094,38.5
07/02/2007,15.082,43.5
07/03/2007,15.214,58.1
07/04/2007,15.577,70.5
07/05/2007,15.166,64.4
07/06/2007,12.398,
07/07/2007,5.922,79.8
07/08/2007,7.916,70.05
07/09/2007,7.895,73.8
07/10/2007,12.408,65.5
07/11/2007,11.492,49.1
07/12/2007,15.101,52
07/13/2007,15.868,70.9
07/14/2007,14.558,71.35
07/15/2007,14.759,62.6
07/16/2007,15.045,39.2
07/17/2007,15.185,36.9
07/18/2007,15.192,44
07/19/2007,15.159,21.95
07/20/2007,15.947,27.9
07/21/2007,14.723,72.13
07/22/2007,13.71,61.75
07/23/2007,15.329,38.35
07/24/2007,15.019,35
07/25/2007,15.268,39.5
07/26/2007,15.366,48.65
07/27/2007,14.965,39.9
07/28/2007,15.269,50.9
07/29/2007,15.636,47.1
07/30/2007,15.127,41.9
07/31/2007,14.997,46.55
08/01/2007,14.786,47.3
08/02/2007,15.295,55.95
08/03/2007,15.576,67.15
08/04/2007,13.132,78.65
08/05/2007,13.324,
08/06/2007,15.42,42.3
08/07/2007,15.446,46.7
08/08/2007,15.56,54.9
08/09/2007,15.666,43.45
08/10/2007,15.775,50.55
08/11/2007,15.744,65.45
08/12/2007,15.043,58.2
08/13/2007,15.198,48.3
08/14/2007,15.079,39.85
08/15/2007,15.034,40.1
08/16/2007,15.159,44.85
08/17/2007,15.212,73.2
08/18/2007,14.19,70.55
08/19/2007,15.568,54.4
08/20/2007,15.586,45.3
08/21/2007,15.197,42
08/22/2007,15.438,39.1
08/23/2007,14.949,45.4
08/24/2007,15.336,44.65
08/25/2007,14.922,59.35
08/26/2007,15.179,55.75
08/27/2007,14.565,47.35
08/28/2007,15.247,49
08/29/2007,14.957,52.2
08/30/2007,15.002,49.15
08/31/2007,15.06,49.65
09/01/2007,15.876,71.4
09/02/2007,14.679,61.25
09/03/2007,15.37,53.5
09/04/2007,14.296,50.5
09/05/2007,15.221,47.7
09/06/2007,14.891,52.6
09/07/2007,15.464,60.9
09/08/2007,15.339,56.55
09/09/2007,15.465,53.5
09/10/2007,14.784,37.8
09/11/2007,15.694,41.85
09/12/2007,15.71,55.65
09/13/2007,14.682,46.65
09/14/2007,14.451,48.05
09/15/2007,15.775,66.35
09/16/2007,14.95,56.95
09/17/2007,15.014,43.45
09/18/2007,14.829,37.05
09/19/2007,14.995,57.6
09/20/2007,15.319,54.5
09/21/2007,15.346,48.1
09/22/2007,15.749,55.55
09/23/2007,16.044,51.7
09/24/2007,13.517,43.05
09/25/2007,14.833,35.5
09/26/2007,14.982,43.1
09/27/2007,14.768,39.05
09/28/2007,15.121,47.2
09/29/2007,14.78,57
09/30/2007,15.123,60.55
10/01/2007,15.516,43.9
10/02/2007,15.512,41.9
10/03/2007,15.233,60.1
10/04/2007,15.381,56.55
10/05/2007,15.138,63.8
10/06/2007,15.373,76.55
10/07/2007,15.429,64.2
10/08/2007,15.395,44.95
10/09/2007,13.912,36.95
10/10/2007,15.859,53.65
10/11/2007,15.631,62.25
10/12/2007,14.57,82.1
10/13/2007,15.124,84.05
10/14/2007,15.998,70.65
10/15/2007,14.558,41.6
10/16/2007,15.181,37.4
10/17/2007,15.241,69.9
10/18/2007,15.259,62.75
10/19/2007,15.432,91.95
10/20/2007,13.952,72.25
10/21/2007,15.374,59.4
10/22/2007,14.687,62.6
10/23/2007,15.488,53.35
10/24/2007,14.75,46.65
10/25/2007,15.149,52.75
10/26/2007,15.021,51.85
10/27/2007,15.493,78.35
10/28/2007,15.718,64.6
10/29/2007,15.395,55.85
10/30/2007,15.309,59.05
10/31/2007,15.17,59.2
11/01/2007,15.289,69.5
11/02/2007,15.728,80.25
11/03/2007,14.918,81.8
11/04/2007,15.465,92
11/05/2007,14.852,97
11/06/2007,14.912,97.95
11/07/2007,15.433,98.45
11/08/2007,15.038,99.15
11/09/2007,14.885,99.05
11/10/2007,15.26,99.6
11/11/2007,14.766,99.7
11/12/2007,15.043,99.05
11/13/2007,15.051,99.1
11/14/2007,15.159,
11/15/2007,15.15,
11/16/2007,15.52,
11/17/2007,13.319,
11/18/2007,14.892,
11/19/2007,15.014,47.6
11/20/2007,13.314,67.8
11/21/2007,15.283,67.7
11/22/2007,15.431,63.6
11/23/2007,15.731,65.25
11/24/2007,15.705,70.3
11/25/2007,15.427,54.4
11/26/2007,15.466,58.6
11/27/2007,15.777,53.5
11/28/2007,15.222,72.2
11/29/2007,15.627,86.1
11/30/2007,15.338,67.05
12/01/2007,15.407,74.45
12/02/2007,16.334,86.55
12/03/2007,15.093,58.2
12/04/2007,15.286,61.2
12/05/2007,15.017,58.6
12/06/2007,14.028,68.95
12/07/2007,15.026,75
12/08/2007,14.919,83.7
12/09/2007,15.11,70.4
12/10/2007,15.126,51.75
12/11/2007,15.053,59.7
12/12/2007,15.07,48.6
12/13/2007,15.697,60.45
12/14/2007,13.88,60.95
12/15/2007,14.616,71.6
12/16/2007,14.822,49.8
12/17/2007,14.273,53.05
12/18/2007,14.692,65.8
12/19/2007,15.661,87.9
12/20/2007,14.592,62.15
12/21/2007,15.416,65.25
12/22/2007,15.226,71.45
12/23/2007,15.113,57.9
12/24/2007,15.392,82.4
12/25/2007,15.086,63.2
12/26/2007,15.31,57.85
12/27/2007,15.37,56.4
12/28/2007,15.81,67.3
12/29/2007,14.9,86.5
12/30/2007,14.076,77.85
12/31/2007,15.298,92.5
01/01/2008,14.728,66.9
01/02/2008,15.381,52.85
01/03/2008,15.503,51.75
01/04/2008,15.502,61.9
01/05/2008,15.319,72.1
01/06/2008,15.285,61.7
01/07/2008,15.369,63
01/08/2008,15.374,63
01/09/2008,15.432,60.9
01/10/2008,15.518,67.1
01/11/2008,15.538,68.2
01/12/2008,15.148,77.25
01/13/2008,15.49,82.8
01/14/2008,,
01/15/2008,,
01/16/2008,14.983,56.9
01/17/2008,14.846,60.1
01/18/2008,15.144,57.6
01/19/2008,15.056,68.4
01/20/2008,15.033,52.35
01/21/2008,14.958,48.7
01/22/2008,15.879,78.9
01/23/2008,14.871,62.95
01/24/2008,14.838,55.25
01/25/2008,14.853,64.1
01/26/2008,14.875,59.3
01/27/2008,14.899,58.65
01/28/2008,14.735,48.55
01/29/2008,14.805,48.7
01/30/2008,14.761,42.4
01/31/2008,15.142,51.15
02/01/2008,15.581,43.7
02/02/2008,15.255,62.25
02/03/2008,15.622,74.95
02/04/2008,15.281,73.25
02/05/2008,15.376,69.4
02/06/2008,15.148,59.15
02/07/2008,15.522,51.2
02/08/2008,13.205,64.9
02/09/2008,15.198,62.3
02/10/2008,15.264,46.5
02/11/2008,15.092,50.1
02/12/2008,15.406,53.7
02/13/2008,15.249,50.4
02/14/2008,15.2,58.05
02/15/2008,15.15,54.75
02/16/2008,15.225,68.95
02/17/2008,15.062,54.55
02/18/2008,15.146,54.7
02/19/2008,15.142,48.8
02/20/2008,15.136,44.8
02/21/2008,15.091,51.2
02/22/2008,15.114,60.8
02/23/2008,15.164,67.1
02/24/2008,15.176,68.75
02/25/2008,14.935,54.35
02/26/2008,15.035,47.55
02/27/2008,14.918,40.75
02/28/2008,15.055,43.45
02/29/2008,14.783,45.65
03/01/2008,15.071,61.65
