id,ug_cm2,erro
GPE1,0.5613003852,0.0374683273
GPE2,0.2340581151,0.0418712504
GPE3,0.5138412715,0.0379981093
GPE4,0.4592402498,0.0386566451
GPE5,1.1565986033,0.0347875401
GPE6,0.6540234061,0.0365543306
GPE7,0.394017409,0.0395085164
GPE8,0.6458664822,0.0366280767
GPE9,1.4339040834,0.0362572692
GPE10,0.8814380413,0.0350549174
GPE11,0.8511476337,0.0351901336
GPE12,1.1990087551,0.0349016994
GPE13,0.9163659095,0.0349245926
GPE14,1.1472405946,0.0347679045
GPE15,0.7157876999,0.0360392496
GPE16,1.1239498823,0.0347277939
GPE17,0.6909565711,0.0362370301
GPE18,0.855459493,0.0351696362
GPE19,0.6827168824,0.0363054402
GPE20,0.6417948378,0.0366653789
GPE21,0.315022765,0.0406292188
GPE22,0.8511476337,0.0351901336
GPE23,0.765961949,0.0356787099
GPE24,0.605352759,0.0370136126
GPE25,0.6909565711,0.0362370301
GPE26,0.6540234061,0.0365543306
GPE27,2.1767746976,0.0469460996
GPE28,0.6093839789,0.0369738311
GPE29,2.6033202593,0.0558196329
GPE30,1.2419168848,0.0350588436
GPE31,0.6215043893,0.0368561003
GPE33,0.4631133825,0.0386082552
GPE34,0.4825408626,0.0383693574
GPE35,0.605352759,0.0370136126
GPE36,0.3187459446,0.0405743149
GPE37,0.7533536545,0.0357643257
GPE38,0.5772580542,0.0372994162
GPE42,0.9427826539,0.0348444115
GPE43,1.0458537527,0.0346848969
GPE45,0.8083065757,0.0354160917
GPE48,11.0526275218,0.2854917578
GPE49,4.064189283,0.0919615524
GPE50,5.6511991275,0.1347224178
GPE51,6.7239087467,0.1643080181
GPE52,0.2853731063,0.0410735183
GPE53,0.1727005189,0.0428705003
GPE54,10.6535805061,0.2742612364
GPE55,8.8890950862,0.2247076934
GPE56,10.2938509092,0.264143624
GPE58,1.5468268446,0.0373169692
GPE59,10.8476597617,0.2797223989
GPE60,0.4284020888,0.0390508162
GPE62,1.5468268446,0.0373169692
GPE63,6.0397815346,0.1453996417
GPE64,8.9281788854,0.2258029721
GPE65,3.2321828961,0.0706692438
GPE66,10.0189619313,0.2564167487
GPE67,9.3001234254,0.2362324621
GPE68,11.2697785507,0.2916059513
GPE69,8.0892449127,0.2023244342
GPE71,9.4330217218,0.2399615252
GPE72,9.6180891347,0.2451564775
GPE73,7.7042259388,0.1915752853
GPE74,5.0063742989,0.1171449125
GPE75,8.5549670313,0.2153496589
GPE76,3.5788217681,0.0793820087
GPE77,0.2159045736,0.0421618784
GPE78,3.5426402805,0.0784602304
GPE79,9.0480027479,0.2291616907
GPE80,10.2371939542,0.2625507129
GPE81,8.3480645846,0.2095602145
GPE82,3.5516521233,0.0786895791
GPE83,11.1235870407,0.2874895134
GPE84,1.5260341831,0.0371033572
GPE85,5.5406935031,0.1316963578
GPE86,8.626622276,0.2173556659
GPE87,5.7486529133,0.1373950915
GPE88,5.9343617128,0.1424978077
GPE89,0.2816837567,0.0411296702
GPE90,10.7171351584,0.2760494002
GPE91,5.1154659939,0.1201037592
GPE92,0.6827168824,0.0363054402
GPE93,1.3440397092,0.0355977864
GPE94,0.2376996703,0.0418134714
GPE95,2.2329477995,0.0480342681
GPE96,10.0189619313,0.2564167487
GPE97,10.4692910178,0.2690771807
GPE98,11.5809707633,0.3003711879
GPE99,1.8284826699,0.0409441221
GPE101,11.8330914408,0.3074751296
GPE102,10.2938509092,0.264143624
GPE103,9.4784173416,0.2412355911
GPE104,11.4220631016,0.2958948425
GPE105,0.6013259813,0.0370536598
GPE107,1.2275581221,0.0350016252
GPE108,0.2014463929,0.0423963937
GPE109,0.8168347018,0.035367899
GPE110,1.9486819292,0.0428534493
GPE111,0.42073304,0.0391512591
GPE112,0.6093839789,0.0369738311
GPE114,0.2050555788,0.0423376015
GPE115,5.0878862374,0.1193550777
GPE117,2.3285321606,0.0499482531
GPE118,3.7941181046,0.0849165501
GPE119,2.2772428921,0.0489118661
GPE120,9.813031373,0.2506310528
GPE121,2.1336737721,0.0461310679
GPE122,4.7848337195,0.1111588248
GPE123,7.4074037816,0.1833022404
GPE124,4.2233276528,0.0961568219
GPE125,7.4859939158,0.1854914355
GPE126,5.0063742989,0.1171449125
GPE127,11.3451276201,0.2937279467
GPE128,7.9663997186,0.1988927605
GPE129,2.9767566549,0.0644553852
GPE130,10.78181473,0.2778694053
GPE131,0.2159045736,0.0421618784
GPE132,11.3451276201,0.2937279467
GPE133,1.5835011348,0.0377132725
GPE134,1.9370625223,0.042660716
GPE135,3.2074637462,0.0700592393
GPE136,8.5906190252,0.2163476843
GPE139,11.0526275218,0.2854917578
GPE140,6.5764529915,0.1602225314
GPE142,6.5558653292,0.159652517
GPE146,6.9683603754,0.1710912141
GPE147,7.1570113143,0.1763339923
GPE148,4.367085691,0.0999704638
GPE149,9.2141359194,0.2338203805
GPE150,8.5906190252,0.2163476843
GPE151,4.9796027477,0.1164198737
GPE152,6.4149106503,0.155752644
GPE153,0.3187459446,0.0405743149
GPE155,4.7975002846,0.1115001973
GPE156,8.5549670313,0.2153496589
GPE157,1.0096722651,0.0347129454
GPE158,7.0851211192,0.1743353274
GPE159,2.2772428921,0.0489118661
GPE160,1.4490987016,0.0363852453
GPE162,9.3881831176,0.2387032341
GPE163,7.3815782296,0.1825830579
GPE164,7.3559339111,0.1818690271
GPE165,0.3599532539,0.0399802441
GPE166,6.7239087467,0.1643080181
GPE167,6.9454493261,0.1704549516
GPE168,11.2697785507,0.2916059513
GPE169,0.1834537401,0.0426919407
GPE170,0.9427826539,0.0348444115
GPE171,8.662983774,0.2183738012
GPE172,1.2708047854,0.0351879599
GPE173,0.1548485029,0.0431700639
GPE174,0.3001678649,0.0408502594
GPE175,7.9363230024,0.1980528483
GPE176,7.0146179601,0.172376141
GPE177,5.0063742989,0.1171449125
GPE178,6.877565633,0.1685703607
GPE179,8.5549670313,0.2153496589
GPE180,5.5876444752,0.1329814403
GPE181,4.5167314979,0.103961556
GPE182,0.315022765,0.0406292188
GPE183,7.8769021745,0.196393815
GPE184,1.7066613762,0.0392171081
GPE185,4.6605258022,0.1078148074
GPE186,8.8121596046,0.2225520471
GPE187,5.7158786991,0.1364958515
GPE189,10.3514001363,0.2657617938
GPE190,2.2708820543,0.0487848232
