amostras,refletancia,erro_ref,ug_cm2,erro_massa,erro_efetivo_ug_cm2,erro_matricial
zero,100,1.0621918713,0,0.2113738948,0.5029346723,0.2126192776
BC37-1,95.9,1.0621918713,3.8825563149,0.3147435551,0.5705403852,0.2012058125
BC37-1.2,85.6,1.0621918713,10.0050489652,0.6373978088,0.8309659077,0.1805894345
BC37-1.3,76.2,1.0621918713,6.2718217394,0.4321150249,0.7385131163,0.1790113895
BC37-1.4,70.9,1.0621918713,7.9144417188,0.5204985924,0.8277837833,0.1884076535
BC37-1.5,65.6,1.0621918713,9.4077326091,0.6036387132,0.9210522556,0.2061003978
BC37-1.6,61.3,1.0621918713,10.6023653214,0.671379527,1.0024896746,0.2265621725
BC37-1.7,43.7,1.0621918713,16.8741870608,1.0360470579,1.471040392,0.3660966697
BC37-1.8,27.5,1.0621918713,25.9832614918,1.576048267,2.2886321347,0.592602897
BC37-1.9,27.3,1.0621918713,24.4899706015,1.4871457161,2.2374113181,0.5962903426
BC37-1.10,93.8,1.0621918713,1.4932908903,0.2294674896,0.5379231703,0.1959149614
BC37-1.11,95.6,1.0621918713,1.3439618013,0.2261072832,0.5282052738,0.2004239885
BC37-1.12,98.7,1.0621918713,1.1946327123,0.2230578798,0.5133629348,0.2088664586
BC37-1.13,80.7,1.0621918713,5.5251762942,0.393571268,0.6889779093,0.1771377095
BC37-1.14,38.5,1.0621918713,19.1141233963,1.1681836999,1.6642441895,0.4260122908
BC37-1.15,20.5,1.0621918713,32.5537414093,1.9681451186,2.9714172776,0.7424144444
BC37-1.16,16.9,1.0621918713,34.6443486558,2.093127956,3.416591698,0.8420131994
BC37-1.17,12.9,1.0621918713,38.3775758816,2.3164951647,4.2286268253,0.9822078198
BC37-1.18,13,1.0621918713,39.5722085939,2.3880136367,4.245697129,0.9781885111
BC37-1.19,9.4,1.0621918713,46.8893339565,2.8263852425,5.6176895221,1.1473634695
BC37-1.20,3.1,1.0621918713,74.5152154277,4.4840324444,15.3890494746,1.7297561801
BC37-1.21,7.9,1.0621918713,48.5319539359,2.9248552648,6.4749617309,1.23834334
BC37-1.22,16.6,1.0621918713,32.8523995874,1.9859945392,3.391464766,0.8512821065
BC37-1.23,33.8,1.0621918713,20.0100979305,1.2211915515,1.8205184298,0.4895171477
BC37-1.24,5.1,1.0621918713,58.5370029011,3.5249494459,9.6174918501,1.4679291153
BC37-1.25,36.7,1.0621918713,18.6661361292,1.1417095583,1.6881237558,0.4491819811
BC37-1.26,59.1,1.0621918713,10.3037071433,0.6543630024,1.012154569,0.2391049466
BC37-1.27,72.5,1.0621918713,6.4211508284,0.4399679802,0.7679805672,0.1847096697
