Z,code,name_en,name_pt
1,H,Hydrogen,Hidrogênio
2,He,Helium,Hélio
3,Li,Lithium,Lítio
4,Be,Beryllium,Berílio
5,B,Boron,Boro
6,C,Carbon,Carbono
7,N,Nitrogen,Nitrogênio
8,O,Oxygen,Oxigênio
9,F,Fluorine,Flúor
10,Ne,Neon,Neônio
11,Na,Sodium,Sódio
12,Mg,Magnesium,Magnésio
13,Al,Aluminium,Alumínio
14,Si,Silicon,Silício
15,P,Phosphorus,Fósforo
16,S,Sulphur,Enxofre
17,Cl,Chlorine,Cloro
18,Ar,Argon,Argônio
19,K,Potassium,Potássio
20,Ca,Calcium,Cálcio
21,Sc,Scandium,Escândio
22,Ti,Titanium,Titânio
23,V,Vanadium,Vanádio
24,Cr,Chromium,Cromo
25,Mn,Manganese,Manganês
26,Fe,Iron,Ferro
27,Co,Cobalt,Cobalto
28,Ni,Nickel,Níquel
29,Cu,Copper,Cobre
30,Zn,Zinc,Zinco
31,Ga,Gallium,Gálio
32,Ge,Germanium,Germânio
33,As,Arsenic,Arsênio
34,Se,Selenium,Selênio
35,Br,Bromine,Bromo
36,Kr,Krypton,Criptônio
37,Rb,Rubidium,Rubídio
38,Sr,Strontium,Estrôncio
39,Y,Yttrium,Ítrio
40,Zr,Zirkonium,Zircônio
41,Nb,Niobium,Nióbio
42,Mo,Molybdaenum,Molibdênio
43,Tc,Technetium,Tecnécio
44,Ru,Ruthenium,Rutênio
45,Rh,Rhodium,Ródio
46,Pd,Palladium,Paládio
47,Ag,Silver,Prata
48,Cd,Cadmium,Cádmio
49,In,Indium,Índio
50,Sn,Tin,Estanho
51,Sb,Antimony,Antimônio
52,Te,Tellurium,Telúrio
53,I,Iodine,Iodo
54,Xe,Xenon,Xenônio
55,Cs,Cesium,Césio
56,Ba,Barium,Bário
57,La,Lanthanum,Lantânio
58,Ce,Cerium,Cério
59,Pr,Praseodymium,Praseodímio
60,Nd,Neodymium,Neodímio
61,Pm,Promethium,Promécio
62,Sm,Samarium,Samário
63,Eu,Europium,Európio
64,Gd,Gadolinium,Gadolínio
65,Tb,Terbium,Térbio
66,Dy,Dysprosium,Disprósio
67,Ho,Holmium,Hólmio
68,Er,Erbium,Érbio
69,Tm,Thulium,Túlio
70,Yb,Ytterbium,Itérbio
71,Lu,Lutetium,Lutécio
72,Hf,Hafnium,Háfnio
73,Ta,Tantalum,Tântalo
74,W,Tungsten,Tungstênio
75,Re,Rhenium,Rênio
76,Os,Osmium,Ósmio
77,Ir,Iridium,Irídio
78,Pt,Platinum,Platina
79,Au,Gold,Ouro
80,Hg,Hydrargyrum,Mercúrio
81,Tl,Thallium,Tálio
82,Pb,Lead,Chumbo
83,Bi,Bismuth,Bismuto
84,Po,Polonium,Polônio
85,At,Astatine,Ástato
86,Rn,Radon,Rádon
87,Fr,Francium,Frâncio
88,Ra,Radium,Rádio
89,Ac,Actinium,Actínio
90,Th,Thorium,Tório
91,Pa,Protactinium,Protactínio
92,U,Uranium,Urânio
93,Np,Neptunium,Neptúnio
94,Pu,Plutonium,Plutônio
95,Am,Americium,Amerício
96,Cm,Curium,Cúrio
97,Bk,Berkelium,Berquélio
98,Cf,Californium,Califórnio
99,Es,Einsteinium,Einstênio
100,Fm,Fermium,Férmio
101,Md,Mendelevium,Mendelévio
102,No,Nobelium,Nobélio
103,Lr,Lawrencium,Laurêncio
104,Rf,Rutherfordium,Rutherfórdio
105,Db,Dubnium,Dúbnio
106,Sg,Seaborgium,Seabórgio
107,Bh,Bohrium,Bóhrio
108,Hs,Hassium,Hássio
109,Mt,Meitnerium,Meitnério
110,Ds,Ununnilium,Darmstácio
111,Rg,Unununium,Roentgênio
112,Uub,Ununbium,Copernício
113,Uut,Ununtrium,Unúntrio
114,Uuq,Ununquadium,Fleróvio
115,Uup,Ununpentium,Ununpêntio
116,Uuh,Ununhexium,Livermório
118,Uuo,Ununoctium,Ununóctio
