"Elemento","Z","Ka1","Ka2"
"Na",11,1274,
"Mg",12,1497,
"Al",13,1426,
"Si",14,1462,
"P",15,1544,
"S ",16,1450,1555
"Cl",17,1622,1752
"K",19,1847,2411
"Ca",20,2656,3649
"Sc",21,4273,6134
"Ti",22,6421,9374
"V",23,9489,13051
"Cr",24,12866,19229
"Mn",25,18696,26212
"Fe",26,25399,31461
"Co",27,29113,32786
"Ni",28,32745,30732
"Cu",29,33348,33450
"Zn",30,30482,30521
"Ga",31,30383,30435
"Ge",32,30409,30434
"As",33,30794,30748
"Se",34,32538,32579
"Br",35,32317,32451
"Kr",36,29961,30118
"Rb",37,29720,29819
"Sr",38,28909,27930
"Y",39,26736,26951
"Zr",40,25736,25948
"Nb",41,24728,24795
"Mo",42,,19058
