"Elemento","Z","Ka1","Ka2"
"Na",11,3306,
"Mg",12,4538,
"Al",13,5717,
"Si",14,7504,
"P",15,8403,
"S ",16,10106,10385
"Cl",17,10559,11687
"K",19,11129,11485
"Ca",20,11230,10342
"Sc",21,10114,12060
"Ti",22,12466,16110
"V",23,16198,21876
"Cr",24,21701,25876
"Mn",25,25542,30916
"Fe",26,30464,33148
"Co",27,32692,36796
"Ni",28,36472,36429
"Cu",29,37303,37286
"Zn",30,39857,39861
"Ga",31,39478,39512
"Ge",32,40746,40797
"As",33,41978,42051
"Se",34,40692,40779
"Br",35,41081,41188
"Kr",36,39023,39169
"Rb",37,38614,38812
"Sr",38,36018,36526
"Y",39,34938,35186
"Zr",40,32564,35799
"Nb",41,31925,32122
"Mo",42,,24952
