SampleID,11,11erro,12,12erro,13,13erro,14,14erro,15,15erro,16,16erro,17,17erro,19,19erro,20,20erro,22,22erro,23,23erro,24,24erro,25,25erro,26,26erro,27,27erro,28,28erro,29,29erro,30,30erro,34,34erro,35,35erro,37,37erro,38,38erro,39,39erro,40,40erro,41,41erro,45,45erro,56,56erro,58,58erro,71,71erro,90,90erro,82,82erro
ACC001MS      ,3961.318115,793.188721,817.49762,434.715973,8729.395508,266.928131,17902.123047,411.000763,162.6185,30.306305,7353.043945,151.252762,4565.647461,83.940361,7428.88916,107.668053,4142.908691,57.407047,584.101624,17.650217,21.872625,5.262101,21.115162,7.478461,121.500755,5.860851,5413.45166,142.552155,,,63.840157,8.142084,91.565697,15.214941,494.395569,21.291822,,,255.083969,10.637038,0,0,49.001801,10.681594,0,0,32.694283,11.119505,,,0,0,83.652046,23.127773,,,,,97.063507,22.686552,201.368454,21.419521
ACC003MS      ,3210.870605,737.887817,660.326904,425.893829,12226.18457,335.864166,23502.769531,533.354675,243.880661,31.764666,7501.964355,153.871719,4623.981934,84.971428,10734.374023,153.776947,7066.098145,96.893005,852.858337,24.350002,19.952394,5.148802,19.021921,7.265471,153.790909,6.124257,8328.930664,218.117081,,,45.978798,7.53254,57.704296,14.670294,402.359344,20.20253,,,216.613022,9.740126,25.466814,11.36031,54.978245,9.882857,6.003148,10.032398,33.636734,10.173647,,,0,0,112.931961,22.552883,,,,,90.551155,20.61591,162.652283,19.690403
ACC004MS      ,8163.914063,1128.219971,4401.430176,551.619507,34988.242188,826.535034,70678.398438,1569.79248,528.447815,45.429871,9348.463867,191.021469,22448.855469,390.096924,14155.22168,201.642883,24487.214844,323.627319,2708.622803,73.183182,64.605965,7.106887,66.394676,8.229136,357.715759,10.65532,26204.478516,682.170959,,,45.490078,9.202767,134.505203,16.042469,687.217102,23.824121,,,267.589752,11.740851,34.442959,13.697312,177.726288,12.284559,16.083872,12.134132,105.91037,12.674754,,,0,0,238.206711,29.437605,,,,,86.86731,25.109756,241.044846,24.179802
ACC005MS      ,11974.140625,1197.612549,3812.758301,493.731201,22503.476563,552.360535,52332.59375,1165.988525,309.878601,37.011406,8428.900391,172.629562,24616.28125,426.609833,9558.208984,137.374664,14835.395508,197.534393,1736.592529,47.41766,42.383644,5.741974,47.404049,7.480507,262.821381,8.189332,16810.017578,438.234375,,,31.802492,7.469524,124.543007,15.054156,607.247681,22.268852,,,266.811462,10.092267,24.896992,11.182839,105.721016,9.781346,14.88703,9.89474,65.113594,10.202261,,,0,0,199.766068,24.241629,,,,,78.087936,20.462854,219.908035,19.841623
ACC006MS      ,9203.963867,1059.247437,3639.416016,491.936584,28855.09375,699.359497,62395.0625,1387.231567,444.351166,39.691982,8961.634766,182.63559,25422.148438,440.080536,13900.84082,197.840332,18283.324219,242.52916,2174.46875,58.912197,31.726631,5.777545,47.859688,7.410555,308.521545,9.012087,22944.267578,597.487305,,,18.978252,6.912782,81.930786,14.45654,513.410156,21.078453,,,251.49321,9.391413,29.557585,10.301192,148.583771,9.257116,13.691391,9.035798,104.708778,9.732603,,,0,0,199.170914,23.999586,,,,,39.23386,18.87252,191.632736,18.328482
ACC007MS      ,3491.819336,862.844482,1300.908325,466.396637,10795.131836,314.961151,21483.208984,490.098694,134.450897,34.180969,7711.276367,158.367508,5876.982422,106.357117,11189.224609,160.068924,5069.732422,69.514221,729.77655,21.649139,36.424721,6.07655,28.618187,7.932546,135.829773,6.702942,7242.288086,190.015152,,,83.790428,9.604193,126.053741,16.157429,357.361511,20.642149,,,254.311615,12.11297,27.524021,14.338952,61.57864,12.283503,26.408585,12.756035,30.498772,12.883221,,,0,0,111.949936,26.20451,,,,,132.967484,26.077311,173.121399,24.749693
ACC008MS      ,6322.233398,884.172302,1810.286255,440.120667,14717.057617,390.273682,33770.144531,758.159973,222.778488,31.994888,5533.936523,117.156616,15454.970703,270.644653,5333.102051,78.63456,9663.407227,130.058655,1139.591187,31.756929,15.080298,5.257881,29.499479,7.320386,191.015961,6.785417,12986.822266,338.98941,,,37.594322,7.454898,73.485504,14.645863,434.964355,20.462868,,,285.928375,10.305988,24.9466,11.170895,83.07991,9.63527,8.820416,9.901725,49.078796,10.11411,,,0,0,164.353943,22.171072,,,,,71.406624,20.319662,159.368774,19.396652
ACC009MS      ,12716.165039,1338.137939,3492.80127,534.967529,24105.205078,595.673767,54981.050781,1224.625122,325.237,41.220695,9168.231445,187.507568,26681.525391,462.033783,8933.299805,128.887756,16104.75293,214.197052,1886.853149,51.608082,35.51767,6.845501,45.887856,8.231812,308.946869,9.814773,21156.933594,551.129211,,,61.325623,9.72271,174.786499,16.663494,654.724792,23.641798,,,535.591614,15.164306,3.637701,14.64545,110.666145,12.694144,10.441962,12.968894,90.21862,13.332454,,,0,0,246.407898,29.455189,,,,,112.561874,26.53162,273.910553,25.847801
ACC010MS      ,127.346924,635.294861,559.994995,403.482025,3633.02124,175.82399,6237.89209,160.675079,0,0,5013.033203,106.663597,9414.796875,168.451675,18720.898438,264.939484,3822.814209,53.47599,244.066376,9.231779,16.762333,4.363162,20.319374,7.025188,94.525566,4.902617,2048.603516,55.553387,,,50.74147,6.975811,34.962906,14.239118,442.586548,20.395765,,,232.633347,9.364113,28.18611,10.654052,59.828537,9.198493,8.846745,9.296274,16.350426,9.535082,,,0,0,62.045624,19.481264,,,,,82.445808,19.258791,119.348122,18.03414
ACC011MS      ,9327.128906,1458.378296,5088.644531,678.493347,49857.164063,1176.121582,136120.890625,3014.164063,705.915222,62.672596,12852.19043,262.268188,31174.193359,541.2323,14276.829102,205.004791,47726.46875,627.937073,3896.276611,105.169693,96.228821,9.756217,106.147163,9.814305,596.470886,16.714464,48786.582031,1268.689697,,,56.480915,11.983931,292.236389,19.244843,1111.251709,30.713682,,,388.084625,15.683642,55.271503,17.74684,256.489288,16.077122,30.661238,15.71372,209.126205,17.145142,,,0,0,538.469604,39.680519,,,,,82.464851,32.64859,279.08197,31.375776
ACC012MS      ,2621.539551,908.850098,5553.442383,565.062683,22126.099609,547.192078,44569.496094,996.440125,585.735596,45.979359,6289.627441,129.031281,16591.460938,290.324005,22169.515625,313.415283,33445.976563,440.689789,1783.600952,48.867756,27.173538,6.548032,35.497143,7.96754,368.171326,10.799706,14501.825195,378.35556,,,66.894707,9.250638,128.50502,15.984836,593.093384,22.734341,,,243.355896,11.685131,42.208225,13.879532,300.742767,13.37902,32.411736,12.26287,65.649429,12.578029,,,0,0,269.072662,28.816298,,,,,110.242676,25.119135,140.048462,23.94173
ACC013MS      ,11119.269531,1190.023804,3226.51123,511.175415,16584.669922,430.886169,39411.703125,882.622498,248.402557,37.143776,5938.682617,126.369621,22220.080078,386.027283,6713.642578,97.978477,11448.454102,153.530258,1252.36792,34.971008,33.785671,6.243302,31.433424,7.906616,192.340103,7.478134,12151.009766,317.344269,,,68.270996,9.220033,145.681824,16.127344,367.476624,20.575397,,,213.243683,11.39217,17.805489,13.718844,89.105263,11.900934,16.455999,12.222003,79.027054,12.584564,,,0,0,220.864548,27.227144,,,,,128.442413,25.174891,207.19368,24.172459
ACC014MS      ,7195.880859,912.433655,2209.118164,454.27298,20936.5625,518.957642,42172.242188,942.716492,271.633148,34.501167,5295.149414,113.421822,18153.345703,316.491699,8768.163086,126.326187,14525.469727,193.45726,1588.968872,43.460003,30.563734,5.279631,36.76622,7.208539,194.038513,6.628069,14841.911133,387.13092,,,22.956406,6.80351,37.354214,14.095304,406.392761,19.988998,,,97.63047,8.048808,18.046778,10.0449,94.556999,8.881468,7.022679,8.970299,69.210693,9.361265,,,0,0,157.226593,22.404259,,,,,34.275238,18.548956,154.971939,17.630939
ACC015MS      ,4450.700684,785.927795,2035.647583,444.340424,17159.992188,439.237152,38309.410156,857.781006,215.318939,32.536236,4008.869385,88.992622,12957.304688,228.14798,7714.791016,111.721527,11271.952148,151.17952,1271.615723,35.185589,40.55851,5.392751,33.464825,7.299512,178.933609,6.511367,13282.147461,346.652893,,,30.120108,7.303859,352.452911,17.508507,266.075592,19.048656,,,90.77179,8.582935,14.267346,10.774748,85.590805,9.486132,18.937565,9.68767,48.037773,9.936335,,,0,0,157.315781,22.936926,,,,,87.476379,20.240469,187.439987,19.124668
ACC016MS      ,2843.099365,705.443054,517.546814,411.535004,6832.862305,225.943985,13136.259766,307.155548,64.813774,27.46633,3784.726807,83.582451,3883.182617,75.01461,6603.625488,96.130798,3913.37915,54.434746,465.497864,14.649936,18.415365,4.972944,19.21776,7.295514,94.888634,5.328171,4404.488281,116.413818,,,60.357357,7.851301,50.726231,14.677399,241.880875,19.106529,,,96.990593,9.237026,23.196793,9.799281,54.203201,10.105032,12.585548,10.403673,18.607553,10.55543,,,0,0,70.973053,21.627329,,,,,104.623627,21.448114,132.244186,20.335072
ACC017MS      ,3371.597168,744.82196,1457.411743,437.655548,10004.382813,288.65979,20432.064453,466.24646,73.780624,29.552628,4016.466309,88.64476,5460.123047,101.515099,7473.972168,108.25708,5396.385742,73.538826,664.397095,19.65745,24.103344,5.323748,27.742409,7.478762,110.705437,5.738615,6618.335449,173.781921,,,55.211151,8.163607,461.841125,19.368002,207.096481,19.040562,,,123.308212,9.74117,11.078453,12.16684,60.540451,10.455446,16.254744,10.842071,38.30373,11.024196,,,0,0,110.406425,23.327837,,,,,108.687286,22.572641,199.704636,21.412104
ACC019MS      ,4205.097656,868.506287,740.399658,454.924835,6873.028809,234.655777,14310.958984,333.714142,87.633308,31.072166,4489.539063,97.958969,3833.673584,75.072556,4676.647461,69.798874,3397.119385,47.962387,418.164917,14.280932,22.596886,6.042993,16.860029,7.970498,97.98999,6.372461,4149.529297,109.960541,,,105.664589,10.002074,142.202408,16.466257,257.207245,20.087111,,,183.237061,12.042199,12.49574,14.836141,44.406322,12.71651,22.435753,13.238691,42.29084,13.361749,,,0,0,130.204666,26.905697,,,,,157.368057,26.973064,174.129517,25.526726
ACC020MS      ,4200.185059,764.116577,1179.858765,422.097809,6862.439453,226.041641,14130.210938,328.782196,100.28141,28.085073,4966.030273,105.830833,3628.435059,71.198563,5268.330566,77.703262,3523.94458,49.434689,440.306671,14.167914,14.25342,5.164706,19.550056,7.429045,102.128914,5.628686,4505.914551,119.061745,,,66.354683,8.241222,109.475342,15.291405,282.486511,19.51461,,,179.553696,10.182257,19.345955,12.312197,44.681053,10.574944,6.654449,10.968929,19.385592,11.03989,,,0,0,79.460518,23.035782,,,,,114.201134,22.442425,190.81514,21.606655
ACC021MS      ,10379.664063,1268.119995,4767.648926,572.437683,41691.675781,980.336426,108601.476563,2404.652588,579.171448,50.296909,10694.462891,217.636124,29314.814453,507.204803,12061.800781,172.848724,39205.585938,515.722656,3462.344482,93.181152,65.552719,7.603571,82.867661,8.419011,527.075745,14.283143,40089.355469,1042.717407,,,22.348984,8.870692,186.252289,16.334755,811.194519,25.286245,,,237.921951,11.110721,50.50013,12.996439,221.867599,11.955684,9.765574,11.467089,159.855392,12.632769,,,0,0,395.385437,31.263826,,,,,44.992836,24.128458,295.414093,23.497471
ACC022MS      ,11225.883789,1244.392334,2872.161621,529.014465,17921.074219,466.246765,41725.242188,933.60437,253.865555,39.507896,6611.055176,139.313263,23595.673828,409.580811,7371.950195,106.313965,12867.723633,172.033615,1395.544556,38.815472,32.359901,6.666139,45.129753,8.229284,219.149399,8.237556,14875.744141,388.081329,,,82.925262,10.034726,185.653824,16.894373,423.627838,21.369953,,,207.941055,12.252737,13.204382,14.907213,121.755234,13.075793,10.757588,13.363483,63.628738,13.619286,,,0,0,236.776306,29.262407,,,,,127.911217,27.1682,197.327774,26.122578
ACC023MS      ,3780.776855,753.139587,1837.298706,434.657013,13861.163086,366.034882,31314.492188,704.284485,208.006989,31.05559,6761.29248,139.811279,5777.246582,104.235001,6243.725586,91.234184,9847.416992,132.583557,958.222656,27.064758,36.250721,5.299619,28.299948,7.317145,199.622803,6.924132,10966.482422,286.552765,,,44.330875,7.491624,94.455551,14.806599,474.904663,20.842516,,,195.549332,9.475785,18.893208,11.190287,65.828888,9.684485,14.375959,9.983653,55.767609,10.223096,,,0,0,143.55304,22.231504,,,,,69.666214,20.414837,184.351944,19.688055
ACC024MS      ,2815.269531,842.291077,2153.730469,477.626221,15123.058594,401.735382,39602.933594,886.659973,416.918335,38.38615,8602.515625,175.512161,5083.519531,93.014435,8336.674805,120.569305,19105.279297,253.295273,1191.043945,33.382458,32.161636,6.153298,47.3456,7.92325,318.345703,9.714461,15297.311523,398.99765,,,64.268906,9.026619,220.401001,16.711166,659.397461,23.420334,,,628.182007,15.823828,20.217386,13.720037,140.108276,11.912479,13.322777,12.009677,40.793484,12.220467,,,0,0,246.754105,26.474134,,,,,81.003754,24.502085,256.541382,23.933872
ACC025MS      ,1326.304077,525.796082,15.886708,362.000427,1687.450684,126.981361,3332.603516,97.808372,20.499239,18.394028,1523.358154,35.817951,523.383789,15.981771,1858.048462,30.562305,848.621948,16.282074,103.628769,5.984045,5.800115,3.80087,12.387763,6.769831,38.122036,3.887376,1185.174683,33.52684,,,41.632633,6.24606,1.342863,13.628999,110.205276,17.871,,,54.757202,7.356324,0.023646,9.292904,22.801346,8.012598,11.005772,8.349801,16.543106,8.408307,,,0,0,55.974968,16.534414,,,,,82.943062,17.136383,53.820866,16.127213
