SampleID,11,11erro,12,12erro,13,13erro,14,14erro,15,15erro,16,16erro,17,17erro,19,19erro,20,20erro,22,22erro,23,23erro,24,24erro,25,25erro,26,26erro,28,28erro,29,29erro,30,30erro,35,35erro,37,37erro,38,38erro,40,40erro,82,82erro
AFR1       ,3376.33252,818.838684,1748.543335,465.897461,9089.244141,277.668488,17031.826172,406.128021,18.690481,34.971478,4796.116699,105.240944,20202.09375,351.994415,20024.044922,283.401215,7738.330078,105.833168,549.745972,16.120661,274.200439,8.415694,27.638979,7.621914,89.549416,5.550505,4431.208496,117.138489,393.671936,12.510111,0,0,106.439026,18.679564,128.141174,10.059558,90.186096,10.776345,77.354568,11.076984,16.130217,11.349771,95.935333,21.516214
AFR2       ,0,0,301.447021,379.41333,117.86998,115.92981,95.235817,49.040642,0,0,0,0,0,0,27.988026,7.882473,8.443359,9.39537,0,0,0,0,8.397478,7.291428,0,0,14.14072,8.085354,0,0,0,0,10.632586,18.219566,0,0,0,0,0,0,0,0,,
AFR3       ,1237.649414,549.427063,2555.058594,408.58844,7856.723145,235.759811,14237.051758,343.185242,97.371384,25.704981,1833.239014,47.499058,3447.831299,67.195496,4898.364746,72.62355,5908.138672,81.64183,475.83902,13.87049,16.414326,4.275879,12.85289,6.861453,109.304527,4.819087,3662.424561,97.129852,33.411137,6.29283,0,0,48.38485,17.671446,68.276978,7.413944,39.370697,7.956293,56.20332,8.371252,17.809301,8.630179,53.440174,16.031687
AFR4       ,1113.245483,645.694214,1283.144287,417.542542,3845.439209,169.122986,6763.390625,185.288376,106.828018,26.950819,1343.964233,40.184925,3540.856445,69.29467,2666.060059,42.174698,4146.317383,59.070751,293.33017,9.678391,23.050491,5.014833,18.002563,7.325722,173.705826,6.488011,1700.091919,46.783943,56.486599,7.862509,0,0,52.914238,18.257927,65.399635,9.092437,25.682762,9.788058,46.326042,10.325219,13.667132,10.587986,48.732288,19.892923
AFR5       ,3155.905518,673.958313,1926.054077,421.478363,6231.874023,209.06221,11158.950195,278.620575,155.251587,27.924007,1840.082886,48.760929,4303.189941,82.201874,2327.04126,37.560219,4908.543457,68.692009,538.717773,15.688264,25.056496,5.071262,15.521238,7.273331,88.332077,5.146781,2496.384277,67.143608,49.600597,7.615848,0,0,44.026745,18.132389,48.272797,8.731816,27.169331,9.425128,55.778297,9.785129,23.011707,10.260098,54.344322,19.166681
AFR6       ,2024.86438,804.546753,466.701416,460.186096,3013.608398,175.342712,5132.278809,157.005722,28.909956,31.626051,2620.797119,65.359703,9719.861328,174.463913,10861.204102,155.888245,2173.688721,34.970135,194.688522,8.079053,29.578743,5.968718,22.435722,7.914519,37.27161,5.617385,1265.261475,36.042419,89.709068,9.657098,0,0,137.260376,19.345448,332.7099,13.06211,74.667358,12.363923,40.759907,12.81166,16.030922,13.453736,159.868286,25.341002
AFR7       ,0,0,7764.60498,572.081238,10740.44043,296.788727,21231.847656,500.604126,1898.591309,62.032688,4080.158936,93.064941,20392.203125,355.080719,25228.878906,356.080536,21893.466797,290.132477,1400.651733,38.10725,13.427265,5.111257,12.559129,7.051492,533.665833,13.802766,3294.975586,87.661446,56.047405,7.032037,0,0,165.766556,18.34186,358.062103,10.708883,191.887817,9.755408,172.385178,9.949832,36.334274,9.71552,61.244434,17.895082
AFR8       ,2179.833496,697.963074,1310.925415,431.175354,2238.408447,154.015808,4928.800781,148.824585,0.903436,27.705379,1458.720337,43.296497,7074.883301,129.093048,4744.164551,70.754745,3773.168213,54.559566,184.863785,7.442729,6.923917,5.10069,19.012051,7.443256,49.79504,5.006384,856.100647,25.645573,54.505634,8.196968,0,0,27.418106,18.370155,256.946808,10.842599,57.44733,10.426478,43.806908,10.847447,18.753153,11.258759,48.820911,21.038521
AFR9       ,1557.692261,625.454163,2311.946533,427.371704,7246.756836,224.539688,13475.921875,328.408142,418.124176,32.550499,1727.156982,47.217228,5411.983398,100.3657,4541.307617,67.819489,11503.956055,154.190048,764.488159,21.412157,21.663427,4.833819,16.598373,7.101307,469.659241,12.389562,3504.696289,93.111877,43.29866,7.057875,0,0,71.323151,17.995525,61.834949,8.19245,29.652166,8.814166,84.479988,9.393507,62.483944,9.901432,52.631191,17.834543
AFR10      ,4060.479004,688.384277,3191.781006,436.437225,12780.246094,343.321808,25924.837891,598.790649,12.962754,28.941374,2947.288574,68.873375,9228.069336,165.02562,5728.252441,84.13649,9554.007813,128.876572,747.204712,20.931503,28.681568,4.64712,24.872705,6.967854,117.505585,5.033097,6488.521973,170.347641,28.811447,6.371335,0,0,48.205502,17.683868,57.872257,7.406042,32.797092,7.945641,131.382751,8.632328,23.452124,8.585955,48.729061,16.166988
AFR11      ,2152.075195,753.310486,4144.279785,492.246643,12557.086914,339.865631,25350.703125,587.038269,184.903275,35.745312,3419.000488,79.531418,17193.529297,300.563568,17109.089844,242.724335,12099.082031,162.359558,811.190063,22.733952,18.338242,5.256623,23.731825,7.332571,156.126877,6.221781,5722.963867,150.555359,36.107948,7.749258,0,0,147.490341,18.567888,71.360001,9.130341,121.768501,10.138347,147.105301,10.555048,21.392895,10.631001,234.454468,20.610727
