SampleID,11,11erro,12,12erro,13,13erro,14,14erro,15,15erro,16,16erro,17,17erro,19,19erro,20,20erro,22,22erro,23,23erro,24,24erro,25,25erro,26,26erro,28,28erro,29,29erro,30,30erro,31,31erro,34,34erro,35,35erro,37,37erro,38,38erro,39,39erro,40,40erro,45,45erro,56,56erro,58,58erro,72,72erro,82,82erro
GHA0001      ,13106.338867,1221.227539,2458.585449,468.220123,10428.592773,302.334015,26667.546875,602.876892,225.19017,34.389492,7143.035156,148.755829,27794.994141,481.039429,9224.698242,132.774063,8666.636719,117.445145,839.082092,24.01083,27.550545,5.134163,24.823744,7.278677,224.781219,7.361978,11186.914063,292.28244,32.741104,7.353165,67.688332,14.571363,348.62738,19.696701,0,0,0,0,176.562302,9.254048,20.808537,10.789773,87.530167,9.600748,0,0,41.178848,9.949475,0,0,143.463776,22.320299,0,0,68.025253,20.163538,161.795715,19.359426
GHA0002      ,16735.869141,1428.461426,2053.398438,465.00827,10801.288086,308.458496,27518.060547,621.461304,194.441315,34.905926,7375.350586,153.599823,29043.962891,502.579559,9577.135742,137.704849,8907.756836,120.694702,820.316162,23.495161,27.840551,5.019505,23.232529,7.230846,243.041336,7.627127,11346.566406,296.420685,32.143505,7.099577,55.127781,14.447263,395.20343,19.990648,0,0,0,0,192.730942,9.103339,32.300526,10.445764,95.055618,9.259582,0,0,39.086872,9.61458,0,0,178.191467,21.837332,0,0,53.306339,19.390795,174.977295,18.7146
GHA0003      ,7503.180664,970.666016,1476.686279,440.624847,4162.046387,183.951126,11281.523438,268.262207,462.860443,35.961441,6240.155273,131.580551,15657.620117,274.906036,13013.526367,185.457718,5338.230469,72.866226,341.264771,11.741398,12.891812,4.845011,47.86869,7.45232,311.613708,9.118374,4945.784668,130.435181,53.510674,7.639396,45.915794,14.645355,835.836426,25.235468,0,0,37.167591,8.549854,131.90274,9.26536,30.731487,11.329561,66.584511,10.072702,0,0,19.60557,10.518433,0,0,109.425438,21.547491,0,0,79.081429,21.355314,202.556885,20.124313
GHA004    ,8773.407227,1011.447632,1354.933228,428.83078,3895.773438,178.786911,11047.895508,262.960907,397.022064,33.893703,6107.881836,128.586609,15718.288086,275.553345,13049.631836,185.849869,5552.303711,75.585495,359.663452,11.928407,6.293125,4.554853,51.115562,7.264075,311.404724,8.970501,5025.96875,132.471283,42.664845,7.091795,36.877422,14.268023,828.125854,24.975349,0,0,30.547947,7.906641,136.89299,8.706985,32.915321,8.93624,49.752937,9.151188,0,0,25.571623,9.551108,0,0,117.306396,20.24305,0,0,57.831409,19.349579,190.300323,18.739258
GHA005,21746.835938,2363.55957,18170.591797,1143.027222,111377.523438,2635.221436,288601.875,6391.794434,572.772827,90.101479,14080.039063,294.118134,80569.820313,1384.816162,31520.322266,447.08255,67184.8125,883.530151,7837.276367,209.926514,143.416046,13.232449,135.401169,11.383048,1196.388428,30.775105,75021.679688,1950.104492,37.960602,13.523436,155.625336,19.091421,892.776917,28.516661,0,0,0,0,490.108765,18.066122,172.527054,19.811567,577.062378,20.712355,0,0,269.494781,19.694813,0,0,509.705566,50.369438,0,0,95.79303,36.952583,323.770996,35.370422
GHA006 ,7934.236328,1153.296997,11628.888672,730.973389,65502.714844,1545.968994,168645.984375,3735.600098,156.194489,48.124275,10719.822266,217.097534,24324.310547,422.126678,16918.203125,240.178436,19778.144531,262.328125,3621.872803,97.297623,81.327507,7.518135,53.488678,8.124698,614.118896,16.130377,31383.8125,816.650513,35.523148,8.871354,58.879387,15.279917,518.580017,21.79064,0,0,0,0,216.942749,10.91541,78.277283,10.993009,215.680893,12.035399,0,0,131.493118,12.332449,0,0,245.585999,30.254049,0,0,90.426201,24.169632,195.090439,22.896729
GHA008 ,27232.183594,2885.257568,21654.496094,1328.28833,82380.273438,1952.128052,234136.828125,5198.084961,2118.946289,123.59111,26334.705078,529.917419,162016.59375,2773.432617,91388.257813,1283.215454,95080.234375,1248.734985,5978.058105,160.869171,90.707611,12.51649,118.995018,11.276504,1527.405151,38.394146,53773.613281,1398.424683,35.013203,14.209571,190.930923,19.914045,1719.299438,41.44939,0,0,0,0,997.024536,25.157396,288.743439,22.114452,1053.751953,28.08144,0,0,237.219589,20.361399,0,0,596.759399,50.326908,0,0,90.034599,38.925365,320.781647,37.745365
GHA009  ,273.469055,982.873474,3064.436523,562.693176,26100.507813,673.071167,70152.617188,1558.841675,176.956665,50.179157,18101.214844,358.603882,64492.199219,1106.010132,74772.773438,1047.641602,14940.223633,198.065796,1428.240356,39.440174,30.624605,5.919327,34.909618,7.641798,351.427551,10.178446,12934.182617,337.643341,48.568386,8.294048,67.455734,15.033947,1046.981445,28.45228,0,0,0,0,544.308594,14.170535,175.359222,13.191868,192.936417,11.497027,0,0,58.437626,11.377488,0,0,141.142624,26.05423,0,0,77.2743,22.611303,200.483917,22.182882
GHA010  ,15890.011719,1932.786865,16888.605469,1040.135986,95458.132813,2217.954102,265696.96875,5867.507324,766.638245,77.174232,15275.020508,312.072815,61218.382813,1053.954834,38838.226563,548.229126,54831.6875,721.800964,6154.499512,165.086624,99.120667,11.35267,98.123474,10.269793,1112.398438,28.446104,56484.445313,1468.657837,54.798183,12.370054,175.24292,18.406483,810.978088,26.857441,0,0,0,0,1399.217407,29.775635,146.451828,18.699841,499.907593,18.705153,0,0,253.149384,18.190947,0,0,531.87146,44.469769,0,0,90.234612,33.713879,490.416656,33.921082
GHA011 ,28676.341797,2144.170898,4141.076172,557.975403,15583.80957,421.973999,37102.859375,832.859985,373.206757,46.185829,16198.393555,322.117737,51537.242188,885.742249,17401.480469,246.88797,18373.447266,244.10553,1490.287354,41.172073,35.844707,6.334383,36.451874,7.920633,242.058914,8.316057,15735.200195,410.37323,46.359085,9.078619,244.985367,17.06181,517.499207,21.918129,0,0,42.633961,10.155298,448.14444,13.617141,28.588093,13.465453,149.008804,12.098392,0,0,90.67054,12.565654,0,0,239.076523,27.789078,0,0,97.811157,24.986917,281.810059,24.391005
