SampleID,11,11erro,12,12erro,13,13erro,14,14erro,15,15erro,16,16erro,17,17erro,19,19erro,20,20erro,22,22erro,23,23erro,24,24erro,25,25erro,26,26erro,28,28erro,29,29erro,30,30erro,35,35erro,37,37erro,38,38erro,40,40erro,45,45erro,56,56erro,58,58erro,82,82erro
GPE1        ,1669.265015,858.788086,1128.857178,459.56604,655.055176,146.185669,462.665924,79.846436,24.329424,27.253105,391.984467,21.0672,128.686157,18.460995,297.652557,13.53437,175.504425,12.844604,41.464863,6.4192,0,0,37.681801,8.343781,31.354433,6.142937,200.425018,11.744683,90.074028,10.531009,2.692267,16.566414,78.301399,19.523853,50.864658,12.072235,21.435989,13.064296,41.490631,13.398604,17.839998,13.991343,147.491699,35.307285,0,0,0,0,72.376373,26.79085
GPE2        ,1578.203247,453.993225,814.727295,464.707672,614.314575,62.060333,115.92514,79.291336,18.490362,28.548811,230.073395,19.880234,178.116196,19.398205,273.790039,13.512862,133.171906,12.713769,0,0,0,0,6.83454,8.356537,0,0,91.317055,9.358438,0,0,67.771477,16.121264,44.170906,19.517969,0,0,0,0,0,0,0,0,243.690521,34.506771,0,0,25.956085,35.248108,,
GPE3        ,2334.357178,429.152985,495.808044,426.355255,387.745331,58.204632,298.862152,72.203285,5.83298,24.304348,417.74939,20.254116,222.133545,17.712267,427.298492,14.109162,118.923569,11.773773,26.21821,5.510723,0,0,28.432579,7.785724,18.882875,5.266391,116.515182,10.053884,65.994148,8.868462,16.256958,15.621389,48.285057,18.673138,42.62812,10.302083,16.976597,11.144389,31.925711,11.672933,9.928676,11.993987,22.169544,33.644058,0,0,0,0,64.74424,22.616566
GPE4        ,607.107483,383.045135,397.999329,380.682251,525.382874,52.017681,400.567566,62.505112,2.91649,19.119295,390.553741,17.424744,255.565475,15.660568,399.487885,12.79579,195.470947,11.580778,36.302135,4.444752,0.276937,4.338683,28.148447,7.107876,11.271348,4.069694,123.016052,9.037817,39.834309,6.810778,0,0,34.827007,17.805874,25.784708,7.846054,12.58776,8.490822,25.968283,8.743659,7.530175,9.121003,12.861549,31.371771,0,0,0,0,43.97538,17.382446
GPE5        ,15.065207,364.975128,195.022522,365.064331,422.345062,50.903183,460.831299,60.865234,2.273117,17.860258,683.768982,21.481678,497.760101,18.895182,549.016357,14.012843,198.945724,11.365651,21.414783,4.002995,5.796984,3.979173,25.000807,6.875529,16.064827,3.77002,172.401764,9.223054,31.129667,6.219441,0,0,34.657394,17.607576,31.739531,7.19568,12.251567,7.807839,16.072718,7.990023,4.779067,8.384822,0,0,0,0,0,0,54.522152,15.873325
GPE6        ,1111.887329,463.896057,826.966064,461.56781,630.585754,66.190033,496.990936,82.550072,3.243923,28.222202,503.541382,22.942451,246.590118,20.278627,602.358765,16.984966,275.590149,13.841628,31.758669,6.381839,0,0,43.085884,8.392159,31.287006,6.254667,183.745453,11.422042,87.432999,10.525424,0,0,75.415833,19.520411,58.493275,12.165955,16.101131,13.134627,37.132587,13.522184,6.784225,14.183245,110.97641,36.107491,0,0,0,0,87.944862,26.910215
GPE7        ,2505.703613,473.516937,899.268738,452.092133,495.884003,65.471436,313.972656,78.941025,14.582449,26.898026,180.34996,18.082335,196.115402,15.435512,162.868393,10.04847,114.52224,10.736195,44.29171,6.578104,0,0,46.487709,8.451052,32.871021,6.362894,139.538208,11.408817,86.803116,10.789701,0,0,73.512001,19.65073,49.44775,12.296204,18.254663,13.266362,32.383972,13.886163,12.10406,14.504387,135.123199,36.125797,0,0,0,0,73.617317,27.299982
GPE8        ,1344.541504,412.026581,753.533142,409.683105,446.941559,53.631207,102.544212,65.952347,7.785416,22.383587,533.22168,20.402206,205.281708,13.57346,834.177185,16.086767,52.555569,10.079023,19.76181,5.073189,1.447735,5.144149,36.983665,7.553128,19.509426,4.8244,56.71648,9.109813,59.627781,8.126941,0,0,44.170906,18.354712,51.276436,9.434998,21.532547,10.16895,25.638561,10.432768,16.834929,10.948782,45.752598,32.897213,0,0,0,0,61.737095,20.785089
GPE9        ,996.665466,405.77948,700.49823,395.338318,890.484131,63.95425,969.396179,74.755363,3.892708,21.410028,510.296265,19.485914,159.212341,12.31369,378.800507,11.069036,163.894241,10.45545,53.267593,5.270415,1.416932,5.051739,34.216976,7.481794,21.532291,4.782764,470.661896,13.424584,53.713356,7.931649,0,0,27.28027,18.236324,34.480476,9.202568,12.33535,9.92346,29.716265,10.20681,19.012581,10.643139,13.266578,32.10667,0,0,0,0,57.491146,20.34091
GPE10       ,454.559601,634.238342,636.080383,400.931702,471.709351,125.938835,474.226196,69.197166,3.247309,21.432335,788.270691,23.907799,1088.455811,25.619123,3219.126953,45.598129,191.495529,10.891953,35.872677,4.832021,0.709206,4.686942,25.647905,7.27676,15.547334,4.44243,210.365829,9.953338,51.74004,7.473732,0,0,49.964993,18.073513,36.81612,8.650982,14.305577,9.354747,23.037561,9.600624,9.893508,10.062954,0,0,0,0,0,0,43.627491,19.07703
