Z,R,Uncert
11,0.0007842864000000250,0.0000375113971061857
12,0.0018706192000000600,0.0000732111138639175
13,0.0059439288000000300,0.0001352199377207740
14,0.0131241456000001000,0.0002715625865035690
15,0.0235312000000000000,0.0004613988634862990
16,0.0372850224000001000,0.0006711202053284370
17,0.0545055432000001000,0.0008792378972462940
18,0.0753126928000001000,0.0010820446738774900
19,0.0998264016000001000,0.0013040357987261400
20,0.1281666000000000000,0.0016068766274667500
21,0.1604532184000000000,0.0020802145275166200
22,0.1965983056000010000,0.0051059246151302500
23,0.2477606039000000000,0.0045841014064457300
24,0.2952387048000010000,0.0052575307286830600
25,0.3395528125000000000,0.0064890047263328200
26,0.3812231311999990000,0.0063239927343924100
27,0.3977758790000020000,0.0065497031165159200
28,0.4103929760000020000,0.0064860412177054700
29,0.4159378570000010000,0.0061977179011839800
30,0.4153310000000020000,0.0057853670014866400
31,0.4094928830000010000,0.0053678257787363400
32,0.3993439840000010000,0.0050602255835171200
33,0.3858047810000020000,0.0049355093749125700
34,0.3697957520000020000,0.0049862263462501600
35,0.3522373750000000000,0.0051274818384334800
36,0.3340501279999990000,0.0052437534941829100
37,0.3161544890000040000,0.0052418829329100800
38,0.2994709360000010000,0.0051013392710448400
39,0.2849199470000020000,0.0049547977711408500
40,0.2734220000000020000,0.0052058905948829400
41,0.2658975730000000000,0.0064452280692909100
