Z,R,Uncert
11,0.0007989363,3.76041117174085E-05
12,0.0017209751,7.75294960410814E-05
13,0.007095641,0.0003561757
14,0.0150674785,0.00053469
17,0.0491225643,0.001232082
19,0.0997574248,0.003531052
20,0.1369533261,0.0048540854
21,0.1598152948,0.0079965747
22,0.1983838254,0.0070188644
24,0.2961787521,0.0104755721
26,0.3836137295,0.0135812369
28,0.4273684998,0.0151153437
29,0.414897393,0.0119946413
30,0.4336459089,0.0216889341
32,0.3912424673,0.0138377745
34,0.3574835126,0.0126463756
35,0.3488818447,0.008732335
37,0.3321144502,0.0166168075
38,0.3180865696,0.0112552064
39,0.2750920542,0.0097306249
41,0.2650150613,0.0132581454
42,0.3086658449,0.010920747
