Z,R,Uncert
11,0.000752400666999994,0.000050369358283325
12,0.001745381056000010,0.000069108629482241
13,0.005691044148999970,0.000131744203678058
14,0.012676209928000000,0.000271852449427306
15,0.022787698375000000,0.000466006799737388
16,0.036112329472000000,0.000680878551620275
17,0.052736923201000000,0.000894035751244928
18,0.072748299544000000,0.001098742249643100
19,0.096233278483000000,0.001313684384501760
20,0.123278680000000000,0.001593277159478380
21,0.153971324077000000,0.002023761624525820
22,0.194847360908000000,0.004909341493559170
23,0.238291037284499000,0.004413881802347130
24,0.279357085024000000,0.005137162499360180
25,0.318400584687500000,0.006370327511310520
26,0.355776616835999000,0.006543740194037880
27,0.364099322769998000,0.006796391275446800
28,0.375657698880000000,0.006733766699132600
29,0.381669820909999000,0.006430886627658260
30,0.382759029999998000,0.005997037467466590
31,0.379548667290000000,0.005559854642111550
32,0.372662073919998000,0.005243264295917550
33,0.362722591030000000,0.005126053066207000
34,0.350353559760000000,0.005199816343987780
35,0.336178321249998000,0.005372077705973290
36,0.320820216639999000,0.005516554823489860
37,0.304902587070000000,0.005527232162467490
38,0.289048773679997000,0.005365232481077330
39,0.273882117609998000,0.005134310372664710
40,0.260025959999997000,0.005216168645635700
41,0.248103641989998000,0.006262445900540770
