Z,R,Uncert
11,0.0007776509,5.06137297048922E-005
12,0.0016237592,7.29800853821365E-005
13,0.006754483,0.0003389931
14,0.0143480269,0.0005092616
17,0.046690912,0.0013509025
19,0.0931361756,0.0032952523
20,0.1317028386,0.0046861177
21,0.1546538054,0.0077381524
22,0.1903450574,0.0067343537
24,0.2843247249,0.01005749
26,0.3605680941,0.0127583427
28,0.4087832009,0.0204460539
29,0.3903136844,0.0138094305
30,0.3553854642,0.0177834255
32,0.3732946917,0.0132042639
34,0.3431888674,0.0121414222
35,0.3366452377,0.0097295619
37,0.3178880165,0.0159054067
38,0.297059753,0.0148596433
39,0.2651692634,0.0093803425
41,0.2536997008,0.0126923671
42,0.2977802077,0.0105344052
