Z,R,Uncert
29,0.0012488622175118000,0.0000670791781034330
30,0.0024277319300001900,0.0000976186237764086
31,0.0034246016941711600,0.0001358915396950510
32,0.0043237837287169600,0.0001490360982082620
33,0.0052005124080450500,0.0001442365461866500
34,0.0061213033994019500,0.0001333384265507820
35,0.0071443128000001100,0.0001302366854721140
36,0.0083196962741506600,0.0001447496579172560
37,0.0096899681903867000,0.0001752714700042510
38,0.0112903607585950000,0.0002141113158438680
39,0.0131491831671416000,0.0002550905688878730
40,0.0152881807199998000,0.0002948786848299940
41,0.0177228939738817000,0.0003322604940915200
42,0.0204630178753568000,0.0003674888723084730
43,0.0235127608979958000,0.0004018333227037650
44,0.0268712041794819000,0.0004371740911820220
45,0.0305326606587505000,0.0004755689700064710
46,0.0344870342131124000,0.0005188181196778680
47,0.0387201787953770000,0.0005681201037334060
48,0.0432142575709952000,0.0006239110455482350
49,0.0479481020551709000,0.0006859097436496720
50,0.0528975712500003000,0.0007533139009898140
51,0.0580359107815900000,0.0008250625288889730
52,0.0633341120371946000,0.0009000981145791900
53,0.0687612713023451000,0.0009775956827580980
54,0.0742849488979607000,0.0010571487560893900
55,0.0798715283174989000,0.0011389090831422600
56,0.0854865753640706000,0.0012236732480609000
57,0.0910951972875655000,0.0013129020019251000
58,0.0966624019217957000,0.0014086536388590600
59,0.1021534568216000000,0.0015134164691233200
60,0.1075342484000010000,0.0016298407683331600
61,0.1127716410652980000,0.0017603953352434800
62,0.1178338363582380000,0.0019069981024479000
63,0.1226907320890950000,0.0020706804196424100
64,0.1273142814748420000,0.0022513329536234100
65,0.1316788522762510000,0.0024475531536507100
66,0.1357615859350280000,0.0026565849888868000
67,0.1395427567109540000,0.0028743243362050300
68,0.1430061308189950000,0.0030953614744730000
69,0.1461393255664340000,0.0033130409892971900
70,0.1489341684900010000,0.0035195325500968000
71,0.1513870564930080000,0.0037059198835383800
72,0.1534993149824770000,0.0038623304268333000
73,0.1552775570062440000,0.0039781494666970500
74,0.1567340423901200000,0.0040424008425622600
75,0.1578870368750010000,0.0040444546824123900
76,0.1587611712539840000,0.0039753942714740800
77,0.1593878005095460000,0.0038307652417821800
78,0.1598053629505940000,0.0036163268012235800
79,0.1600597393496630000,0.0033602784146247700
80,0.1602046120800010000,0.0031373141628590800
81,0.1603018242527180000,0.0030992558219521300
82,0.1604217388539160000,0.0034529904187410200
83,0.1606435978818000000,0.0043315443180811100
