Z,R,Uncert
29,0.0012438101,6.72051505361253E-05
32,0.0043852224,0.0002275576
34,0.0071171035,0.0002573498
35,0.0065115167,0.0001977762
37,0.0093152622,0.0005467761
38,0.0144505487,0.0008232754
39,0.0120719522,0.0004513253
41,0.0185328864,0.0009624941
42,0.0221470867,0.0008141965
45,0.0308379045,0.0015479441
47,0.0407654867,0.002048905
51,0.0595210713,0.0021097126
52,0.0631781955,0.0022364915
53,0.0630361544,0.0031599066
55,0.0775780469,0.002246386
56,0.0839026664,0.0029698277
60,0.1160729146,0.0058097951
66,0.1395562746,0.0069841709
70,0.1470452359,0.0073590991
74,0.1525555484,0.0076353234
78,0.1612758191,0.0080711541
79,0.1717360055,0.0085940104
82,0.1575479153,0.005577115
83,0.1604447459,0.0056783416
