Z,R,Uncert
29,0.0011348494596001,0.0000362228677336
30,0.0023162200000003,0.0000749529272926
31,0.0033306685403999,0.0001085174473817
32,0.0042575564928005,0.0001189821618527
33,0.0051676581172005,0.0001152092165238
34,0.0061235013696003,0.0001087363454183
35,0.0071797087500009,0.0001118198540280
36,0.0083833381504002,0.0001305019284969
37,0.0097742237028005,0.0001610678692918
38,0.0113853166271999,0.0001970746715614
39,0.0132430260796008,0.0002341186486975
40,0.0153675600000008,0.0002700239146585
41,0.0177732659604006,0.0003041857423872
42,0.0204689720128004,0.0003370784700715
43,0.0234583275372007,0.0003698825760530
44,0.0267401440896012,0.0004041312646478
45,0.0303087362500009,0.0004413535867301
46,0.0341542624704017,0.0004827574375684
47,0.0382630659228025,0.0005290223842939
48,0.0426180153472024,0.0005802468303055
49,0.0471988458996012,0.0006360392803155
50,0.0519825000000023,0.0006957021858597
51,0.0569434681804009,0.0007584506083858
52,0.0620541299328019,0.0008236254549301
53,0.0672850945572014,0.0008908809889206
54,0.0726055420096028,0.0009603367984599
55,0.0779835637500013,0.0010326847773151
56,0.0833865035904018,0.0011092364694375
57,0.0887812985428027,0.0011918913223138
58,0.0941348196672021,0.0012830082334744
59,0.0994142129196032,0.0013851760644446
60,0.1045872400000040,0.0015009030747780
61,0.1096226192004040,0.0016322714657442
62,0.1144903662528030,0.0017806166908423
63,0.1191621351772000,0.0019462818566883
64,0.1236115591296030,0.0021284696844075
65,0.1278145912500040,0.0023251838664872
66,0.1317498455104030,0.0025332329350894
67,0.1353989375628000,0.0027482671104599
68,0.1387468255872060,0.0029648270054926
69,0.1417821511396040,0.0031763952221083
70,0.1444975800000040,0.0033754534594885
71,0.1468901430204010,0.0035535582848756
72,0.1489615769728010,0.0037014608727688
73,0.1507186653972030,0.0038093153524836
74,0.1521735794496070,0.0038670575757444
75,0.1533442187500050,0.0038651136259014
76,0.1542545522303990,0.0037957668191800
77,0.1549349589828090,0.0036558936209449
78,0.1554225691072040,0.0034526341171073
79,0.1557616045595990,0.0032152378312698
80,0.1560037200000100,0.0030175451598753
81,0.1562083436404040,0.0030039386613308
82,0.1564430180928050,0.0033630469679277
83,0.1567837412172020,0.0042112704662096
