Z,R,Uncert
29,0.0011570743,3.62534662699196E-05
32,0.0042667654,0.0001566888
34,0.0069771053,0.0002524819
35,0.006204288,0.0001680483
37,0.0096122331,0.0005547302
38,0.0143474314,0.0005793797
39,0.0119449308,0.0004463666
41,0.0186452199,0.0009692821
42,0.0210861088,0.0007757895
45,0.0303199397,0.001521753
47,0.0385863476,0.0019399182
51,0.0565571629,0.002005267
52,0.0581859771,0.002061926
53,0.0590194662,0.0029591454
55,0.0748735034,0.001878215
56,0.0803601633,0.0028445231
60,0.1126066169,0.0056364345
66,0.1344736655,0.0067300815
70,0.1409356681,0.0070536926
74,0.1466940817,0.0073423168
78,0.1554915638,0.0077819903
79,0.1646813028,0.0082421039
82,0.1536998108,0.0054412389
83,0.1564562243,0.0055375866
