Z,R,Uncert
29,0.0011262947384994600,0.0000612393191309727
30,0.0021919599999996700,0.0000772177850032969
31,0.0031222102914996300,0.0001042008192139010
32,0.0039850620479996700,0.0001136239346577090
33,0.0048413784444998300,0.0001110126997690870
34,0.0057451413759994900,0.0001066055871912650
35,0.0067437234374992200,0.0001110860797783470
36,0.0078781599039988400,0.0001292228968947170
37,0.0091834207105003000,0.0001576359925750840
38,0.0106886824319993000,0.0001907521986773860
39,0.0124176002634987000,0.0002247099403259260
40,0.0143885799999998000,0.0002576273188098250
41,0.0166150500164991000,0.0002890956194157780
42,0.0191057332479990000,0.0003197490783448760
43,0.0218649191694987000,0.0003509023927986500
44,0.0248927357759989000,0.0003841816825188240
45,0.0281854215624987000,0.0004211441934312260
46,0.0317355975039983000,0.0004629490870373450
47,0.0355325390354989000,0.0005101609794123970
48,0.0395624480319988000,0.0005627259144982230
49,0.0438087247884994000,0.0006200929833468740
50,0.0482522400000003000,0.0006814161372490090
51,0.0528716067414993000,0.0007457751044612050
52,0.0576434524479991000,0.0008123798486537200
53,0.0625426908944989000,0.0008807450648590390
54,0.0675427941760005000,0.0009508305875899570
55,0.0726160646874980000,0.0010231425218266700
56,0.0777339071039989000,0.0010987837566878300
57,0.0828671003604984000,0.0011794366072708300
58,0.0879860696319970000,0.0012672597638085300
59,0.0930611583134993000,0.0013646909360765900
60,0.0980628999999973000,0.0014741665717734200
61,0.1029622904664980000,0.0015977948374946800
62,0.1077310596479980000,0.0017370352629040600
63,0.1123419436194970000,0.0018924367443249100
64,0.1167689565759970000,0.0020634643743623300
65,0.1209876628124960000,0.0022484165756701900
66,0.1249754487039980000,0.0024444120661239900
67,0.1287117946854990000,0.0026474187320695300
68,0.1321785472319970000,0.0028523014140621800
69,0.1353601908384950000,0.0030528765105767700
70,0.1382441199999960000,0.0032419730831245400
71,0.1408209111914970000,0.0034115113328240300
72,0.1430845948479940000,0.0035526218307956400
73,0.1450329273444960000,0.0036558478681821400
74,0.1466676629759990000,0.0037115088594614900
75,0.1479948259374940000,0.0037103764007430800
76,0.1490249823039970000,0.0036449750835868700
77,0.1497735120104940000,0.0035121813274610800
78,0.1502608808319940000,0.0033186020725863300
79,0.1505129123634970000,0.0030918016879838900
80,0.1505610599999940000,0.0029016421479632000
81,0.1504426789164940000,0.0028852601812074400
82,0.1502012980479930000,0.0032233430712469200
83,0.1498868920694980000,0.0040295531259439300
