Z,R,Uncert
29,0.0011312315,6.13975236684416E-005
32,0.0039695351,0.0001464921
34,0.0065861681,0.0002386295
35,0.0058272531,0.0001781712
37,0.0082130657,0.000490163
38,0.0123360138,0.000699457
39,0.0107841042,0.0004038977
41,0.0172031765,0.0008968957
42,0.019893273,0.0007318877
45,0.0282580752,0.0014188324
47,0.036050108,0.0018123697
51,0.0540380665,0.0019162144
52,0.0552956502,0.0019594559
53,0.0563822546,0.0028272412
55,0.071021711,0.0020582188
56,0.0774007238,0.0027403605
60,0.1052227018,0.0052663483
66,0.1281107839,0.0064118489
70,0.1363712128,0.0068253933
74,0.1392157674,0.0069682322
78,0.1504402255,0.0075293299
79,0.160177141,0.0080159801
82,0.1485189325,0.0052562839
83,0.1487998415,0.0052665011
