Linha L,R,Erro
32,0.0042159906,0.0002202212
34,0.0070982634,0.0003624992
35,0.0022322038,0.0001151147
37,0.0033415103,0.0002145439
38,0.011861169,0.00070796
39,0.0151906553,0.0008741412
41,0.0165041253,0.0008733689
42,0.0224585795,0.001153946
46,0.0204127118,0.0010220964
47,0.0257984287,0.0012964576
49,0.0269932515,0.0013513846
50,0.0308085396,0.0015426377
51,0.0353228543,0.001771082
52,0.0372301935,0.0018658697
53,0.0347612132,0.0017483266
55,0.0426831399,0.0021368564
56,0.0515101674,0.0025783477
57,0.0571698098,0.0028618364
58,0.0623375571,0.0031201007
60,0.0718365432,0.0035949081
62,0.0781775419,0.0039124832
64,0.0833804424,0.0041724026
65,0.0863987122,0.004323544
68,0.089385361,0.0044732972
69,0.0821928489,0.0041127848
70,0.0892207862,0.0044654933
74,0.0947942407,0.0047450198
78,0.10694182,0.005352039
79,0.1005206521,0.0050311101
81,0.09658698,0.0048340604
82,0.0921323319,0.0046111264
83,0.0986242567,0.0049367492
