cook,year2000,year2010,Urban,Rural,Western,Central,Acra,Volta,Eastern,Ashanti,Ahafo,Northern,East,West
None no cooking,3.5,5.6,7.2,3.6,5.3,5.1,6.9,2.6,4.6,8.1,6.6,2.1,1.8,2.1
Wood,55.8,40.2,13.8,73.4,48.4,44.2,3.5,57.1,49.9,29.8,60,76.5,60.4,73.4
Gas,6.2,18.2,28.9,4.8,15,12.5,41.4,9.3,11.8,21.1,7.5,3.3,4.9,4.1
Electricity,1.1,0.5,0.8,0.3,0.6,0.2,0.9,0.2,0.5,0.7,0.2,0.4,0.2,0.4
Kerosene,2,0.5,0.7,0.3,0.4,0.6,1.1,0.5,0.5,0.4,0.2,0.4,0.2,0.3
Charcoal,30,33.7,47.9,15.9,29.7,36.9,45.4,29.6,32.1,39.3,24.9,16.4,15.2,19
Crop residue,*,0.8,0.2,1.6,0.3,0.3,0.1,0.5,0.3,0.2,0.4,0.6,16.7,0.7
Saw dust,*,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.2,0.2,0.1,0.1
Animal waste,*,0,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0
Other,1.1,0.1,0.2,0.1,0.1,0.1,0.3,0.1,0.1,0.2,0.1,0.1,0.3,0
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100
