type,(2000),(2010),Urban,Rural,Western,Central,Accra,Volta,Eastern,Ashanti,Ahafo,Northern,East,West
Electricity (mains),43.7,64.2,83.8,39.5,65,66.1,87.1,49.6,58.5,73.6,53.8,36.1,24.1,30.9
Electricity (private generator),*,0.7,0.6,0.7,0.9,0.7,0.6,0.8,0.7,0.6,0.5,0.7,0.6,0.6
Kerosene lamp,54.9,17.8,8.4,29.5,12.2,20.7,5.9,40.4,25.2,7,11.9,42.3,45.5,19.5
Gas lamp,0.3,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3
Solar energy,0.1,0.2,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.3,0.3,0.7
Candle,*,0.8,1.1,0.3,0.4,0.5,1.9,0.5,0.4,0.8,0.3,0.2,0.2,0.3
Flashlight/Torch,*,15.7,5.5,28.6,20.7,11.2,3.9,8,14.3,17.3,32.6,19,27.6,45
Firewood,*,0.2,0.1,0.4,0.2,0.2,0.1,0.3,0.3,0.1,0.2,0.7,0.7,1.2
Crop residue,*,0.1,0,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.2,0.5,0.3
Other,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.1,0.3,1.2
Total,99.3**,100,100,100,100,100,100,100,100,100,100,100,100,100
