SiteName,Neighborhood,SiteType,StartTime,EndTime,Season,SamplingYear,SampleID,SampleType,SampleDuration,MassConc,volumem3,Mass,QCvoid,QCFlag,Duplicate
ADEPA,AD,R,3/29/2007 6:35,3/31/2007 6:31,4,1,ACC001MS,PM2.5,2928,24.89,14.181768,356.4,0,0,0
NMT,NM,T,3/29/2007 6:28,3/31/2007 6:45,4,1,ACC003MS,PM2.5,2454,36.8,12.4169658,460.4,1,0,0
NMT,NM,T,3/29/2007 6:28,3/31/2007 6:45,4,1,ACC004MS,PM10,2454,77.47,10.119675,787.4,1,0,0
ADEPA,AD,R,3/29/2007 6:35,3/31/2007 6:31,4,1,ACC005MS,PM10,2928,53.92,11.6086416,629.4,0,0,0
NMA,NM,R,3/29/2007 6:56,3/31/2007 6:20,4,1,ACC006MS,PM10,2844,58.02,11.400174,664.9,0,0,0
NMA,NM,R,3/29/2007 6:56,3/31/2007 6:20,4,1,ACC007MS,PM2.5,2844,28.21,14.1231618,401.9,0,0,0
ADA,AD,R,3/29/2007 7:00,3/31/2007 7:02,4,1,ACC008MS,PM10,2766,40.84,10.6868502,439.9,0,0,1
ADA,AD,R,3/29/2007 7:00,3/31/2007 7:02,4,1,ACC009MS,PM10,2766,64.36,10.7591202,695.9,0,0,1
ADT,AD,T,3/29/2007 6:11,3/31/2007 6:01,4,1,ACC011MS,PM10,2868,114.79,11.5817946,1332.9,0,0,0
ADEPA,AD,R,3/31/2007 6:38,4/2/2007 8:39,4,1,ACC013MS,PM10,2718,41.49,11.0002896,459.9,0,0,0
NMT,NM,T,3/31/2007 6:50,4/2/2007 6:05,4,1,ACC014MS,PM10,2154,55.87,8.5814283,482.9,1,0,0
NMA,NM,R,3/31/2007 6:25,4/2/2007 6:35,4,1,ACC015MS,PM10,1734,55.62,7.1635875,401.9,1,0,0
NMT,NM,T,3/31/2007 6:50,4/2/2007 6:05,4,1,ACC016MS,PM2.5,2154,24.99,10.8024177,273.4,1,0,0
NMA,NM,R,3/31/2007 6:25,4/2/2007 6:35,4,1,ACC017MS,PM2.5,1734,29.43,8.8663755,264.4,1,0,0
ADEPA,AD,R,3/31/2007 6:38,4/2/2007 8:39,4,1,ACC019MS,PM2.5,2718,19.54,13.326354,263.9,0,0,0
ADA,AD,R,3/31/2007 7:11,4/2/2007 7:27,4,1,ACC020MS,PM2.5,2898,20.61,14.553756,303.4,0,0,0
ADT,AD,T,3/31/2007 6:07,4/2/2007 6:10,4,1,ACC021MS,PM10,2886,89.38,11.6405367,1043.84,0,0,0
ADA,AD,R,3/31/2007 7:11,4/2/2007 7:27,4,1,ACC022MS,PM10,2898,44.66,11.4498531,514.84,0,0,0
ADT,AD,T,3/31/2007 6:07,4/2/2007 6:10,4,1,ACC023MS,PM2.5,2886,32.56,14.493492,475.34,0,0,0
ADT,AD,T,4/2/2007 6:12,4/4/2007 6:09,4,1,ACC024MS,PM2.5,2874,48.06,14.262225,688.84,0,0,0
ADEPA,AD,R,4/2/2007 8:44,4/4/2007 7:13,4,1,ACC025MS,PM2.5,1158,18.12,5.815476,108.84,1,0,0
NMT,NM,T,4/2/2007 6:10,4/4/2007 6:50,4,1,ACC026MS,PM2.5,2424,35.45,12.096972,432.34,1,0,0
ADA,AD,R,4/2/2007 7:38,4/4/2007 6:45,4,1,ACC027MS,PM2.5,1704,33.31,8.658876,291.84,1,0,0
ADEPA,AD,R,4/2/2007 8:44,4/4/2007 7:13,4,1,ACC028MS,PM10,1158,38.32,4.6548126,181.84,1,0,0
NMA,NM,R,4/2/2007 6:40,4/4/2007 6:28,4,1,ACC029MS,PM10,2862,43.31,11.472327,500.34,0,0,0
ADT,AD,T,4/2/2007 6:12,4/4/2007 6:09,4,1,ACC030MS,PM10,2874,101.74,11.5526178,1178.84,0,0,0
NMT,NM,T,4/2/2007 6:10,4/4/2007 6:50,4,1,ACC031MS,PM10,2424,63.29,9.716604,618.38,1,0,0
ADA,AD,R,4/2/2007 7:38,4/4/2007 6:45,4,1,ACC032MS,PM10,1704,59.61,6.8261388,410.38,1,0,0
NMA,NM,R,4/2/2007 6:40,4/4/2007 6:28,4,1,ACC033MS,PM2.5,2862,21.14,14.282811,305.38,0,0,0
NMA,NM,R,4/4/2007 6:30,4/6/2007 6:19,4,1,ACC035MS,PM2.5,2436,29.16,12.3960732,364.88,1,0,0
ADEPA,AD,R,4/4/2007 7:20,4/6/2007 6:44,4,1,ACC036MS,PM2.5,2886,29.99,14.319276,432.88,0,0,0
ADA,AD,R,4/4/2007 6:52,4/6/2007 7:39,4,1,ACC038MS,PM2.5,1926,42.78,10.050078,433.38,1,0,0
NMT,NM,T,4/4/2007 6:55,4/6/2007 6:04,4,1,ACC039MS,PM10,2448,61.16,9.7527096,599.88,1,0,0
NMT,NM,T,4/4/2007 6:55,4/6/2007 6:04,4,1,ACC040MS,PM2.5,2448,30.89,12.216744,380.88,1,0,0
NMA,NM,R,4/4/2007 6:30,4/6/2007 6:19,4,1,ACC041MS,PM10,2436,53.04,9.764706,521.38,1,0,0
ADEPA,AD,R,4/4/2007 7:20,4/6/2007 6:44,4,1,ACC042MS,PM10,2886,51.73,11.3662242,591.38,0,0,0
ADT,AD,T,4/4/2007 6:14,4/6/2007 6:15,4,1,ACC043MS,PM2.5,2874,51.87,14.091222,734.38,0,0,0
ADA,AD,R,4/4/2007 6:52,4/6/2007 7:39,4,1,ACC044MS,PM10,1926,79.05,7.7978772,619.88,1,0,0
ADT,AD,T,4/4/2007 6:14,4/6/2007 6:15,4,1,ACC045MS,PM10,2874,106.13,11.6316528,1237.88,0,0,0
NMT,NM,T,4/6/2007 6:06,4/8/2007 6:18,4,1,ACC046MS,PM2.5,2856,33.76,14.3930976,489.38,0,0,0
ADA,AD,R,4/6/2007 7:48,4/8/2007 7:10,4,1,ACC047MS,PM2.5,2844,28.67,14.108352,407.88,0,0,0
