SampleID,MASS.CONC,MASS.UNC,Al.CONC,Al.UNC,Si.CONC,Si.UNC,P.CONC,P.UNC,S.CONC,S.UNC,Cl.CONC,Cl.UNC,K.CONC,K.UNC,Ca.CONC,Ca.UNC,Sc.CONC,Sc.UNC,Ti.CONC,Ti.UNC,V.CONC,V.UNC,Cr.CONC,Cr.UNC,Mn.CONC,Mn.UNC,Fe.CONC,Fe.UNC,Co.CONC,Co.UNC,Ni.CONC,Ni.UNC,Cu.CONC,Cu.UNC,Zn.CONC,Zn.UNC,Ga.CONC,Ga.UNC,Ge.CONC,Ge.UNC,As.CONC,As.UNC,Se.CONC,Se.UNC,Br.CONC,Br.UNC,Rb.CONC,Rb.UNC,Sr.CONC,Sr.UNC,Y.CONC,Y.UNC,Zr.CONC,Zr.UNC,Nb.CONC,Nb.UNC,Mo.CONC,Mo.UNC,Rh.CONC,Rh.UNC,Pd.CONC,Pd.UNC,Ag.CONC,Ag.UNC,Cd.CONC,Cd.UNC,In.CONC,In.UNC,Sn.CONC,Sn.UNC,Sb.CONC,Sb.UNC,Te.CONC,Te.UNC,I.CONC,I.UNC,Cs.CONC,Cs.UNC,Ba.CONC,Ba.UNC,La.CONC,La.UNC,Ce.CONC,Ce.UNC,Pr.CONC,Pr.UNC,Nd.CONC,Nd.UNC,Sm.CONC,Sm.UNC,Eu.CONC,Eu.UNC,Gd.CONC,Gd.UNC,Tb.CONC,Tb.UNC,Dy.CONC,Dy.UNC,Ho.CONC,Ho.UNC,Er.CONC,Er.UNC,Tm.CONC,Tm.UNC,Yb.CONC,Yb.UNC,Lu.CONC,Lu.UNC,Ta.CONC,Ta.UNC,W.CONC,W.UNC,Pt.CONC,Pt.UNC,Au.CONC,Au.UNC,Hg.CONC,Hg.UNC,Tl.CONC,Tl.UNC,Pb.CONC,Pb.UNC,Bi.CONC,Bi.UNC,Th.CONC,Th.UNC,U.CONC,U.UNC
GHA022MS,"819999,952339361","41012,1882262593","15209,8541139974","1993,5852805011","45837,6508794633","4912,6256124875","-478,8203093674","246,6508788029","14871,7616662043","931,2421453836","62279,6074540926","3704,7000393975","15098,7336830545","929,8022286553","23709,5042854527","1491,9868598421","-323,9675503636","66,8944171467","2108,4357814449","150,9444135986","42,6352486489","26,4670408145","22,6272628725","12,6026997454","357,4696129076","36,0390586842","20176,2229041802","1237,1215989418","-269,4015631093","87,4372291364","95,1167850204","51,2061815551","100,6158955731","24,3963034244","712,9781963662","48,0246512603","16,4699046727","10,4085409214","-9,3114615094","8,6120733842","-9,2703210314","15,5373871725","7,8989717664","6,9253137883","347,7193196334","23,587207358","46,2830376938","8,0772471709","160,7907013213","13,0963854808","-25,3151074319","26,9332995646","9,8874282007","26,3573328733","9,8188607374","26,4670408145","-11,4370528701","27,7149686457","-18,5817825408","18,5954960334","-12,9729640469","21,3519080561","10,4496813993","22,5861223946","39,4537183541","26,7824511455","44,7196995317","29,346874271","94,5819588071","36,203620596","131,1695571973","41,4421747883","117,9223232974","46,7355829512","41,3187533545","54,6071277323","21,393048534","50,739922805","172,3100351473","72,2152522949","-40,9210620676","51,5215918861","52,5912443128","74,5602595381","-62,1632621825","58,8308834685","-97,640067668","39,3988643835","-93,9785651305","35,8059293092","178,1382695235","302,8899121606","-331,3454094093","189,7398843054","1597,6767476956","396,9233312616","24,3688764391","131,2792651385","-97,6949216386","162,7243037849","-95,6104707558","47,6681004514","-96,2412914177","110,5444642517","-312,4893570156","96,6526961972","74,5602595381","46,1047622893","-47,6269599735","45,4053741642","176,6846393026","45,7619249731","-8,1458146341","18,7600579452","-35,9567777283","18,1155237907","-6,308206619","15,2494038268","-36,3681825078","9,6542988256","489,7911034874","38,4937738686","-1,5084841915","10,6142433111","10,4496813993","16,4013372094","-9,3937424653","16,7030340477"
GHA023MS,"734999,980679311","36763,5948561984","14698,37070915","1956,1053239904","39899,8981077195","3994,0927930275","7,6734643182","225,2612354478","13718,6659311717","818,3435656785","50043,2212052496","2979,5160793398","13152,6045722679","811,2435631065","17162,7679480401","1082,4636613569","-154,3158251322","58,0834825794","1672,8834906231","124,9054298628","26,4611634318","24,8090474487","28,1952025215","11,8378889037","267,9704816886","31,2809728701","15857,9786292219","979,0903546788","-205,4221897995","79,4517595509","26,6932789005","49,9457873238","96,9013812567","23,6348162541","733,8262273695","49,1402101089","0,5188463418","10,1857729206","-7,4959642539","8,3698107243","3,2905781151","14,2819282506","9,5167342167","7,0453871676","344,3910862953","23,4300084876","34,8036664539","7,8100028292","127,3767769119","11,6194272861","-8,6565415974","28,7003950122","42,2996307078","26,2563556653","0,9694234281","26,4338557296","-52,0757880954","27,8675100951","-21,4228923759","19,2109684977","18,6101990493","22,6380851238","-22,2830849952","22,0100079732","14,473082166","26,8298174115","18,8969299224","29,3421260139","14,7188514858","34,8582818583","191,3314154643","43,2690541359","119,0342738898","47,0784785928","28,0723178616","54,1238657604","-2,2528854315","48,7305945759","275,6302921557","72,7477186608","-22,3513542507","47,8294404033","-32,7009733845","71,9284875948","-26,0652017499","54,9704045286","-24,2492395536","35,5819359666","-50,3280951546","32,5507810224","319,5274234422","284,6691415839","-240,6627794886","176,544294723","1135,5225267315","355,3278210264","172,0794854133","130,803893538","149,1137078631","159,476980848","-14,2819282506","47,378863317","-133,7667792267","105,6398459607","-182,0467967163","92,3819565426","-2,7717317733","44,6617469481","40,0740529785","44,7436700547","82,7696453682","43,7879004777","-24,9182782575","18,8832760713","-31,267319019","18,159621963","-6,8405794011","15,1694285721","-12,9848123961","9,8444266431","343,7357014425","30,9123188904","-6,5265408258","10,2267344739","-0,4369232352","15,9613519359","-3,4953858816","17,1628908327"
GHA024MS,"754000,014440851","37713,2543861744","14734,7555808112","1940,734811312","42516,4661375344","4287,7424327936","99,3059201552","241,609000072","15042,8260232096","894,9533946144","57831,9799548304","3440,6142396208","15141,014596576","931,949988288","20801,61757828","1309,8890909984","-163,670612952","61,3575125504","1947,1767983536","140,0959751488","10,4009812192","24,5954237584","11,6700664608","11,4907391984","316,3194964688","32,623767352","18286,2354518096","1122,5610738144","-251,40302748","79,041939504","-66,6821528032","45,0939092912","101,319903256","22,5262630384","563,3910808416","39,0105767744","6,20748216","9,31122324","5,103929776","7,9731659744","-27,795725672","15,1600508752","4,2486766784","6,0971269216","361,965181952","24,1815916144","37,796669152","7,2834457344","150,6073116064","12,1252818192","-34,486012","25,9196866192","51,6876347856","25,7679481664","-18,6776240992","23,9057035184","-18,1810255264","25,4644712608","-2,7174977456","17,9879038592","-26,5404348352","19,450110768","0,3172713104","20,6778127952","-3,0899466752","24,2505636384","60,7367643344","27,8371088864","84,0631028512","33,8514693792","163,6844073568","39,7830634432","-25,4092936416","41,2176815424","91,6224366816","51,3979522848","14,553097064","47,6458741792","205,4262762816","68,5030142368","-26,6645844784","47,7838182272","150,3866011296","71,661932936","14,6772467072","53,8395619344","-87,801386552","35,5067979552","-127,9844877344","31,796103064","45,7146575072","277,5710133856","-489,9496696864","169,7125622544","1413,7471647376","363,4687720752","-189,052317784","118,3008155648","183,0379572912","143,7514924208","-6,9523800192","45,3973861968","-85,4977209504","102,561399688","7,2834457344","81,8835868928","29,9200640112","41,9074017824","-31,4098597296","41,3280367808","24,8851062592","38,003585224","4,7452752512","16,7188186176","-26,8439117408","15,2014340896","-2,1243383392","13,863376824","2,0415719104","9,0629239536","557,9009077312","41,0797374944","-3,655517272","9,242251216","5,1453129904","14,6082746832","-1,793272624","14,9255459936"
GHA025MS,"1088999,95159465","54459,179794176","15739,8662578944","2100,563716032","42102,4729311744","4256,0390805888","300,5433401856","274,8157892352","17643,9354646656","1048,6755804672","101401,129765901","6025,7231766528","25993,6508201088","1594,6608411264","25443,5990340096","1601,262167424","-198,4193313024","67,4772121344","1729,561045056","128,5564242432","85,8307969536","26,8526229888","15,046144128","12,131800896","399,5903448192","37,6966908288","17173,4249161728","1057,5948262656","-197,6873567232","82,076038464","-31,0140340224","47,4021315456","50,8586781696","22,1761187328","850,988223744","55,8333942912","4,0936356096","9,2987881728","5,7202457856","8,3905974912","29,5771950336","13,8668517504","4,1885212032","6,43866528","417,2119550592","27,3948263808","73,5634452096","8,8514703744","239,653899264","16,9574110848","-23,5451822976","26,6764068864","48,5678688384","25,619110272","-6,6826568064","24,6295890816","-8,743029696","26,161313664","15,6832331136","18,773792448","19,2753305856","21,6610255104","35,6092077696","22,3930000896","20,7257246592","25,5242246784","12,3486822528","27,923474688","37,9135721856","33,887712","65,4168392448","37,9135721856","138,4923014016","45,9924027264","169,1132379648","55,6707332736","127,2686911872","51,5499874944","348,0539124096","72,9399113088","-161,7257167488","51,780423936","-28,0183602816","73,8209918208","-54,8438731008","58,1242036224","-34,7145721728","38,9166484608","-147,7639794048","35,92097472","201,835212672","301,058433408","-552,4239259392","186,5721871872","1552,73496384","370,8806752128","-96,4715385216","127,9464454272","127,2958013568","152,4540387456","2,4670254336","47,0090340864","50,7231273216","106,6242970368","-45,883962048","88,718030016","62,7871527936","43,5524874624","-22,9216483968","43,4576018688","-20,5901738112","41,3836738944","12,267351744","18,3400297344","4,7985000192","16,6320890496","1,7350508544","14,1515085312","-9,3801186816","9,081906816","311,8211707392","28,533453504","-10,3967500416","9,48855936","26,3917501056","15,2088051456","-9,7189958016","15,7510085376"
GHA026MS,"1149000,08642268","57458,6993307936","32098,9211503584","3441,4867811952","69858,605473656","6976,7487590544","578,5810754352","494,6379389136","16683,9850938144","992,4786399504","68413,656265104","4070,4868848144","20169,00985968","1239,6227861472","35408,2974904368","2225,290311888","-86,36269044","76,2509130816","3385,5992814384","230,0114667168","-6,1258070304","29,510166288","54,4329702336","14,2795638768","606,8185283904","49,2442158768","31472,0189258592","1913,0279978064","-283,8850025184","102,236642448","-75,2159593824","54,5028995376","104,6561963664","27,7759195488","964,0034273616","62,9643453216","-14,3075355984","10,5453390432","-11,258617944","10,279607688","16,9508632896","14,3914507632","10,6152683472","7,4964213888","372,6392751552","24,9787473888","72,866334768","8,8950074688","255,2279737392","17,8739301024","-47,412068112","26,013701088","135,872637672","30,1954734672","28,1954953728","25,7199980112","-66,6146549904","25,0207049712","-28,9087742736","17,762043216","-35,5800298752","19,7340495888","10,6851976512","21,8319287088","0,4615334064","25,104620136","38,6569192512","27,9717216","70,0272050256","34,4611610112","81,1040067792","38,6149616688","45,6778213728","43,6498715568","111,1036781952","54,1392671568","1,0629254208","52,7406810768","356,1219735504","74,8383411408","-155,9003903376","57,8595061296","139,369102872","85,5095529312","59,859484224","62,9363736","-96,432510216","41,8596813744","-140,0404241904","36,3072946368","417,2541711072","340,066205352","-701,9223818304","200,3754276816","2041,655959584","475,659125808","-22,4612924448","156,6276550992","367,0729025568","168,3478064496","56,6707079616","53,4819316992","-153,774539496","129,7468306416","-52,8945255456","106,3764572448","-29,9577138336","49,1183431296","111,6211550448","51,957472872","-5,524415016","53,6777337504","1,2866991936","20,3773991856","-15,3424892976","21,5242397712","17,272538088","18,2235766224","-1,7762043216","10,0418480544","370,4994384528","31,4961585216","4,7132350896","11,8460240976","-24,4612705392","15,1606731072","-16,43338644","15,873952008"
GHA027MS,"686999,981976482","34364,556761012","27646,3686778688","2979,1995969288","61035,6113074672","6067,2158637248","387,9038286408","211,3922612944","11372,3405736728","682,3995166296","27080,3028633608","1620,1700939608","13576,9391218184","836,9702259936","18806,3248776312","1184,8479382392","-68,7350772192","57,7369101016","2089,929133608","149,0785603368","83,7968798544","25,9074100576","48,5001140104","12,0799540472","402,7159881384","37,0720059336","22025,11254134","1346,1728813816","-264,89910712","85,918846524","15,9216845536","45,9898135712","61,647985924","22,3014536256","709,3887136168","47,3489817648","13,9800157056","9,1119745224","-11,580667772","7,4476869384","1,2204775616","12,2879899952","-7,003876916","5,825006544","383,6460262384","25,449730972","47,778922724","7,5863775704","119,5235866576","10,5682261584","32,6477747728","27,7936026528","6,2549475032","23,785443388","-47,2380292592","22,8978233432","-16,1158514384","25,0891353288","-27,183363872","16,781566472","-21,6218695288","19,3057359744","3,3840514208","21,2474048224","39,318794172","25,1446115816","34,464622052","27,4330070096","12,5792403224","32,1900956872","176,7750795472","40,0261163952","-3,12053922","41,5794514736","41,9816543064","49,9424965832","3,5227420528","46,4890998464","268,7547066896","68,8876369144","-30,9696181256","48,9716621592","-64,1166791736","72,1746048928","-143,4199825512","55,1017880936","-26,5037797752","35,0055155168","-93,9490341168","30,85866562","49,3461268656","290,7510409248","-617,1455742736","168,7587610176","1567,5369991168","394,8244911776","-98,1097530768","126,4581182576","90,0656964208","144,6820673024","21,1087141904","45,1299316528","-2,1219666696","106,930477272","-181,0883582024","86,4320018624","16,1019823752","41,8290946112","-45,8511229392","43,3269534368","58,9989948528","39,3326632352","31,6075950328","17,405674316","-13,7719797576","15,7275176688","18,0852584128","13,799717884","-5,7972684176","8,4878666784","257,1046936016","24,9365756336","-2,3716098072","8,9316767008","0,9153581712","13,799717884","11,4974533928","15,2143623304"
GHA028MS,"577999,94637744","28917,298593504","23621,378765184","2610,867004416","53577,251908704","5331,619482336","548,902372608","204,317250624","11024,893152","661,69551024","23617,798030656","1414,874749248","13582,049138496","836,922658176","15726,545662752","991,70192736","-64,68206544","54,1821672","1676,254908384","124,477639776","89,58567024","24,957450432","44,48995344","11,765270592","284,57416512","31,526617536","18071,388322272","1107,160423776","-159,504223392","79,476152832","-80,404989984","44,139956832","49,726441152","20,245957632","485,310681216","34,340051808","-11,84603904","8,790299424","-21,484407168","7,080700608","18,280592064","11,388351168","10,890279072","6,178786272","326,950677504","22,224784608","26,101670112","6,86531808","98,725966272","9,719136576","10,284515712","26,5862808","59,5667304","25,670905056","8,319150144","24,392071296","-48,73029696","25,50936816","-15,251775264","17,728674336","3,365352","20,084420736","2,611513152","20,99979648","4,186497888","24,270918624","16,678684512","26,963200224","43,170735456","33,209293536","215,11329984","41,0572944","43,493809248","42,309205344","228,588169248","53,468712576","-18,361360512","46,751469984","199,794217536","67,010889024","125,500706784","47,7879984","-36,426570048","69,79740048","-182,105927424","53,5090968","-36,507338496","33,761211264","-9,35567856","30,82662432","497,116336032","278,610761376","-557,854208928","148,088949408","1518,541052256","364,521467232","-177,044438016","109,347017184","453,501374112","143,862067296","-45,607250304","43,063044192","11,859500448","88,818369984","-77,968475136","83,05688736","-28,080497088","41,313061152","50,237974656","40,761143424","44,678413152","37,678480992","-20,838259584","16,584454656","-21,753635328","15,440234976","20,299803264","13,582560672","-6,542244288","8,41338","163,259956224","20,703645504","0,174998304","9,046066176","18,872894016","14,20178544","-8,0768448","14,955624288"
GHA030MS,"634000,0057776","31715,7720321024","27596,7484379136","2974,4586546048","59198,6667178368","5918,7498936192","884,4458489856","382,2368495616","7989,1792776576","488,1526062336","21600,9689030784","1295,856916992","11308,2091068672","698,232756672","22382,0464323456","1408,3080625152","-9,7879199616","61,0475069952","2165,5185336576","154,438365312","55,5204786048","26,7177613824","50,7743609472","12,7523480832","469,7064332928","41,2214723712","23458,1110955136","1430,3706861312","-139,9498176384","89,7137543808","-2,2290073344","50,190573312","78,811330752","23,427321984","546,3797366016","38,590637184","10,5991573248","9,9850430592","11,0616384384","10,2049111296","6,3231024384","12,1913054208","-4,8067709184","6,8689817856","297,542152512","20,6069453568","48,5377719552","7,8773422464","162,9374034816","13,154175936","6,8310734976","27,9838982016","81,9046470528","27,597233664","13,1086859904","26,270443584","-50,7061260288","25,9975039104","-43,1623767168","17,7562420992","-1,1979019008","21,0618448128","-15,5651430528","22,2218384256","2,1001191552","25,2924097536","36,5966612352","29,1818001024","61,5327330816","35,3532693888","131,4886877568","40,37232672","32,8134140928","44,8303413888","166,5462724992","55,8464898816","47,3322883968","50,0541034752","211,5434103552","70,926406848","-63,87546528","51,1686071424","-46,8091540224","75,43749312","-21,3878560896","56,3847875712","12,0472539264","36,2327416704","-38,704362048","32,1538098816","375,6180624768","309,9836526336","-303,8879999232","157,925927808","1440,5831789184","410,205584448","-161,7849915264","134,3166460416","243,5304237696","156,978220608","-12,2595403392","47,9994742656","-45,7628852736","103,4820445824","-150,912894528","96,3931947264","7,5892392576","46,5362143488","-0,8491456512","47,120001984","60,0315648768","48,1662707328","5,3678135808","18,3779380224","-15,2997850368","20,4932204928","-34,9211149056","17,0284029696","-9,8485732224","9,8334099072","198,5181225984","23,048239104","-20,811650112","10,7811171072","-8,2791700992","14,367241152","-10,1518395264","16,2778188672"
GHA032MS,"700000,006212696","35014,286842521","8172,938910885","1492,465263933","24275,219396652","2466,662030007","54,183178413","224,944787151","18523,150233231","1096,112356395","65088,743241837","3870,54144246","18059,848981104","1109,991723498","10562,239632084","669,153312282","-27,084711423","48,790996149","826,43446536","75,091640253","16,850569575","22,42157421","12,971499681","11,086987002","303,58536369","32,628204924","8693,174454825","552,602393091","-132,988821756","65,559032322","23,494508436","46,397527491","136,551513609","23,590797405","755,070583764","50,152797282","-9,326274426","9,656408034","5,034537522","9,670163601","12,93023298","13,810589268","9,422563395","7,249183809","680,377854954","42,766057803","55,462446144","9,174963189","88,31074014","10,137852879","-33,866205954","28,19891235","7,868184324","24,663731631","-43,990303266","24,952598538","-92,877588384","26,355666372","8,542207107","20,124394521","-31,211381523","21,499951221","7,56556185","23,288174931","97,705792401","29,423157813","11,788520919","29,904602658","115,918163109","37,855320384","318,193775844","48,061951098","110,663536515","48,103217799","117,224941974","56,095202226","28,33646802","45,998616048","-14,677189989","66,30183294","-75,064129119","43,522613988","-22,394063076","62,890452324","-43,178724813","52,436221404","-23,026819158","34,911629046","-109,920735897","32,889560697","33,756161418","273,997139073","-192,880560474","154,158639369","614,364888921","284,313814323","-87,48540612","108,682734867","110,952403422","143,635630614","-2,132112885","47,896884294","-11,155764837","82,340824062","-167,666606163","84,211581174","-34,443939768","42,834835638","36,961208529","42,91736904","81,144089733","40,44136698","-33,687383583","19,161504831","-32,724493893","17,923503801","-6,630183294","16,23156906","-11,747254218","10,069075044","267,999711861","27,593667402","-11,348342775","10,550519889","15,516279576","16,657991637","-19,904305449","17,868481533"
GHA033MS,"1619000,02579892","80956,1703599649","9725,9810783616","1768,7056403835","34055,2137785184","3434,4086364549","384,7352282163","300,4886122173","24928,749469611","1472,4766885257","176728,534791506","10500,5766499569","40408,3281705714","2476,2555101934","25842,6832645215","1627,2173027916","-64,1653600185","69,4797934194","1567,8525123846","121,0419678663","77,5122958116","27,5187581955","48,0597870402","13,4415949122","474,1475275719","42,0151261491","15134,4380299905","934,8940284255","-140,1090189993","79,1215008363","-65,8692241623","49,2497873946","65,4770649546","22,4071657641","911,0940213375","59,4729722574","-15,6728455767","9,8445483864","-4,1244330465","9,3847755222","38,7155797119","14,7262543857","14,9426180865","7,6538659158","859,7482105914","53,2525158594","90,2777541588","10,7640941148","230,4949550085","16,9980732441","-12,6437537655","28,4653493865","-4,9222741932","25,4362575753","-44,5709223648","26,2476214533","-40,4059211244","27,7621673589","-60,8793363126","17,9717098977","0,6355683711","22,6235294649","5,138637894","23,800007088","-18,526141881","26,6127351984","26,504553348","30,2638726494","6,2475018606","35,8487606763","69,4257024942","40,8656939886","30,290918112","47,4106959378","253,6053028002","60,8252453874","-16,0785275157","53,4688795602","194,0647168863","74,0910447927","58,5399037977","54,9969481971","-34,1989874577","76,6197955458","-207,6415391115","63,5838825726","-51,7109244912","41,514785091","-71,2783166823","38,7426251745","-191,0491478064","313,0241841324","-836,6784309936","174,8353929777","1173,7189859148","351,9426048138","-51,1294470453","125,220491838","428,0350138389","152,671636377","-2,6504553348","51,2781970896","68,5467249597","96,1195740804","-160,1361840546","92,360254779","-68,5872931536","45,7203545253","-4,732955955","45,9502409574","62,2180867113","43,1645583096","-5,5848880269","20,1218241744","-38,8643297562","18,8912556261","13,4551176435","16,8763686624","-1,1900003544","10,3584121758","289,2917907009","28,9521677133","-1,8255687255","11,0480714721","5,5848880269","17,0521641693","-19,6620513102","18,255687255"
