SampleID,Sampletype,net,StartDate,SiteName,StartTime
GHA772MS,PM2.5,6.60,2/27/2007,ADA,2/27/2007 8:43
GHA882MS,PM10,-0.22,3/13/2007,ADA,3/13/2007 6:35
ACC346MS,PM10,12.08,7/19/2007,EL Indoor,7/19/2007 8:30
ACC386MS,PM2.5,5.50,7/27/2007,EL Indoor,7/27/2007 8:43
ACC396MS,PM10,8.80,8/8/2007,EL Indoor,8/8/2007 9:36
ACC437MS,PM2.5,9.30,8/4/2007,EL Indoor,8/4/2007 8:29
ACC443MS,PM10,15.06,8/6/2007,EL Indoor,8/6/2007 8:42
ACC477MS,PM2.5,18.02,8/10/2007,EL Indoor,8/10/2007 10:26
ACC632MS,PM2.5,14.80,8/14/2007,EL Indoor,8/14/2007 9:24
ACC373MS,PM10,10.08,7/25/2007,ELT,7/25/2007 6:45
ACC388MS,PM2.5,8.00,7/27/2007,ELT,7/27/2007 6:45
ACC405MS,PM10,10.30,7/29/2007,ELT,7/29/2007 6:30
ACC427MS,PM2.5,3.30,8/4/2007,ELT,8/4/2007 6:50
ACC662MS,PM10,11.90,8/18/2007,ELT,8/18/2007 6:54
ACC665MS,PM2.5,14.40,8/20/2007,ELT,8/20/2007 7:11
GHA152MS,PM2.5,0.18,11/11/2006,JT Indoor,11/11/2006 7:55
GHA164MS,PM10,-1.32,11/13/2006,JT Indoor,11/13/2006 8:32
GHA289MS,PM10,2.62,11/29/2006,JT Indoor,11/29/2006 9:04
GHA321MS,PM10,4.60,12/3/2006,JT Indoor,12/3/2006 7:22
GHA339MS,PM2.5,0.50,12/5/2006,JT Indoor,12/5/2006 7:39
GHA392MS,PM2.5,-0.12,12/13/2006,JT Indoor,12/13/2006 7:54
GHA419MS,PM10,-2.86,12/15/2006,JT Indoor,12/15/2006 7:55
ACC273MS,PM10,-1.08,7/5/2007,JTA,7/5/2007 6:40
ACC787MS,PM10,1.30,10/14/2007,JTA,10/14/2007 6:30
ACC825MS,PM2.5,4.80,10/26/2007,JTA,10/26/2007 6:28
ACC847MS,PM2.5,3.54,11/7/2007,JTA,11/7/2007 7:50
ACC878MS,PM2.5,-5.14,11/25/2007,JTA,11/25/2007 7:20
ACC918MS,PM10,4.00,12/13/2007,JTA,12/13/2007 7:10
ACC944MS,PM2.5,1.98,12/31/2007,JTA,12/31/2007 7:05
ACC964MS,PM10,0.86,1/6/2008,JTA,1/6/2008 6:50
AFR201MS,PM2.5,17.12,2/23/2008,JTA,2/23/2008 6:52
AFR222MS,PM2.5,11.62,2/29/2008,JTA,2/29/2008 6:06
AFR345MS,PM10,13.64,4/5/2008,JTA,4/5/2008 7:20
AFR393MS,PM2.5,30.26,4/29/2008,JTA,4/29/2008 6:17
AFR396MS,PM10,6.26,4/23/2008,JTA,4/23/2008 8:04
AFR441MS,PM10,6.48,5/11/2008,JTA,5/11/2008 6:28
AFR482MS,PM2.5,6.38,5/23/2008,JTA,5/23/2008 6:30
AFR515MS,PM2.5,6.38,6/10/2008,JTA,6/10/2008 7:55
AFR552MS,PM2.5,3.02,6/28/2008,JTA,6/28/2008 7:39
AFR558MS,PM10,3.52,6/22/2008,JTA,6/22/2008 6:15
AFR637MS,PM10,-1.80,7/16/2008,JTA,7/16/2008 6:52
AFR644MS,PM2.5,-2.30,7/22/2008,JTA,7/22/2008 7:14
AFR687MS,PM10,10.08,8/9/2008,JTA,8/9/2008 8:01
AFR694MS,PM2.5,7.58,8/15/2008,JTA,8/15/2008 7:08
GHA185MS,PM10,-1.82,11/15/2006,JTT,11/15/2006 7:27
GHA284MS,PM2.5,5.62,11/27/2006,JTT,11/27/2006 7:30
GHA309MS,PM2.5,9.60,12/1/2006,JTT,12/1/2006 6:58
GHA334MS,PM2.5,-0.50,12/5/2006,JTT,12/5/2006 8:42
GHA362MS,PM2.5,1.38,12/9/2006,JTT,12/9/2006 7:10
GHA408MS,PM10,-4.36,12/15/2006,JTT,12/15/2006 7:15
GHA441MS,PM10,-0.86,12/19/2006,JTT,12/19/2006 7:26
GHA484MS,PM2.5,6.12,1/10/2007,JTT,1/10/2007 7:40
GHA551MS,PM10,9.48,1/14/2007,JTT,1/14/2007 7:41
GHA637MS,PM2.5,1.88,2/7/2007,JTT,2/7/2007 7:31
ACC002MS,PM2.5,-4.60,3/29/2007,NM Indoor,3/29/2007 7:26
GHA213MS,PM2.5,1.80,11/19/2006,NM Indoor,11/19/2006 7:42
GHA258MS,PM10,-2.10,11/25/2006,NM Indoor,11/25/2006 8:40
GHA682MS,PM2.5,5.32,2/17/2007,NM Indoor,2/17/2007 7:48
GHA688MS,PM10,6.82,2/15/2007,NM Indoor,2/15/2007 8:19
GHA794MS,PM10,3.22,3/3/2007,NM Indoor,3/3/2007 7:31
GHA848MS,PM2.5,1.04,3/9/2007,NM Indoor,3/9/2007 7:39
GHA935MS,PM10,3.76,3/19/2007,NM Indoor,3/19/2007 7:45
GHA939MS,PM2.5,4.14,3/21/2007,NM Indoor,3/21/2007 7:40
GHA960MS,PM10,4.14,3/23/2007,NM Indoor,3/23/2007 7:08
ACC018MS,PM2.5,0.90,3/31/2007,NMT,3/31/2007 6:50
ACC034MS,PM10,-0.62,4/2/2007,NMT,4/2/2007 6:10
ACC037MS,PM2.5,-0.12,4/4/2007,NMT,4/4/2007 6:55
ACC087MS,PM10,-1.28,4/20/2007,NMT,4/20/2007 6:50
ACC098MS,PM2.5,-2.96,4/26/2007,NMT,4/26/2007 7:00
ACC111MS,PM10,2.00,4/28/2007,NMT,4/28/2007 6:52
ACC114MS,PM10,-4.00,5/6/2007,NMT,5/6/2007 6:53
ACC125MS,PM2.5,-2.00,5/4/2007,NMT,5/4/2007 7:10
ACC134MS,PM10,-1.50,5/14/2007,NMT,5/14/2007 7:15
ACC144MS,PM2.5,-0.04,5/12/2007,NMT,5/12/2007 7:13
ACC163MS,PM10,0.96,5/22/2007,NMT,5/22/2007 7:04
ACC164MS,PM2.5,-4.54,5/22/2007,NMT,5/22/2007 7:04
ACC178MS,PM10,3.08,5/30/2007,NMT,5/30/2007 8:27
ACC190MS,PM10,2.08,6/7/2007,NMT,6/7/2007 6:47
ACC216MS,PM2.5,-1.92,6/13/2007,NMT,6/13/2007 7:15
ACC219MS,PM10,-1.92,6/15/2007,NMT,6/15/2007 7:32
ACC241MS,PM10,-5.22,6/25/2007,NMT,6/25/2007 8:00
ACC244MS,PM2.5,-3.22,6/21/2007,NMT,6/21/2007 7:01
ACC285MS,PM10,-2.08,7/7/2007,NMT,7/7/2007 6:37
ACC293MS,PM2.5,2.78,7/9/2007,NMT,7/9/2007 7:22
ACC299MS,PM10,2.28,7/11/2007,NMT,7/11/2007 6:37
ACC310MS,PM2.5,12.08,7/17/2007,NMT,7/17/2007 6:49
ACC311MS,PM10,13.58,7/15/2007,NMT,7/15/2007 6:49
ACC478MS,PM10,14.02,8/10/2007,NMT,8/10/2007 7:07
ACC497MS,PM2.5,13.10,8/12/2007,NMT,8/12/2007 6:54
ACC700MS,PM10,13.92,8/26/2007,NMT,8/26/2007 6:33
ACC713MS,PM2.5,13.42,8/28/2007,NMT,8/28/2007 7:13
ACC786MS,PM10,-0.08,10/8/2007,NMT,10/8/2007 7:11
ACC808MS,PM2.5,3.80,10/20/2007,NMT,10/20/2007 6:55
ACC840MS,PM2.5,3.04,11/1/2007,NMT,11/1/2007 8:09
ACC857MS,PM10,-5.08,11/13/2007,NMT,11/13/2007 8:30
ACC894MS,PM2.5,-2.88,12/1/2007,NMT,12/1/2007 7:34
ACC920MS,PM2.5,2.00,12/13/2007,NMT,12/13/2007 7:58
ACC960MS,PM10,-3.52,12/31/2007,NMT,12/31/2007 6:47
ACC996MS,PM2.5,9.44,1/12/2008,NMT,1/12/2008 6:25
AFR281MS,PM2.5,15.24,3/6/2008,NMT,3/6/2008 7:23
AFR307MS,PM2.5,3.62,3/24/2008,NMT,3/24/2008 7:42
AFR311MS,PM10,-1.36,3/18/2008,NMT,3/18/2008 8:15
AFR356MS,PM2.5,10.36,4/17/2008,NMT,4/17/2008 7:35
AFR360MS,PM10,4.36,4/11/2008,NMT,4/11/2008 7:01
AFR417MS,PM2.5,0.28,5/11/2008,NMT,5/11/2008 7:47
AFR425MS,PM10,6.98,5/5/2008,NMT,5/5/2008 8:01
AFR484MS,PM2.5,7.38,6/4/2008,NMT,6/4/2008 8:50
AFR518MS,PM10,3.88,5/29/2008,NMT,5/29/2008 8:48
AFR533MS,PM10,6.38,6/10/2008,NMT,6/10/2008 8:32
AFR535MS,PM2.5,4.38,6/16/2008,NMT,6/16/2008 8:10
AFR618MS,PM10,-0.06,7/4/2008,NMT,7/4/2008 8:06
AFR620MS,PM2.5,-1.56,7/10/2008,NMT,7/10/2008 8:20
AFR669MS,PM10,6.58,7/28/2008,NMT,7/28/2008 8:09
AFR672MS,PM2.5,3.08,8/3/2008,NMT,8/3/2008 7:28
GHA158MS,PM10,-1.82,11/11/2006,NMT,11/11/2006 8:11
GHA226MS,PM10,1.88,11/19/2006,NMT,11/19/2006 6:12
GHA246MS,PM10,1.38,11/23/2006,NMT,11/23/2006 6:36
GHA400MS,PM10,-0.86,12/13/2006,NMT,12/13/2006 6:59
GHA423MS,PM10,0.64,12/17/2006,NMT,12/17/2006 6:30
GHA492MS,PM10,-0.38,1/10/2007,NMT,1/10/2007 6:18
GHA534MS,PM2.5,4.00,12/21/2006,NMT,12/21/2006 7:06
GHA556MS,PM2.5,-0.52,1/14/2007,NMT,1/14/2007 7:14
GHA578MS,PM10,12.84,1/20/2007,NMT,1/20/2007 7:10
GHA584MS,PM2.5,8.84,1/22/2007,NMT,1/22/2007 11:40
GHA598MS,PM10,3.24,1/28/2007,NMT,1/28/2007 6:50
GHA603MS,PM2.5,-2.26,1/30/2007,NMT,1/30/2007 7:24
GHA628MS,PM10,-1.76,2/5/2007,NMT,2/5/2007 6:47
GHA636MS,,-0.62,2/7/2007,NMT,2/7/2007 6:58
GHA649MS,PM10,-0.12,2/13/2007,NMT,2/13/2007 6:47
GHA686MS,PM10,6.32,2/17/2007,NMT,2/17/2007 6:09
GHA694MS,PM2.5,4.32,2/19/2007,NMT,2/19/2007 6:16
GHA718MS,PM10,6.50,2/21/2007,NMT,2/21/2007 6:15
GHA807MS,PM2.5,-0.28,3/3/2007,NMT,3/3/2007 6:10
GHA851MS,PM2.5,-1.72,3/9/2007,NMT,3/9/2007 6:18
GHA926MS,PM2.5,1.74,3/19/2007,NMT,3/19/2007 6:23
GHA967MS,PM2.5,-0.86,3/23/2007,NMT,3/23/2007 6:10
GHA978MS,PM10,-0.36,3/25/2007,NMT,3/25/2007 6:10
