SiteName,StartTime,EndTime,SampleID,SampleType,SampleDuration,MassConc,volumem3,Mass (ug),QCvoid,QCFlag,Duplicate
NMT,11/11/06 8:11,11/13/06 6:30,GHA160MS,PM2.5,2118.00,101.28,10.6218759,1079.18,1,0,0
NMA,11/11/06 9:25,11/13/06 7:14,GHA670MS,PM10,2736.00,156.78,9.62388,1512.32,1,0,0
NMA,11/11/06 14:13,11/13/06 7:14,GHA157MS,PM2.5,2466.00,102.81,12.1854924,1256.18,1,0,0
NMT,11/13/06 6:35,11/15/06 6:16,GHA171MS,PM10,2358.00,172.79,9.5678208,1656.68,1,0,0
NMT,11/13/06 6:35,11/15/06 6:16,GHA175MS,PM2.5,2358.00,106.71,11.767599,1259.18,1,0,0
NMA,11/13/06 7:25,11/15/06 7:12,GHA169MS,PM10,2268.00,77.64,8.9799192,700.68,1,0,0
NMA,11/13/06 7:25,11/15/06 7:12,GHA174MS,PM2.5,2268.00,95.13,11.318454,1080.18,1,0,0
NMT,11/15/06 6:33,11/17/06 8:07,GHA186MS,PM10,2976.00,169.89,12.2946,2092.18,0,0,0
NMT,11/15/06 6:33,11/17/06 8:07,GHA191MS,PM2.5,2976.00,101.37,14.9978496,1523.8,0,0,0
NMA,11/15/06 7:17,11/17/06 9:00,GHA183MS,PM2.5,2988.00,90.67,14.3795664,1307.18,0,0,0
NMA,11/15/06 7:17,11/17/06 9:00,GHA187MS,PM10,2988.00,154.69,12.048102,1867.18,0,0,0
NMT,11/17/06 8:32,11/19/06 6:04,GHA200MS,PM10,2730.00,162.72,10.809162,1762.3,0,0,0
NMT,11/17/06 8:32,11/19/06 6:04,GHA205MS,PM2.5,2730.00,95.94,13.4230005,1291.3,0,0,0
NMA,11/17/06 9:17,11/19/06 6:45,GHA198MS,PM10,2730.00,139.62,10.943205,1531.3,0,0,0
NMA,11/17/06 9:17,11/19/06 6:45,GHA203MS,PM2.5,2730.00,83.30,13.624065,1138.3,0,0,0
NMT,11/19/06 6:12,11/21/06 6:45,GHA223MS,PM10,2910.00,191.82,11.4504135,2199.88,0,0,0
NMT,11/19/06 6:12,11/21/06 6:45,GHA229MS,PM2.5,2910.00,106.72,14.3080335,1530.38,0,0,0
NMA,11/19/06 6:49,11/21/06 7:33,GHA222MS,PM10,2928.00,180.88,11.6650056,2113.38,0,0,0
NMA,11/19/06 6:49,11/21/06 7:33,GHA227MS,PM2.5,2928.00,115.18,14.8278312,1711.38,1,0,0
NMT,11/21/06 6:54,11/23/06 6:18,GHA218MS,PM2.5,2838.00,92.94,14.1857232,1321.8,0,0,0
NMT,11/21/06 6:54,11/23/06 6:18,GHA235MS,PM10,2838.00,163.26,10.6729128,1745.88,0,0,1
NMT,11/21/06 6:54,11/23/06 6:18,GHA237MS,PM10,2838.00,148.37,11.4538974,1702.88,0,0,1
NMA,11/21/06 7:46,11/23/06 6:59,GHA215MS,PM2.5,2832.00,85.95,13.9940448,1206.3,0,0,0
NMA,11/21/06 7:46,11/23/06 6:59,GHA236MS,PM10,2832.00,130.82,11.2130208,1470.38,0,0,0
NMT,11/23/06 6:36,11/25/06 6:24,GHA249MS,PM10,2256.00,153.24,10.127304,1555.38,1,0,0
NMT,11/23/06 6:36,11/25/06 6:24,GHA250MS,PM2.5,2256.00,99.54,10.457256,1044.38,1,0,0
NMA,11/23/06 7:12,11/25/06 7:08,GHA244MS,PM10,2880.00,133.73,11.332368,1518.88,0,0,0
NMA,11/23/06 7:12,11/25/06 7:08,GHA255MS,PM2.5,2880.00,86.46,14.231232,1233.9,0,1,0
NMT,11/25/06 6:41,11/27/06 6:22,GHA259MS,PM2.5,2862.00,66.35,14.0600934,936.4,0,0,0
NMT,11/25/06 6:41,11/27/06 6:22,GHA270MS,PM10,2862.00,109.54,11.1753702,1227.62,0,0,1
NMT,11/25/06 6:41,11/27/06 6:22,GHA271MS,PM10,2862.00,111.52,11.3318028,1267.12,0,0,1
NMA,11/25/06 7:22,11/27/06 6:47,GHA261MS,PM2.5,2844.00,59.23,14.192982,844.12,0,0,0
NMA,11/25/06 7:22,11/27/06 6:47,GHA265MS,PM10,2844.00,92.37,11.2605336,1043.62,0,0,0
NMT,11/27/06 6:28,11/29/06 6:25,GHA276MS,PM10,2880.00,113.05,11.332368,1284.62,0,0,0
NMT,11/27/06 6:28,11/29/06 6:25,GHA282MS,PM2.5,2880.00,66.22,14.514048,964.62,0,0,0
NMA,11/27/06 6:55,11/29/06 7:07,GHA277MS,PM10,2892.00,95.91,11.4505848,1101.62,0,0,0
NMA,11/27/06 6:55,11/29/06 7:07,GHA283MS,PM2.5,2892.00,48.86,14.5035246,712.12,0,0,0
NMT,11/29/06 6:35,12/1/06 6:28,GHA300MS,PM10,2874.00,108.31,11.4498723,1243.6,0,0,0
NMT,11/29/06 6:35,12/1/06 6:28,GHA302MS,PM2.5,2874.00,61.67,14.4838104,896.6,0,0,0
NMA,11/29/06 7:15,12/1/06 7:02,GHA293MS,PM2.5,2862.00,51.83,14.2125489,740.12,0,0,0
NMA,11/29/06 7:15,12/1/06 7:02,GHA299MS,PM10,2862.00,86.64,11.2615407,979.1,0,0,0
NMT,12/1/06 6:37,12/3/06 6:43,GHA306MS,PM2.5,2880.00,44.26,14.37264,639.6,0,0,0
NMT,12/1/06 6:37,12/3/06 6:43,GHA314MS,PM10,2880.00,101.78,11.403072,1164.1,0,0,0
NMA,12/1/06 7:08,12/3/06 11:14,GHA305MS,PM2.5,3126.00,42.01,15.5235597,655.6,0,0,0
NMA,12/1/06 7:08,12/3/06 11:14,GHA312MS,PM10,3126.00,80.43,12.2235978,986.6,0,0,0
NMT,12/3/06 6:52,12/5/06 6:55,GHA324MS,PM2.5,2886.00,74.79,14.402583,1080.6,0,0,0
NMT,12/3/06 6:52,12/5/06 6:55,GHA329MS,PM10,2886.00,136.06,11.3559771,1548.5,0,0,0
NMA,12/3/06 11:17,12/5/06 7:25,GHA320MS,PM2.5,2649.00,74.41,13.02473565,972.6,0,0,0
NMA,12/3/06 11:17,12/5/06 7:25,GHA328MS,PM10,2649.00,122.71,10.3583847,1274.5,1,0,0
NMT,12/5/06 7:08,12/7/06 6:42,GHA337MS,PM2.5,1998.00,128.03,9.971019,1280,1,0,0
NMT,12/5/06 7:08,12/7/06 6:42,GHA342MS,PM10,1998.00,211.17,7.9108812,1674,1,0,0
NMA,12/5/06 7:35,12/7/06 7:30,GHA332MS,PM10,1980.00,213.44,7.8643584,1682,1,0,0
NMA,12/5/06 7:35,12/7/06 7:30,GHA340MS,PM2.5,1980.00,138.97,9.5418108,1329.5,1,0,0
NMT,12/7/06 7:01,12/9/06 6:29,GHA346MS,PM2.5,2850.00,105.52,13.969569,1477.5,0,0,0
NMT,12/7/06 7:01,12/9/06 6:29,GHA350MS,PM10,2850.00,173.15,11.117841,1928.5,0,0,1
NMT,12/7/06 7:01,12/9/06 6:29,GHA354MS,PM10,2850.00,170.00,11.297547,1924,0,0,1
NMA,12/7/06 7:42,12/9/06 7:14,GHA347MS,PM2.5,2856.00,101.32,13.902294,1412,0,0,0
NMA,12/7/06 7:42,12/9/06 7:14,GHA352MS,PM10,2856.00,150.30,11.2379316,1692.5,0,0,0
NMT,12/9/06 6:47,12/11/06 6:49,GHA361MS,PM2.5,1518.00,103.96,7.242681,756.38,1,0,0
NMT,12/9/06 6:47,12/11/06 6:49,GHA365MS,PM10,1518.00,161.71,6.124674,993.88,1,0,1
NMT,12/9/06 6:47,12/11/06 6:49,GHA374MS,PM10,1518.00,158.40,6.1326282,974.88,1,0,1
