USAF,WBAN,YRMODAHRMN,YR,MO,DA,HRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,WW,WW,WW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
654720,99999,200808012200,2008,8,1,2200,180,11,***,98,BKN,*,*,*,7,**,**,**,*,79,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200808012100,2008,8,1,2100,210,16,***,98,BKN,5,3,*,6.2,**,**,**,*,79,73,1012.4,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200808012000,2008,8,1,2000,210,11,***,98,BKN,*,*,*,7,**,**,**,*,77,73,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200808011900,2008,8,1,1900,210,14,***,98,BKN,*,*,*,7,**,**,**,*,79,73,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200808011800,2008,8,1,1800,230,16,***,9,BKN,8,3,*,6.2,3,**,**,5,79,73,1010.7,29.83,******,81,***,*****,*****,*****,0,T**
654720,99999,200808011700,2008,8,1,1700,220,14,***,98,BKN,*,*,*,7,**,**,**,*,81,73,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200808011600,2008,8,1,1600,230,16,***,98,BKN,*,*,*,7,**,**,**,*,81,73,******,29.83,******,***,***,*****,*****,*****,*****,**
654720,99999,200808011500,2008,8,1,1500,210,15,***,7,BKN,8,3,*,6.2,20,**,**,5,77,73,1011.4,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200808011400,2008,8,1,1400,230,13,***,9,BKN,*,*,*,7,**,**,**,*,81,72,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200808011300,2008,8,1,1300,210,19,***,9,BKN,*,*,*,7,**,**,**,*,81,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200808011200,2008,8,1,1200,230,14,***,9,BKN,8,3,*,5,50,**,**,5,78,72,1013.7,29.91,******,***,***,*****,0,T*****,*****,**
654720,99999,200808011100,2008,8,1,1100,210,15,***,9,BKN,*,*,*,7,**,**,**,*,81,72,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200808011000,2008,8,1,1000,230,14,***,14,BKN,*,*,*,7,**,**,**,*,79,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200808010900,2008,8,1,900,240,11,***,14,BKN,8,3,*,6.2,**,**,**,*,79,73,1014.5,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200808010800,2008,8,1,800,230,8,***,9,BKN,*,*,*,5,**,**,**,*,77,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200808010700,2008,8,1,700,250,6,***,9,BKN,*,*,*,3.1,10,**,**,*,77,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200808010600,2008,8,1,600,260,6,***,98,BKN,8,3,2,5,10,**,**,2,75,73,1012.8,29.88,******,***,72,*****,*****,1.34,*****,**
654720,99999,200808010500,2008,8,1,500,260,7,***,98,BKN,*,*,*,7,**,**,**,*,75,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200808010400,2008,8,1,400,270,6,***,8,BKN,*,*,*,7,**,**,**,*,75,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200808010300,2008,8,1,300,280,2,***,8,BKN,5,*,*,9.4,**,**,**,*,76,73,1013,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200808010200,2008,8,1,200,220,6,***,79,BKN,*,*,*,7,**,**,**,*,77,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200808010100,2008,8,1,100,260,6,***,79,BKN,*,*,*,7,**,**,**,*,77,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200808010000,2008,8,1,0,260,11,***,79,BKN,0,3,*,8.8,**,**,**,*,77,74,1014.1,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807312300,2008,7,31,2300,260,6,***,722,***,*,*,*,6.2,**,**,**,*,77,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807312200,2008,7,31,2200,250,7,***,98,BKN,*,*,*,7,**,**,**,*,77,73,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807312100,2008,7,31,2100,240,8,***,98,***,5,3,0,6.2,**,**,**,*,77,74,1014.7,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807312000,2008,7,31,2000,220,9,***,98,BKN,*,*,*,7,**,**,**,*,77,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807311900,2008,7,31,1900,210,6,***,722,SCT,*,*,*,7,**,**,**,*,79,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807311800,2008,7,31,1800,210,11,***,98,BKN,5,3,*,6.2,2,**,**,6,78,73,1012,29.88,******,81,***,*****,*****,*****,1.34,**
654720,99999,200807311600,2008,7,31,1600,210,11,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807311500,2008,7,31,1500,230,11,***,10,BKN,5,3,*,6.2,2,**,**,6,80,74,1012.3,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807311400,2008,7,31,1400,210,9,***,10,BKN,*,*,*,7,**,**,**,*,79,75,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807311300,2008,7,31,1300,200,6,***,10,BKN,*,*,*,3.8,61,**,**,*,77,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807311000,2008,7,31,1000,210,8,***,10,BKN,*,*,*,0.9,61,**,**,*,75,75,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807310900,2008,7,31,900,250,6,***,10,BKN,5,7,*,0.9,61,**,**,9,75,75,1014.5,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807310800,2008,7,31,800,190,7,***,10,BKN,*,*,*,0.9,65,**,**,*,****,****,******,*****,******,***,***,*****,*****,*****,*****,**
654720,99999,200807310700,2008,7,31,700,240,9,***,10,BKN,*,*,*,2.5,61,**,**,*,75,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807310600,2008,7,31,600,220,14,***,722,***,*,*,*,0.9,95,81,**,*,73,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807310500,2008,7,31,500,240,13,***,98,BKN,*,*,*,7,**,**,**,*,75,72,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807310400,2008,7,31,400,260,11,***,10,BKN,*,*,*,7,**,**,**,*,75,73,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807310300,2008,7,31,300,260,11,***,98,BKN,*,*,*,5,61,**,**,*,75,73,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807310200,2008,7,31,200,240,6,***,10,BKN,*,*,*,5,61,**,**,*,77,75,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807310100,2008,7,31,100,230,6,***,10,BKN,*,*,*,5,61,**,**,*,79,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807310000,2008,7,31,0,200,11,***,10,BKN,*,*,*,7,**,**,**,*,79,73,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807301800,2008,7,30,1800,220,16,***,98,BKN,*,*,*,7,**,**,**,*,79,73,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200807301700,2008,7,30,1700,230,11,***,98,BKN,*,*,*,7,**,**,**,*,81,73,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200807301600,2008,7,30,1600,230,19,***,98,BKN,*,*,*,7,**,**,**,*,82,72,******,29.85,******,***,***,*****,*****,*****,*****,**
654720,99999,200807301500,2008,7,30,1500,220,15,***,15,BKN,*,*,*,7,**,**,**,*,82,72,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807301400,2008,7,30,1400,220,15,***,15,BKN,*,*,*,7,**,**,**,*,82,72,******,29.88,******,***,***,*****,*****,*****,*****,**
654720,99999,200807301300,2008,7,30,1300,210,16,***,15,BKN,*,*,*,7,**,**,**,*,84,72,******,29.91,******,***,***,*****,*****,*****,*****,**
654720,99999,200807301200,2008,7,30,1200,230,17,***,15,BKN,*,*,*,7,**,**,**,*,82,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807301100,2008,7,30,1100,220,16,***,11,BKN,*,*,*,7,**,**,**,*,81,72,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807301000,2008,7,30,1000,240,14,***,14,BKN,*,*,*,7,**,**,**,*,81,72,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807300900,2008,7,30,900,280,11,***,14,BKN,*,*,*,7,**,**,**,*,79,72,******,29.97,******,***,***,*****,*****,*****,*****,**
654720,99999,200807300800,2008,7,30,800,260,9,***,98,BKN,*,*,*,4.4,**,**,**,*,77,73,******,29.94,******,***,***,*****,*****,*****,*****,**
654720,99999,200807300600,2008,7,30,600,270,9,***,10,BKN,*,*,*,3.1,61,**,**,*,75,72,******,29.91,******,***,***,*****,*****,*****,*****,**
