
Factor Contributions (avg = 1) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
6,11/12/06 06:43,8.136700E-001,1.899700E-001,2.589000E+000,1.035600E+000
6,11/14/06 03:18,1.008500E+000,1.985400E-001,2.500900E+000,8.406500E-001
6,11/16/06 04:08,7.631500E-001,3.170100E-001,2.012300E+000,1.185400E+000
6,11/18/06 04:01,8.726000E-001,3.947400E-001,1.800700E+000,1.188700E+000
6,11/20/06 03:11,1.189900E+000,3.233900E-001,2.927100E+000,6.492700E-001
6,11/22/06 03:22,1.342200E+000,1.067800E+000,1.824000E+000,9.911500E-001
6,11/26/06 03:04,6.631700E-001,1.153900E+000,1.126200E+000,9.460100E-001
6,11/28/06 03:01,-1.295800E-001,1.835200E+000,5.186500E-001,1.249700E+000
6,11/30/06 03:08,1.916800E-002,1.335000E+000,5.345100E-001,1.656100E+000
6,12/02/06 05:11,4.349800E-001,1.716900E+000,4.093700E-001,1.156300E+000
6,12/04/06 05:21,-1.778900E-001,2.980300E+000,7.284200E-001,1.903100E+000
6,12/06/06 03:32,-2.000000E-001,1.845600E+000,2.050000E+000,2.827200E+000
6,12/08/06 03:28,-2.000000E-001,3.015600E+000,1.793200E+000,1.693900E+000
6,12/10/06 03:20,1.703300E-001,2.415000E+000,2.183200E-001,1.771600E+000
6,12/12/06 03:18,5.456500E-001,2.373700E+000,1.736900E+000,1.482500E+000
6,12/14/06 03:19,3.748600E-001,2.455000E+000,1.207200E+000,1.345500E+000
6,12/16/06 03:09,5.328500E-002,2.568200E+000,9.184600E-001,1.258200E+000
6,12/18/06 03:10,4.988400E-002,2.214300E+000,1.095200E+000,1.393000E+000
6,12/20/06 03:26,8.977200E-001,2.371900E+000,9.839700E-001,1.444400E+000
6,12/22/06 03:29,8.127400E-001,1.582200E+000,8.162200E-001,1.305700E+000
6,12/24/06 04:27,2.225600E-001,2.535400E+000,1.522700E-001,2.106400E+000
6,12/26/06 03:20,4.459100E-001,4.215200E+000,4.672700E-001,1.504500E+000
6,12/28/06 03:22,9.101700E-001,2.807600E+000,2.614500E-001,1.657700E+000
6,01/01/07 03:20,1.102200E+000,3.510100E+000,3.988500E+000,1.653000E+000
6,01/03/07 03:07,-2.000000E-001,-2.000000E-001,1.283600E+001,1.181100E+000
6,01/05/07 02:54,4.344400E-001,-6.773400E-002,1.531000E+001,1.327600E+000
6,01/07/07 03:09,3.444600E-001,1.467600E+000,7.023700E+000,1.505300E+000
6,01/09/07 03:02,-2.000000E-001,6.280900E-001,9.918900E+000,1.327600E+000
6,01/11/07 02:55,-2.000000E-001,2.892700E+000,8.091900E+000,1.642100E+000
6,01/13/07 03:27,1.874100E-001,6.389500E-001,8.733300E+000,1.289300E+000
6,01/15/07 03:19,1.871800E-001,2.916300E-002,1.144200E+001,1.480100E+000
6,01/17/07 03:14,1.870100E-001,1.286200E+000,7.547300E+000,1.841500E+000
6,01/19/07 03:40,-3.411500E-002,7.219700E-001,8.514400E+000,1.397900E+000
6,01/21/07 03:30,5.789100E-001,1.295500E+000,8.805600E+000,1.415800E+000
6,01/23/07 07:32,5.922900E-001,6.217100E-001,5.796700E+000,1.760600E+000
6,01/25/07 05:42,1.463600E+000,1.778300E+000,2.857700E+000,1.010400E+000
6,01/27/07 03:15,4.788200E-001,6.040600E-001,2.312000E+000,1.172800E+000
6,01/29/07 03:26,6.155500E-001,1.250000E+000,1.815000E+000,1.221000E+000
6,01/31/07 03:30,8.199900E-001,1.735300E+000,8.517600E-001,1.028200E+000
6,02/02/07 03:13,5.984400E-001,1.503800E+000,7.721300E-001,1.022000E+000
6,02/04/07 03:16,7.778200E-001,1.103400E+000,1.119200E+000,1.024400E+000
6,02/06/07 03:20,1.986900E+000,9.969600E-001,4.062000E-001,7.172600E-001
6,02/08/07 03:14,2.181400E+000,6.872500E-001,4.240800E-001,7.500300E-001
6,02/12/07 03:09,1.156900E+000,1.149700E+000,2.084100E-001,7.796000E-001
6,02/14/07 03:01,6.784500E-001,1.154700E+000,4.158700E-001,9.157100E-001
6,02/16/07 02:51,6.704000E-001,9.796300E-001,9.041400E-001,1.264200E+000
6,02/18/07 02:34,9.120000E-001,8.520200E-001,5.166100E-001,1.068800E+000
6,02/20/07 02:37,2.706000E+000,1.516900E-001,8.270300E-001,4.640300E-001
6,02/22/07 02:35,1.778800E+000,6.449300E-001,3.546900E-001,7.630900E-001
6,02/24/07 02:38,3.649700E-001,1.510200E+000,5.609800E-001,1.435300E+000
6,02/26/07 00:46,6.928000E-001,9.129500E-001,6.733400E-001,8.301100E-001
6,02/28/07 00:39,6.385600E-001,6.761400E-001,8.767100E-001,9.017300E-001
6,03/02/07 00:30,4.178100E-001,9.030900E-001,8.123400E-001,1.124500E+000
6,03/04/07 00:54,3.575200E-001,9.721200E-001,1.373900E+000,8.538900E-001
6,03/06/07 01:01,3.716000E-001,1.199700E+000,2.013300E+000,6.858900E-001
6,03/08/07 00:42,1.309100E+000,4.639200E-001,1.351100E+000,7.359200E-001
6,03/10/07 00:43,7.816600E-001,5.527400E-001,1.178500E+000,7.337700E-001
6,03/12/07 00:44,1.059500E+000,1.031800E+000,1.082900E+000,6.136000E-001
6,03/14/07 00:44,1.206200E+000,5.526900E-001,1.001800E+000,6.953500E-001
6,03/16/07 00:42,1.537000E+000,3.774500E-001,5.998300E-001,1.125600E+000
6,03/18/07 00:52,1.379600E+000,5.506500E-001,5.607900E-001,7.161300E-001
6,03/20/07 00:53,1.394700E+000,7.286100E-001,8.481100E-001,6.042300E-001
6,03/22/07 00:46,7.783200E-001,8.262200E-001,7.695300E-001,5.892000E-001
6,03/24/07 00:30,1.028000E+000,6.100800E-001,5.142800E-001,8.196800E-001
6,03/26/07 01:08,2.215700E+000,-2.000000E-001,9.100000E-002,1.308400E+000
6,03/28/07 01:29,6.945400E-001,6.952700E-001,3.389600E-002,9.444800E-001
6,03/30/07 00:38,1.171500E+000,6.761600E-001,1.026300E-001,9.425900E-001
6,04/01/07 00:30,1.641100E+000,2.373000E-001,2.992000E-001,8.334000E-001
6,04/03/07 00:34,5.346800E-001,4.700700E-001,-9.520300E-002,9.978700E-001
6,04/05/07 00:24,8.693800E-001,2.746300E-001,9.005400E-002,9.400800E-001
6,04/07/07 00:28,3.669000E-001,5.567200E-001,3.772400E-002,1.071100E+000
6,04/09/07 00:46,1.192000E-001,8.579700E-001,1.135300E-001,2.839200E-001
6,04/11/07 00:50,7.244400E-001,4.972100E-001,2.755500E-002,6.291600E-001
6,04/13/07 00:45,1.207700E+000,5.625900E-001,1.304400E-001,7.250800E-001
6,04/15/07 01:15,1.125400E+000,4.709000E-001,2.540600E-001,6.753700E-001
6,04/17/07 01:10,1.763200E+000,3.111400E-001,2.950100E-001,6.073100E-001
6,04/19/07 01:21,1.165700E+000,4.456600E-001,3.500300E-001,8.032700E-001
6,04/21/07 01:15,9.389100E-001,4.812200E-001,1.012200E-001,6.180200E-001
6,04/23/07 01:00,6.314900E-001,5.403900E-001,9.940000E-002,9.749000E-001
6,04/25/07 01:11,1.387700E+000,1.593300E-001,4.514900E-002,8.287500E-001
6,04/27/07 01:17,1.559400E+000,-1.538100E-001,7.506100E-002,9.283400E-001
6,04/29/07 01:20,7.161000E-001,1.838200E-001,2.961800E-002,7.841500E-001
6,05/01/07 01:31,6.822400E-001,4.778100E-001,-3.356900E-003,1.285000E+000
6,05/03/07 01:39,4.953700E-001,5.746700E-001,9.759300E-004,8.784600E-001
6,05/05/07 01:33,8.305900E-001,4.674600E-001,8.940000E-002,1.288000E+000
6,05/07/07 01:31,1.221600E+000,-7.362800E-002,1.532700E-001,8.761100E-001
6,05/09/07 01:25,1.145900E+000,5.073600E-001,2.244300E-001,9.217000E-001
6,05/11/07 01:32,2.942400E-001,7.181800E-001,-5.021800E-002,1.064800E+000
6,05/13/07 01:55,5.550100E-001,3.876900E-001,2.674200E-001,8.147100E-001
6,05/15/07 01:51,5.307800E-001,2.953900E-001,4.102500E-001,9.249000E-001
6,05/17/07 01:54,6.515300E-001,6.966100E-001,-1.070800E-001,9.382800E-001
6,05/19/07 01:20,4.849400E-001,7.602800E-001,7.933400E-002,7.665800E-001
6,05/21/07 01:12,1.783000E+000,-1.206900E-001,4.514400E-001,8.076400E-001
6,05/23/07 01:57,2.082500E+000,3.419700E-002,-1.000700E-001,9.891800E-001
6,05/25/07 02:08,1.058600E+000,5.166100E-001,5.191400E-003,8.802800E-001
6,05/27/07 01:23,7.912400E-001,4.451500E-001,8.399900E-002,1.474000E+000
6,05/29/07 01:05,1.025800E+000,1.862600E-001,-1.281000E-001,1.109900E+000
6,05/31/07 01:09,9.829200E-001,6.474100E-001,-1.503100E-001,1.303500E+000
6,06/02/07 00:39,8.845200E-001,3.661100E-001,-9.859400E-002,8.289900E-001
6,06/04/07 01:06,1.537300E+000,2.347200E-001,-1.450400E-001,9.368100E-001
