
Factor Profiles (conc. of species) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
6,mass,4.634800E+000,4.915400E+000,3.218500E+001,1.779700E+001
6,Na,1.894800E-001,6.237900E-002,0.000000E+000,0.000000E+000
6,Mg,1.665200E-002,2.318400E-002,3.337900E-001,5.021200E-002
6,Al,4.525400E-003,4.802900E-002,2.372600E+000,5.195100E-001
6,Si,0.000000E+000,1.087200E-001,5.353100E+000,1.104600E+000
6,P,5.991500E-004,1.056700E-002,7.029500E-003,3.686600E-003
6,S,1.398600E-001,3.958500E-001,7.632900E-002,1.234700E-001
6,Cl,3.448700E-001,0.000000E+000,2.273500E-001,0.000000E+000
6,K,1.372800E-001,2.742600E-001,5.153400E-001,4.671800E-001
6,Ca,3.513500E-002,2.816300E-002,7.748900E-001,1.990100E-001
6,Ti,1.036200E-003,2.298900E-003,1.525300E-001,3.443400E-002
6,V,2.820800E-004,2.384300E-004,2.222800E-003,1.118400E-003
6,Mn,6.350500E-004,4.023500E-004,2.171500E-002,6.654600E-003
6,Fe,1.221800E-002,1.793300E-002,1.321400E+000,3.362200E-001
6,Zn,5.984000E-003,2.634300E-003,7.120800E-003,1.670500E-002
6,Br,6.353100E-003,1.112600E-002,2.618900E-003,5.434900E-004
6,Pb,3.855600E-003,5.315500E-004,2.868200E-003,1.001500E-002
6,BC,6.341200E-001,0.000000E+000,0.000000E+000,2.465300E+000

Factor Profiles (% of species sum) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
6,mass,7.785367E+000,8.256708E+000,5.406318E+001,2.989475E+001
6,Na,7.523257E+001,2.476743E+001,0.000000E+000,0.000000E+000
6,Mg,3.928860E+000,5.470015E+000,7.875415E+001,1.184698E+001
6,Al,1.536814E-001,1.631052E+000,8.057285E+001,1.764242E+001
6,Si,0.000000E+000,1.655697E+000,8.152235E+001,1.682195E+001
6,P,2.738064E+000,4.829028E+001,3.212421E+001,1.684744E+001
6,S,1.901540E+001,5.381987E+001,1.037771E+001,1.678701E+001
6,Cl,6.026878E+001,0.000000E+000,3.973122E+001,0.000000E+000
6,K,9.847496E+000,1.967347E+001,3.696685E+001,3.351219E+001
6,Ca,3.387492E+000,2.715297E+000,7.470994E+001,1.918727E+001
6,Ti,5.445113E-001,1.208046E+000,8.015277E+001,1.809467E+001
6,V,7.304536E+000,6.174208E+000,5.755999E+001,2.896126E+001
6,Mn,2.159520E+000,1.368212E+000,7.384296E+001,2.262931E+001
6,Fe,7.239134E-001,1.062526E+000,7.829261E+001,1.992095E+001
6,Zn,1.844403E+001,8.119504E+000,2.194790E+001,5.148856E+001
6,Br,3.077830E+001,5.390115E+001,1.268755E+001,2.632998E+000
6,Pb,2.232497E+001,3.077818E+000,1.660765E+001,5.798956E+001
6,BC,2.045931E+001,0.000000E+000,0.000000E+000,7.954069E+001

Factor Profiles (% of total variable) from Base Run #6 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
6,mass,*,*,*,*
6,Na,4.088202E+000,1.269052E+000,0.000000E+000,0.000000E+000
6,Mg,3.592820E-001,4.716605E-001,1.037098E+000,2.821375E-001
6,Al,9.763960E-002,9.771128E-001,7.371757E+000,2.919087E+000
6,Si,0.000000E+000,2.211824E+000,1.663228E+001,6.206664E+000
6,P,1.292720E-002,2.149774E-001,2.184092E-002,2.071473E-002
6,S,3.017606E+000,8.053261E+000,2.371571E-001,6.937686E-001
6,Cl,7.440882E+000,0.000000E+000,7.063850E-001,0.000000E+000
6,K,2.961940E+000,5.579607E+000,1.601181E+000,2.625049E+000
6,Ca,7.580694E-001,5.729544E-001,2.407612E+000,1.118222E+000
6,Ti,2.235695E-002,4.676934E-002,4.739164E-001,1.934820E-001
6,V,6.086131E-003,4.850673E-003,6.906323E-003,6.284205E-003
6,Mn,1.370178E-002,8.185498E-003,6.746932E-002,3.739170E-002
6,Fe,2.636144E-001,3.648330E-001,4.105639E+000,1.889195E+000
6,Zn,1.291102E-001,5.359279E-002,2.212459E-002,9.386414E-002
6,Br,1.370739E-001,2.263498E-001,8.137020E-003,3.053829E-003
6,Pb,8.318806E-002,1.081397E-002,8.911605E-003,5.627353E-002
6,BC,1.368171E+001,0.000000E+000,0.000000E+000,1.385233E+001
