
Residuals from Base Run #6 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
6,11/12/06 06:43,-3.656000E+000,-1.871000E-002,2.741000E-001,2.664000E-001,2.705000E+000,1.899000E-002,4.111000E-001,2.121000E-001,-1.646000E-001,9.282000E-002,-4.567000E-002,-4.632000E-004,6.032000E-004,-4.215000E-001,-1.052000E-002,-3.467000E-003,3.982000E-004,5.846000E-001
6,11/14/06 03:18,-5.976000E+000,-1.083000E-001,3.500000E-001,3.132000E-001,3.262000E+000,6.352000E-003,2.233000E-001,1.958000E-001,-3.549000E-001,4.697000E-001,-4.381000E-002,-1.475000E-003,3.925000E-003,-3.260000E-001,-9.277000E-003,-2.986000E-003,-5.579000E-004,6.908000E-001
6,11/16/06 04:08,-2.920000E-001,-1.067000E-001,1.885000E-001,-1.473000E-001,1.589000E+000,1.392000E-002,3.096000E-001,2.080000E-001,-9.945000E-002,1.886000E-001,-5.266000E-002,-4.884000E-004,1.423000E-003,-3.444000E-001,-5.874000E-003,-3.295000E-003,8.188000E-004,1.971000E-001
6,11/18/06 04:01,-1.800000E+000,-2.036000E-002,1.222000E-001,-1.323000E-001,1.092000E+000,1.430000E-002,3.022000E-001,1.363000E-001,-1.583000E-001,-1.375000E-002,-3.389000E-002,-2.339000E-004,2.266000E-003,-2.439000E-001,6.549000E-003,-3.497000E-003,-3.075000E-003,-5.016000E-002
6,11/20/06 03:11,2.306000E+000,-8.113000E-002,1.883000E-001,-3.327000E-002,2.142000E+000,-5.349000E-003,1.827000E-001,1.311000E-001,-1.769000E-001,1.520000E-001,-2.899000E-002,-9.549000E-004,6.057000E-003,-1.910000E-001,-6.046000E-003,-2.528000E-003,-2.316000E-003,2.494000E-001
6,11/22/06 03:22,-1.868000E+000,-2.061000E-001,9.107000E-002,-3.789000E-002,1.515000E+000,-3.914000E-003,-7.313000E-002,6.663000E-002,-4.951000E-002,-5.920000E-003,-3.290000E-002,-4.743000E-004,2.747000E-003,-2.197000E-001,1.073000E-002,9.474000E-003,-3.587000E-003,1.569000E-001
6,11/26/06 03:04,-2.603000E+000,-6.781000E-002,1.948000E-002,9.015000E-002,8.496000E-001,-2.565000E-003,-7.887000E-002,-5.286000E-003,-6.028000E-002,8.397000E-003,-1.475000E-002,-3.234000E-004,2.691000E-003,-9.958000E-002,-5.342000E-004,8.569000E-003,-2.571000E-003,3.746000E-001
6,11/28/06 03:01,1.503000E+000,6.160000E-002,2.707000E-002,1.112000E-001,4.345000E-001,-1.549000E-004,-9.798000E-002,-5.278000E-004,-3.051000E-002,-6.845000E-002,-8.235000E-003,8.758000E-005,3.892000E-003,-4.296000E-002,-3.248000E-003,3.299000E-002,-2.413000E-003,7.424000E-001
6,11/30/06 03:08,-1.500000E+000,1.315000E-001,6.929000E-004,-6.313000E-002,-1.449000E-001,2.694000E-002,2.793000E-001,1.025000E-003,1.816000E-001,3.899000E-002,-1.153000E-002,8.834000E-005,1.955000E-003,-1.803000E-002,-2.701000E-004,-4.012000E-003,6.156000E-004,-4.237000E-001
6,12/02/06 05:11,-2.201000E+000,-3.671000E-002,-6.299000E-002,-1.114000E-001,-2.043000E-001,1.012000E-002,5.205000E-002,8.896000E-003,4.230000E-002,1.489000E-001,-4.134000E-003,2.582000E-005,1.158000E-003,4.890000E-002,-2.068000E-003,-2.564000E-003,-3.768000E-004,-4.881000E-003
