
Factor Contributions (avg = 1) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
18,11/14/06 03:18,4.595900E-001,1.463300E-001,1.471200E+000,7.340300E-001
18,11/16/06 04:08,4.759700E-001,-5.254100E-002,1.051800E+000,1.011000E+000
18,11/18/06 04:01,4.650500E-001,-5.377400E-002,8.811500E-001,1.071500E+000
18,11/20/06 03:11,5.793200E-001,3.677500E-001,1.525400E+000,6.248000E-001
18,11/22/06 03:22,3.192900E-001,9.661200E-001,9.052000E-001,9.232200E-001
18,11/26/06 03:04,2.516100E-001,7.701000E-001,4.308700E-001,8.097000E-001
18,11/28/06 03:01,1.381500E-001,1.583400E+000,-1.405200E-001,9.166600E-001
18,12/04/06 05:21,4.164300E-001,8.698800E-001,-1.917300E-001,1.556400E+000
18,12/06/06 03:32,1.397000E+000,-1.009300E-001,-8.244700E-002,1.860300E+000
18,12/08/06 03:28,8.005500E-001,6.731000E-001,8.499000E-002,1.446400E+000
18,12/10/06 03:20,3.108500E-001,6.961900E-002,-1.960600E-001,1.793500E+000
18,12/12/06 03:18,5.505600E-001,5.360800E-001,4.882900E-001,1.518800E+000
18,12/14/06 03:19,2.880100E-001,1.441100E+000,2.389600E-001,1.253000E+000
18,12/16/06 03:09,3.335500E-001,9.221900E-001,3.070600E-002,1.216500E+000
18,12/18/06 03:10,4.894000E-001,2.750000E-001,8.382200E-002,1.375200E+000
18,12/20/06 03:26,2.638100E-001,4.707400E-001,4.107800E-001,1.650000E+000
18,12/22/06 03:29,2.392100E-001,6.259500E-002,4.035800E-001,1.523100E+000
18,01/01/07 03:20,7.413800E-001,2.962100E+000,1.461600E+000,1.504000E+000
18,01/03/07 03:07,4.464500E+000,1.462300E+000,3.028500E+000,-2.000000E-001
18,01/05/07 02:54,4.563600E+000,2.669800E+000,4.279600E+000,-1.462200E-001
18,01/07/07 03:09,2.118900E+000,1.034300E+000,2.049600E+000,9.340300E-001
18,01/09/07 03:02,3.152400E+000,7.430500E-001,2.539400E+000,4.571500E-001
18,01/11/07 02:55,2.363600E+000,2.472500E+000,1.975000E+000,8.864500E-001
18,01/13/07 03:27,2.678100E+000,1.094400E+000,2.431000E+000,4.559800E-001
18,01/15/07 03:19,3.727600E+000,1.421100E+000,3.007500E+000,1.980500E-001
18,01/17/07 03:14,2.540800E+000,1.231500E+000,1.801500E+000,9.420200E-001
18,01/19/07 03:40,2.792400E+000,1.281800E+000,2.022000E+000,4.481100E-001
18,01/21/07 03:30,2.426800E+000,2.616200E+000,2.658500E+000,5.271200E-001
18,01/23/07 07:32,1.664500E+000,4.002100E-001,1.987900E+000,1.100400E+000
18,01/25/07 05:42,4.102800E-001,2.244900E+000,1.226600E+000,1.024600E+000
18,01/27/07 03:15,6.609600E-001,-1.122400E-002,8.543800E-001,1.115100E+000
18,01/29/07 03:26,5.116000E-001,1.520200E-001,6.957300E-001,1.247600E+000
18,01/31/07 03:30,1.830300E-001,4.431300E-001,4.091600E-001,1.226400E+000
18,02/02/07 03:13,2.337900E-001,1.715600E-001,3.046100E-001,1.192600E+000
18,02/04/07 03:16,3.169900E-001,-9.706800E-003,4.916300E-001,1.272000E+000
18,02/16/07 02:51,2.957400E-001,8.497700E-002,3.810800E-001,1.125200E+000
18,02/18/07 02:34,1.058200E-001,2.781800E-001,3.532900E-001,9.178600E-001
18,02/24/07 02:38,2.734400E-001,2.770100E-001,8.775200E-002,1.192900E+000
18,02/26/07 00:46,1.492400E-001,3.030100E-001,3.445300E-001,8.073400E-001
18,02/28/07 00:39,2.344300E-001,1.101300E-002,4.366300E-001,9.122500E-001
18,11/14/07 04:52,-1.560900E-001,1.204300E+000,5.436000E-001,7.945400E-001
18,12/08/07 04:07,2.159900E-001,5.072700E-001,4.329300E-002,9.286000E-001
18,12/26/07 03:31,8.895900E-001,1.129300E-001,2.954900E-001,1.483600E+000
18,01/01/08 03:23,3.567200E-001,1.445000E+000,-1.999900E-001,1.718300E+000
18,01/07/08 03:04,7.288000E-001,1.905600E+000,1.154300E+000,1.077200E+000
18,01/13/08 03:21,-2.000000E-001,3.143300E+000,8.307200E-002,1.162600E+000
18,01/19/08 02:55,5.550400E-001,3.066000E+000,9.753900E-001,9.324600E-001
18,01/31/08 03:32,2.490900E+000,7.606500E-001,1.582600E+000,6.598400E-001
