**** Analysis Summary ****

Time of run: ,05/08/16 00:01
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\RFeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\RFeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      9.6, 35.86000, 59.23000, 90.67000,297.56000,3318.47000, 100.00 %, 100.00 %
Na,Strong,      0.8,  0.03197,  0.11884,  0.16960, 40.56603, 40.56603, 100.00 %, 100.00 %
Mg,Strong,      8.1,  0.21283,  0.41138,  0.79681,  1.87310,  3.97355, 100.00 %, 100.00 %
Al,Strong,     10.0,  1.71328,  2.86464,  4.91604, 14.03280, 25.99831, 100.00 %, 100.00 %
Si,Strong,     10.0,  4.26237,  6.44727, 12.74275, 35.45104, 72.73362, 100.00 %, 100.00 %
P,Strong,      5.9,  0.01079,  0.02577,  0.03604,  0.05239,  0.12503, 100.00 %, 100.00 %
S,Strong,     10.0,  0.62690,  0.85257,  1.11500,  1.31694,  2.06221, 100.00 %, 100.00 %
Cl,Strong,     10.0,  0.07270,  0.39704,  0.62776,  1.56413,  3.53752, 100.00 %, 100.00 %
K,Strong,     10.0,  0.79267,  1.51957,  1.97830,  4.86973,  9.75564, 100.00 %, 100.00 %
Ca,Strong,     10.0,  0.41372,  0.89484,  1.65999,  4.96814, 18.55965, 100.00 %, 100.00 %
Ti,Strong,     10.0,  0.09582,  0.17688,  0.28352,  0.88574,  2.76983, 100.00 %, 100.00 %
V,Strong,      6.5,  0.00187,  0.00401,  0.00536,  0.01369,  0.05313, 100.00 %, 100.00 %
Mn,Strong,     10.0,  0.01704,  0.02813,  0.05000,  0.15397,  0.52763, 100.00 %, 100.00 %
Fe,Strong,     10.0,  0.89497,  1.61435,  2.62248,  7.62378, 26.52248, 100.00 %, 100.00 %
Zn,Strong,      9.8,  0.02063,  0.03257,  0.04431,  0.08193,  0.18204, 100.00 %, 100.00 %
Br,Strong,      9.6,  0.01099,  0.02022,  0.03256,  0.05224,  0.09699, 100.00 %, 100.00 %
Pb,Strong,      7.1,  0.01207,  0.01687,  0.02061,  0.03841,  0.09400, 100.00 %, 100.00 %
BC,Strong,     10.0,  1.89309,  3.21772,  3.58926,  3.95711,  5.64587, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,4
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,1519.56     ,1598.68     ,Yes      ,324,2.705042
2,1519.54     ,1598.68     ,Yes      ,392,2.705042
3,1519.58     ,1598.67     ,Yes      ,353,2.705025
4,1519.52     ,1598.68     ,Yes      ,280,2.705042
5,1519.52     ,1598.68     ,Yes      ,275,2.705042
6,1519.56     ,1598.67     ,Yes      ,348,2.705025
7,1519.59     ,1598.67     ,Yes      ,378,2.705025
8,1519.57     ,1598.68     ,Yes      ,280,2.705042
9,1519.56     ,1598.68     ,Yes      ,301,2.705042
10,1519.6      ,1598.67     ,Yes      ,361,2.705025
11,1519.6      ,1598.67     ,Yes      ,332,2.705025
12,1519.51     ,1598.68     ,Yes      ,251,2.705042
13,1519.55     ,1598.68     ,Yes      ,303,2.705042
14,1519.55     ,1598.68     ,Yes      ,404,2.705042
15,1519.57     ,1598.67     ,Yes      ,446,2.705025
16,1519.55     ,1598.68     ,Yes      ,248,2.705042
17,1519.54     ,1598.68     ,Yes      ,304,2.705042
18,1519.5      ,1598.68     ,Yes      ,224,2.705042
19,1519.54     ,1598.68     ,Yes      ,229,2.705042
20,1519.56     ,1598.68     ,Yes      ,298,2.705042

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00047,
3,0.00015,0.00025,
4,0.00047,0.00010,0.00025,
5,0.00056,0.00011,0.00031,0.00010,
6,0.00044,0.00009,0.00022,0.00012,0.00015,
7,0.00035,0.00014,0.00017,0.00016,0.00018,0.00013,
8,0.00016,0.00022,0.00008,0.00023,0.00030,0.00019,0.00016,
9,0.00044,0.00006,0.00023,0.00008,0.00008,0.00009,0.00012,0.00020,
10,0.00039,0.00014,0.00019,0.00016,0.00020,0.00007,0.00012,0.00015,0.00012,
11,0.00032,0.00031,0.00022,0.00036,0.00042,0.00025,0.00022,0.00015,0.00029,0.00018,
12,0.00056,0.00012,0.00032,0.00009,0.00006,0.00017,0.00016,0.00032,0.00009,0.00022,0.00044,
13,0.00039,0.00010,0.00019,0.00010,0.00014,0.00010,0.00012,0.00019,0.00009,0.00013,0.00028,0.00012,
14,0.00031,0.00012,0.00015,0.00009,0.00014,0.00011,0.00013,0.00013,0.00010,0.00012,0.00023,0.00015,0.00008,
15,0.00013,0.00034,0.00012,0.00035,0.00043,0.00030,0.00024,0.00012,0.00032,0.00026,0.00023,0.00043,0.00025,0.00022,
16,0.00028,0.00015,0.00016,0.00021,0.00023,0.00020,0.00019,0.00016,0.00018,0.00019,0.00022,0.00024,0.00015,0.00013,0.00020,
17,0.00031,0.00012,0.00017,0.00014,0.00016,0.00012,0.00016,0.00015,0.00013,0.00012,0.00024,0.00018,0.00013,0.00010,0.00024,0.00012,
18,0.00060,0.00012,0.00034,0.00009,0.00007,0.00015,0.00021,0.00032,0.00009,0.00019,0.00044,0.00010,0.00017,0.00015,0.00047,0.00026,0.00017,
19,0.00041,0.00008,0.00021,0.00008,0.00012,0.00011,0.00016,0.00019,0.00007,0.00013,0.00027,0.00013,0.00011,0.00009,0.00030,0.00015,0.00011,0.00011,
20,0.00043,0.00006,0.00022,0.00008,0.00011,0.00005,0.00012,0.00019,0.00005,0.00009,0.00026,0.00012,0.00009,0.00010,0.00030,0.00017,0.00012,0.00011,0.00007,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,BC          ,
2                    1,0.00000,0.00000,0.00001,0.00000,0.00001,0.00025,0.00002,0.00006,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00004,
3                    1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0.00001,0.00002,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00000,0.00001,0.00001,0.00002,
3                    2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00011,0.00001,0.00003,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00002,0.00000,0.00002,
4                    1,0.00000,0.00000,0.00000,0.00000,0.00001,0.00027,0.00002,0.00004,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00003,
4                    2,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00001,0.00002,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00000,0.00002,
4                    3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00012,0.00001,0.00002,0.00000,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00002,
5                    1,0.00000,0.00000,0.00001,0.00000,0.00000,0.00033,0.00002,0.00006,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00000,0.00005,
5                    2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,
5                    3,0.00000,0.00000,0.00000,0.00000,0.00001,0.00016,0.00001,0.00003,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00002,
5                    4,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00000,0.00002,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,
6                    1,0.00000,0.00000,0.00001,0.00000,0.00000,0.00022,0.00002,0.00004,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00005,
6                    2,0.00000,0.00000,0.00001,0.00000,0.00000,0.00002,0.00000,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00000,0.00001,
6                    3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00009,0.00001,0.00002,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002,
6                    4,0.00000,0.00000,0.00001,0.00000,0.00000,0.00003,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00002,0.00000,0.00003,
6                    5,0.00000,0.00000,0.00001,0.00000,0.00000,0.00004,0.00001,0.00001,0.00001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00002,0.00001,0.00002,
7                    1,0.00000,0.00000,0.00001,0.00000,0.00000,0.00016,0.00002,0.00003,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00000,0.00004,
7                    2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00004,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00001,0.00001,0.00003,0.00001,0.00001,
7                    3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00005,0.00001,0.00002,0.00000,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00002,0.00001,0.00002,
7                    4,0.00000,0.00000,0.00001,0.00000,0.00000,0.00005,0.00001,0.00001,0.00001,0.00000,0.00000,0.00001,0.00000,0.00000,0.00001,0.00002,0.00001,0.00002,
7                    5,0.00000,0.00000,0.00000,0.00000,0.00001,0.00006,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00000,0.00000,0.00001,0.00001,0.00001,0.00001,
7                    6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00002,0.00001,0.00001,0.00000,0.00000,0.00000,0.00001,0.00000,0.00000,0.00000,0.00004,0.00001,0.00001,
8                    1,0.00000,0.00000,0.00001,0.00000,0.00001,0.00005,0.00000,0.00002,0.00000,0.00000,0.00000,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00002,
8                    2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00010,0.00001,0.00002,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00000,0.00002,
8                    3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00001,0.00000,0.00001,0.00000,0.00000,0.00000,0.00001,0.00001,0.00000,0.00000,0.00001,0.00001,0.00000,
