
Factor Profiles (conc. of species) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
18,mass,9.887400E+001,1.866600E+001,3.132100E+001,1.272400E+001
18,Na,3.025000E-002,1.238300E-002,2.697900E-002,9.066300E-002
18,Mg,6.261600E-001,1.281000E-001,3.934900E-001,7.133500E-002
18,Al,4.377300E+000,7.274300E-001,2.291000E+000,6.556900E-001
18,Si,1.165600E+001,1.860700E+000,5.720600E+000,1.075900E+000
18,P,1.839200E-002,0.000000E+000,2.844800E-004,2.258200E-002
18,S,1.041700E-001,8.884900E-002,1.467400E-001,7.411700E-001
18,Cl,5.137800E-011,3.120300E-002,7.824000E-001,1.460300E-001
18,K,1.703000E+000,3.976500E-001,2.200800E-001,7.135700E-001
18,Ca,1.751300E+000,3.146400E-001,9.812100E-001,1.534800E-002
18,Ti,3.433200E-001,5.374000E-002,1.499700E-001,1.180500E-002
18,V,5.602700E-003,7.998700E-004,2.014900E-003,1.149900E-003
18,Mn,6.110600E-002,9.465500E-003,2.326400E-002,4.025400E-004
18,Fe,3.147000E+000,5.019200E-001,1.273900E+000,9.322600E-002
18,Zn,2.938500E-002,5.788900E-003,3.254200E-003,1.830500E-002
18,Br,0.000000E+000,2.477100E-002,0.000000E+000,1.216400E-002
18,Pb,8.602600E-003,3.658200E-003,4.038200E-003,9.627800E-003
18,BC,3.725000E-001,2.609200E-001,3.251500E-001,2.605000E+000

Factor Profiles (% of species sum) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
18,mass,6.119009E+001,1.155182E+001,1.938361E+001,7.874493E+000
18,Na,1.887381E+001,7.726096E+000,1.683294E+001,5.656715E+001
18,Mg,5.136311E+001,1.050788E+001,3.227749E+001,5.851520E+000
18,Al,5.436681E+001,9.034803E+000,2.845461E+001,8.143781E+000
18,Si,5.738141E+001,9.160053E+000,2.816198E+001,5.296556E+000
18,P,4.457750E+001,0.000000E+000,6.895067E-001,5.473299E+001
18,S,9.637081E+000,8.219688E+000,1.357536E+001,6.856787E+001
18,Cl,5.353922E-009,3.251555E+000,8.153117E+001,1.521728E+001
18,K,5.612497E+001,1.310516E+001,7.253073E+000,2.351679E+001
18,Ca,5.718534E+001,1.027397E+001,3.203953E+001,5.011595E-001
18,Ti,6.143495E+001,9.616434E+000,2.683619E+001,2.112430E+000
18,V,5.856050E+001,8.360395E+000,2.106012E+001,1.201898E+001
18,Mn,6.484218E+001,1.004425E+001,2.468642E+001,4.271523E-001
18,Fe,6.273866E+001,1.000629E+001,2.539650E+001,1.858556E+000
18,Zn,5.179516E+001,1.020374E+001,5.735981E+000,3.226511E+001
18,Br,0.000000E+000,6.706647E+001,0.000000E+000,3.293353E+001
18,Pb,3.318034E+001,1.410972E+001,1.557539E+001,3.713455E+001
18,BC,1.045300E+001,7.321871E+000,9.124277E+000,7.310085E+001

Factor Profiles (% of total variable) from Base Run #18 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
18,mass,*,*,*,*
18,Na,3.059449E-002,6.633987E-002,8.613709E-002,7.125354E-001
18,Mg,6.332908E-001,6.862745E-001,1.256314E+000,5.606334E-001
18,Al,4.427150E+000,3.897086E+000,7.314581E+000,5.153175E+000
18,Si,1.178874E+001,9.968391E+000,1.826442E+001,8.455674E+000
18,P,1.860145E-002,0.000000E+000,9.082724E-004,1.774756E-001
18,S,1.053563E-001,4.759938E-001,4.685036E-001,5.824976E+000
18,Cl,5.196310E-011,1.671649E-001,2.498004E+000,1.147674E+000
18,K,1.722394E+000,2.130344E+000,7.026595E-001,5.608064E+000
18,Ca,1.771244E+000,1.685632E+000,3.132754E+000,1.206224E-001
18,Ti,3.472298E-001,2.879031E-001,4.788161E-001,9.277743E-002
18,V,5.666505E-003,4.285171E-003,6.433064E-003,9.037253E-003
18,Mn,6.180189E-002,5.070985E-002,7.427604E-002,3.163628E-003
18,Fe,3.182839E+000,2.688953E+000,4.067239E+000,7.326784E-001
18,Zn,2.971964E-002,3.101307E-002,1.038983E-002,1.438620E-001
18,Br,0.000000E+000,1.327065E-001,0.000000E+000,9.559887E-002
18,Pb,8.700568E-003,1.959820E-002,1.289295E-002,7.566646E-002
18,BC,3.767421E-001,1.397836E+000,1.038121E+000,2.047312E+001
