
Residuals from Base Run #18 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb,BC
18,11/14/06 03:18,-8.465000E+000,-2.677000E-002,3.106000E-001,7.275000E-001,2.764000E+000,4.286000E-003,-8.310000E-002,-1.505000E-001,-1.689000E-001,3.102000E-001,-2.687000E-002,-1.144000E-003,5.578000E-004,-1.850000E-001,-3.443000E-003,8.283000E-005,1.532000E-003,8.030000E-001
18,11/16/06 04:08,-1.220000E+000,-7.620000E-002,1.625000E-001,1.437000E-001,1.150000E+000,4.364000E-003,-1.067000E-001,-4.017000E-002,-5.949000E-002,1.549000E-001,-3.366000E-002,-3.053000E-004,1.587000E-004,-1.773000E-001,-1.951000E-003,-2.810000E-006,3.691000E-003,4.643000E-001
18,11/18/06 04:01,-2.912000E+000,3.527000E-002,9.924000E-002,6.265000E-002,5.739000E-001,3.033000E-003,-1.024000E-001,2.459000E-003,-1.761000E-001,-1.860000E-002,-1.805000E-002,-1.317000E-004,1.155000E-003,-1.058000E-001,9.653000E-003,9.752000E-005,-1.093000E-004,1.965000E-001
18,11/20/06 03:11,-4.693000E+000,4.463000E-002,1.706000E-001,5.620000E-001,1.728000E+000,-3.447000E-003,8.455000E-004,-8.920000E-002,-2.752000E-002,-3.625000E-002,-1.298000E-002,-6.414000E-004,2.087000E-004,-9.339000E-002,-1.937000E-003,-6.205000E-005,-1.162000E-003,1.694000E-001
18,11/22/06 03:22,-3.753000E+000,-1.490000E-002,5.105000E-002,8.245000E-002,8.001000E-001,-2.328000E-003,-1.372000E-001,7.105000E-002,4.472000E-002,-8.353000E-002,-2.490000E-002,-1.253000E-004,1.497000E-004,-1.694000E-001,1.630000E-002,3.615000E-005,-1.510000E-003,3.812000E-001
18,11/26/06 03:04,-3.822000E+000,2.764000E-002,-2.785000E-003,1.326000E-001,3.473000E-001,-1.604000E-003,-8.455000E-002,1.012000E-004,-3.774000E-002,7.037000E-003,-8.993000E-003,-1.246000E-004,1.315000E-003,-6.710000E-002,2.221000E-003,1.593000E-004,-1.213000E-003,5.833000E-001
18,11/28/06 03:01,-1.620000E+000,4.843000E-002,3.902000E-003,4.295000E-002,5.201000E-002,4.214000E-003,-9.557000E-003,-6.162000E-004,-1.819000E-001,1.295000E-002,-4.277000E-003,2.277000E-004,3.598000E-003,-4.203000E-002,-4.167000E-003,4.258000E-003,-3.171000E-003,9.345000E-001
18,12/04/06 05:21,3.198000E+000,4.324000E-002,3.579000E-002,-2.313000E-001,-6.302000E-001,9.347000E-003,1.683000E-002,-1.013000E-003,-2.800000E-001,2.596000E-001,-9.931000E-003,-8.565000E-004,1.459000E-003,5.234000E-002,-1.615000E-004,-2.130000E-004,3.602000E-003,2.307000E-001
18,12/06/06 03:32,-1.836000E+001,-4.522000E-002,2.884000E-001,6.479000E-001,1.529000E+000,-3.843000E-004,1.045000E-001,-3.285000E-003,-5.434000E-001,2.320000E-001,-3.715000E-002,-2.095000E-004,-3.002000E-003,-1.815000E-001,3.889000E-003,1.333000E-004,-4.264000E-003,3.322000E-001
18,12/08/06 03:28,-1.146000E+001,-5.235000E-002,1.229000E-001,3.337000E-001,1.037000E+000,1.105000E-002,3.684000E-001,-8.859000E-003,-2.339000E-002,8.437000E-002,-1.043000E-002,4.634000E-004,-2.541000E-003,-4.993000E-002,-1.190000E-002,4.045000E-004,-1.596000E-003,-2.034000E-001
18,12/10/06 03:20,7.033000E+000,-9.435000E-002,-1.120000E-002,-2.968000E-001,1.043000E-001,-9.526000E-004,2.398000E-001,1.623000E-003,4.998000E-001,1.226000E-002,-6.412000E-003,1.607000E-004,2.284000E-003,-3.566000E-002,2.576000E-003,-1.497000E-004,-3.024000E-003,-3.565000E-001
18,12/12/06 03:18,-8.095000E+000,-9.165000E-002,6.773000E-002,1.389000E-003,9.001000E-001,1.969000E-002,4.834000E-004,2.522000E-002,1.602000E-001,1.015000E-001,-3.287000E-002,-6.071000E-004,-3.388000E-003,-1.428000E-001,1.148000E-002,2.966000E-004,1.218000E-003,-8.116000E-001
18,12/14/06 03:19,-1.757000E+000,-4.724000E-002,-1.257000E-003,1.027000E-001,4.925000E-001,4.962000E-003,2.346000E-002,-3.134000E-004,-1.535000E-001,-1.760000E-002,-2.973000E-003,1.608000E-004,5.923000E-005,-5.274000E-003,2.516000E-003,2.685000E-003,-3.601000E-003,2.574000E-002
18,12/16/06 03:09,2.633000E+000,3.782000E-002,-5.563000E-002,4.260000E-001,3.003000E-001,1.761000E-002,9.210000E-002,-3.973000E-003,-3.600000E-001,-3.677000E-002,1.752000E-002,-5.340000E-005,-3.891000E-005,8.779000E-002,-1.424000E-003,3.373000E-003,-2.900000E-003,-7.855000E-002
18,12/18/06 03:10,-4.818000E+000,1.006000E-001,-6.429000E-003,3.121000E-001,5.290000E-001,1.231000E-002,2.332000E-001,-6.834000E-003,-1.535000E-001,-3.219000E-002,1.905000E-002,-3.288000E-004,-7.499000E-004,3.494000E-002,-7.369000E-003,4.324000E-004,2.461000E-004,-3.020000E-001
18,12/20/06 03:26,5.725000E+000,-5.256000E-002,-1.339000E-001,-2.403000E-001,-2.318000E-001,1.682000E-002,4.641000E-002,5.072000E-002,-7.688000E-003,3.180000E-002,5.744000E-003,-1.155000E-004,2.085000E-003,9.586000E-002,2.501000E-003,8.230000E-004,1.956000E-003,-6.958000E-001
18,12/22/06 03:29,4.466000E+000,-1.250000E-001,-1.381000E-001,-2.070000E-001,-5.899000E-001,1.201000E-002,1.712000E-001,5.544000E-002,9.236000E-002,5.548000E-003,1.012000E-002,2.855000E-004,2.914000E-003,1.277000E-001,-1.906000E-003,4.182000E-004,-6.703000E-004,-4.758000E-001
18,01/01/07 03:20,3.626000E+001,4.033000E+001,-3.592000E-002,4.999000E-001,9.356000E-001,-5.441000E-003,3.925000E-001,1.273000E-001,1.360000E+000,-3.876000E-001,-3.007000E-002,-3.118000E-003,-2.079000E-003,-1.592000E-001,1.032000E-001,-4.628000E-003,5.640000E-002,-1.092000E+000
18,01/03/07 03:07,3.701000E+001,4.034000E+001,-1.867000E-001,-3.367000E+000,-7.296000E+000,4.211000E-002,-7.807000E-002,4.135000E-002,-5.497000E-001,1.977000E+000,1.523000E-001,4.186000E-003,7.964000E-002,1.681000E+000,-1.642000E-002,7.339000E-004,-5.624000E-003,2.735000E-001
18,01/05/07 02:54,1.502000E+002,4.029000E+001,-1.270000E+000,-5.629000E+000,-9.753000E+000,4.317000E-002,-3.086000E-002,1.271000E-001,8.442000E-002,5.530000E+000,4.194000E-001,1.696000E-002,1.239000E-001,5.382000E+000,-2.387000E-002,1.272000E-003,-4.137000E-003,1.224000E-001
18,01/07/07 03:09,-7.337000E+000,4.034000E+001,-2.646000E-001,-2.247000E-001,-3.902000E+000,2.478000E-002,1.122000E-002,2.666000E-001,6.649000E-001,-6.535000E-002,-8.490000E-003,4.363000E-004,-1.555000E-002,-4.389000E-001,9.001000E-002,1.770000E-004,7.705000E-003,-5.530000E-001
18,01/09/07 03:02,2.822000E+001,4.035000E+001,-9.748000E-002,9.879000E-001,1.321000E+000,1.696000E-002,4.131000E-001,-1.565000E-001,-9.230000E-002,-3.737000E-001,2.076000E-001,8.627000E-003,2.021000E-002,1.309000E+000,-2.644000E-002,1.787000E-004,-3.829000E-003,-3.174000E-001
18,01/11/07 02:55,-4.728000E-001,4.033000E+001,-6.535000E-002,1.187000E+000,6.978000E-001,4.025000E-002,2.471000E-001,1.303000E-001,-4.935000E-001,-1.452000E+000,8.963000E-002,4.550000E-003,-1.830000E-003,3.102000E-001,2.191000E-002,2.814000E-003,-1.040000E-003,-7.407000E-001
18,01/13/07 03:27,-1.295000E+000,4.036000E+001,2.333000E-001,-1.412000E+000,-1.321000E+000,4.170000E-002,-4.518000E-002,1.310000E-001,3.761000E-001,1.707000E+000,-1.513000E-001,-1.264000E-003,-1.194000E-002,-5.823000E-001,5.843000E-003,4.630000E-004,-2.837000E-003,-7.953000E-002
