**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 18

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 98.87400, 74.63200, 83.48250, 92.30400, 95.43725,105.21000, 90.63875,  8.36995,  0.09234,  0.08465
Na,  0.03025,  0.01350,  0.01894,  0.02418,  0.02923,  0.03579,  0.02385,  0.00618,  0.25917,  0.20432
Mg,  0.62616,  0.47847,  0.53215,  0.59098,  0.62703,  0.73244,  0.58933,  0.06754,  0.11461,  0.10787
Al,  4.37730,  3.29630,  3.70533,  4.09500,  4.33068,  4.80500,  4.06637,  0.42718,  0.10505,  0.09759
Si, 11.65600,  8.84210,  9.88050, 10.92800, 11.53625, 12.72400, 10.83845,  1.11808,  0.10316,  0.09592
P,  0.01839,  0.01038,  0.01324,  0.01533,  0.01684,  0.01843,  0.01495,  0.00250,  0.16741,  0.13611
S,  0.10417,  0.00059,  0.01206,  0.06027,  0.10752,  0.13694,  0.06138,  0.04718,  0.76867,  0.45290
Cl,  0.00000,  0.00000,  0.00000,  0.00184,  0.09704,  0.36432,  0.04917,  0.09304,  1.89212,1810815836.56032
K,  1.70300,  1.22970,  1.40663,  1.49385,  1.61128,  1.73760,  1.51099,  0.13706,  0.09071,  0.08048
Ca,  1.75130,  1.35280,  1.49158,  1.66260,  1.75258,  2.01430,  1.64876,  0.18170,  0.11020,  0.10375
Ti,  0.34332,  0.26238,  0.29135,  0.32276,  0.33889,  0.37028,  0.31912,  0.03192,  0.10003,  0.09298
V,  0.00560,  0.00415,  0.00472,  0.00519,  0.00540,  0.00589,  0.00511,  0.00048,  0.09467,  0.08635
Mn,  0.06111,  0.04683,  0.05186,  0.05744,  0.05993,  0.06606,  0.05665,  0.00548,  0.09667,  0.08962
Fe,  3.14700,  2.40620,  2.66968,  2.95555,  3.09218,  3.39450,  2.91932,  0.28608,  0.09799,  0.09090
Zn,  0.02939,  0.02035,  0.02376,  0.02559,  0.02800,  0.02939,  0.02559,  0.00259,  0.10118,  0.08810
Br,  0.00000,  0.00000,  0.00000,  0.00000,  0.00013,  0.00566,  0.00071,  0.00160,  2.26592,  0.00000
Pb,  0.00860,  0.00575,  0.00695,  0.00774,  0.00817,  0.00927,  0.00756,  0.00088,  0.11689,  0.10270
BC,  0.37250,  0.00000,  0.00001,  0.19951,  0.38464,  0.48642,  0.20457,  0.17489,  0.85490,  0.46949

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 18.66600,  5.10890,  8.55583, 14.07950, 19.08375, 20.11000, 13.56673,  5.45075,  0.40177,  0.29201
Na,  0.01238,  0.01137,  0.01432,  0.01777,  0.02165,  0.03393,  0.01975,  0.00735,  0.37245,  0.59396
Mg,  0.12810,  0.04275,  0.06175,  0.10863,  0.13822,  0.16478,  0.10462,  0.04139,  0.39564,  0.32312
Al,  0.72743,  0.22179,  0.26960,  0.58902,  0.77697,  0.91867,  0.56323,  0.25427,  0.45145,  0.34954
Si,  1.86070,  0.33264,  0.55552,  1.42255,  1.97585,  2.29340,  1.34291,  0.71666,  0.53366,  0.38516
