
Factor Contributions (avg = 1) from Base Run #17 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
17,03/02/07 00:30,-9.112800E-002,4.510200E+000,6.466800E-001,1.542200E+000
17,03/04/07 00:54,-2.000000E-001,6.859700E+000,4.484300E-001,1.315500E+000
17,03/08/07 00:42,1.114400E+000,6.566900E+000,-1.444500E-001,1.299400E+000
17,03/10/07 00:43,4.150700E-001,5.826700E+000,4.175400E-002,1.245500E+000
17,03/12/07 00:44,6.454500E-001,5.413200E+000,7.144700E-001,9.445500E-001
17,03/14/07 00:44,8.814300E-001,5.010500E+000,2.060000E-001,1.151900E+000
17,03/16/07 00:42,1.289600E+000,3.459100E+000,7.161300E-002,1.777100E+000
17,03/18/07 00:52,1.082200E+000,3.060500E+000,4.894200E-001,1.064800E+000
17,03/20/07 00:53,1.014800E+000,4.252900E+000,4.699800E-001,1.035200E+000
17,03/22/07 00:46,3.756000E-001,3.949500E+000,6.195600E-001,9.170500E-001
17,03/24/07 00:30,6.931100E-001,2.915500E+000,4.870400E-001,1.223500E+000
17,03/26/07 01:08,2.019600E+000,1.203900E+000,-2.000000E-001,1.963600E+000
17,03/28/07 01:29,4.497500E-001,8.611200E-001,8.428000E-001,1.140000E+000
17,03/30/07 00:38,8.832200E-001,1.163800E+000,8.661700E-001,1.199300E+000
17,04/01/07 00:30,1.352000E+000,1.911700E+000,2.741800E-001,1.262600E+000
17,04/03/07 00:34,3.294000E-001,2.905200E-001,7.170600E-001,1.188900E+000
17,04/05/07 00:24,6.184300E-001,1.040400E+000,3.042700E-001,1.308800E+000
17,04/07/07 00:28,1.054200E-001,9.346200E-001,7.248200E-001,1.333900E+000
17,04/09/07 00:46,2.886200E-003,8.283700E-001,1.045800E+000,1.370700E-001
17,04/11/07 00:50,5.392800E-001,5.993900E-001,6.638500E-001,7.709600E-001
17,04/13/07 00:45,9.591300E-001,1.142500E+000,7.493400E-001,9.281000E-001
17,04/15/07 01:15,8.558000E-001,1.622600E+000,5.453500E-001,9.596700E-001
17,04/17/07 01:10,1.498000E+000,1.714400E+000,3.412100E-001,1.024400E+000
17,04/19/07 01:21,8.433700E-001,2.148100E+000,4.910700E-001,1.134300E+000
17,04/21/07 01:15,7.199100E-001,9.203100E-001,6.299500E-001,8.064600E-001
17,04/23/07 01:00,3.575100E-001,1.178900E+000,6.432800E-001,1.209600E+000
