
Factor Profiles (conc. of species) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
19,mass,1.136400E+001,5.202800E+000,1.348700E+001,3.492900E+000
19,Na,0.000000E+000,1.632200E-001,0.000000E+000,1.301900E-001
19,Mg,1.532700E-001,2.140400E-002,0.000000E+000,2.222100E-002
19,Al,1.003300E+000,7.012400E-002,1.755700E-001,2.544100E-002
19,Si,2.135000E+000,1.444700E-001,3.398900E-001,5.191700E-002
19,P,4.867000E-003,0.000000E+000,3.374800E-003,7.157400E-003
19,S,7.201000E-002,9.271500E-002,1.649500E-001,2.906600E-001
19,Cl,8.630800E-002,3.936300E-001,0.000000E+000,0.000000E+000
19,K,1.821300E-001,1.311100E-001,4.102200E-001,1.915100E-001
19,Ca,3.200700E-001,5.694500E-002,8.739300E-002,1.901700E-002
19,Ti,6.248700E-002,5.406700E-003,1.215700E-002,1.072800E-003
19,V,8.530900E-004,3.141000E-004,7.803000E-004,2.025100E-004
19,Mn,8.265500E-003,1.226400E-003,3.504700E-003,2.147700E-004
19,Fe,5.308100E-001,5.046800E-002,1.384100E-001,7.652200E-003
19,Zn,1.639700E-003,6.435400E-003,1.509700E-002,2.198200E-003
19,Br,8.840700E-004,4.234300E-003,4.780800E-003,7.260400E-003
19,Pb,5.588200E-004,4.286400E-003,9.284000E-003,2.366300E-004
19,BC,0.000000E+000,6.646900E-001,2.244200E+000,0.000000E+000

Factor Profiles (% of species sum) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
19,mass,3.387516E+001,1.550913E+001,4.020366E+001,1.041205E+001
19,Na,0.000000E+000,5.562864E+001,0.000000E+000,4.437136E+001
19,Mg,7.784352E+001,1.087077E+001,0.000000E+000,1.128571E+001
19,Al,7.872508E+001,5.502360E+000,1.377630E+001,1.996257E+000
19,Si,7.992432E+001,5.408275E+000,1.272388E+001,1.943527E+000
19,P,3.160554E+001,0.000000E+000,2.191542E+001,4.647904E+001
19,S,1.160824E+001,1.494596E+001,2.659047E+001,4.685533E+001
19,Cl,1.798316E+001,8.201685E+001,0.000000E+000,0.000000E+000
19,K,1.990557E+001,1.432943E+001,4.483426E+001,2.093074E+001
19,Ca,6.620882E+001,1.177949E+001,1.807788E+001,3.933806E+000
19,Ti,7.702700E+001,6.664776E+000,1.498579E+001,1.322428E+000
19,V,3.967860E+001,1.460930E+001,3.629302E+001,9.419070E+000
19,Mn,6.256353E+001,9.282913E+000,2.652791E+001,1.625645E+000
19,Fe,7.297961E+001,6.938706E+000,1.902961E+001,1.052080E+000
19,Zn,6.463069E+000,2.536588E+001,5.950659E+001,8.664462E+000
19,Br,5.152052E+000,2.467603E+001,2.786084E+001,4.231108E+001
19,Pb,3.889920E+000,2.983743E+001,6.462548E+001,1.647170E+000
19,BC,0.000000E+000,2.285030E+001,7.714970E+001,0.000000E+000

Factor Profiles (% of total variable) from Base Run #19 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
19,mass,*,*,*,*
19,Na,0.000000E+000,3.137157E+000,0.000000E+000,3.727275E+000
19,Mg,1.348733E+000,4.113939E-001,0.000000E+000,6.361762E-001
19,Al,8.828757E+000,1.347813E+000,1.301772E+000,7.283633E-001
19,Si,1.878740E+001,2.776774E+000,2.520130E+000,1.486358E+000
19,P,4.282823E-002,0.000000E+000,2.502261E-002,2.049128E-001
19,S,6.336677E-001,1.782021E+000,1.223030E+000,8.321452E+000
19,Cl,7.594861E-001,7.565734E+000,0.000000E+000,0.000000E+000
19,K,1.602693E+000,2.519989E+000,3.041596E+000,5.482837E+000
19,Ca,2.816526E+000,1.094507E+000,6.479796E-001,5.444473E-001
19,Ti,5.498680E-001,1.039190E-001,9.013865E-002,3.071373E-002
19,V,7.506952E-003,6.037134E-003,5.785571E-003,5.797761E-003
19,Mn,7.273407E-002,2.357192E-002,2.598576E-002,6.148759E-003
19,Fe,4.670979E+000,9.700161E-001,1.026248E+000,2.190787E-001
19,Zn,1.442890E-002,1.236911E-001,1.119374E-001,6.293338E-002
19,Br,7.779567E-003,8.138502E-002,3.544747E-002,2.078617E-001
19,Pb,4.917459E-003,8.238640E-002,6.883666E-002,6.774600E-003
19,BC,0.000000E+000,1.277562E+001,1.663973E+001,0.000000E+000
