
Factor Contributions (avg = 1) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
2,11/12/06 04:19,1.674500E+000,1.272300E+000,6.845700E-001,5.507800E-001
2,11/16/06 04:08,1.776400E+000,9.351500E-001,1.120500E+000,6.662000E-001
2,11/18/06 04:01,1.983800E+000,4.494900E-001,1.250600E+000,8.209400E-001
2,11/20/06 03:11,1.792400E+000,1.379900E+000,1.052600E+000,4.798900E-001
2,11/22/06 03:22,1.003700E+000,8.909400E-001,7.502900E-001,5.663500E-001
2,11/26/06 03:04,7.070200E-001,1.175900E+000,8.178500E-001,4.406900E-001
2,11/28/06 03:01,1.073900E+000,1.418200E+000,9.559700E-001,2.094900E-001
2,11/30/06 03:08,6.273700E-001,2.042800E+000,1.277500E+000,5.534800E-002
2,12/02/06 05:11,6.693200E-001,1.356200E+000,9.290500E-001,4.137900E-001
2,12/04/06 05:21,1.117400E+000,1.628000E+000,1.492800E+000,2.040600E-001
2,12/06/06 03:32,1.929600E+000,8.513800E-001,1.601300E-001,4.531900E-001
2,12/08/06 03:28,1.245400E+000,9.133700E-001,5.260500E-001,1.966900E-001
2,12/10/06 03:20,3.570900E+000,1.180000E+000,1.667800E+000,3.661600E-001
2,12/12/06 03:18,1.056400E+000,8.108700E-001,1.015100E+000,7.279400E-001
2,12/14/06 03:19,1.394300E+000,9.099300E-001,1.687100E+000,5.375000E-001
2,12/16/06 03:09,1.247900E+000,1.434400E+000,2.034400E+000,2.329700E-001
2,12/18/06 03:10,8.521600E-001,1.198100E+000,9.121600E-001,5.737800E-001
2,12/20/06 03:26,1.401500E+000,8.724900E-001,1.127300E+000,2.085300E-001
2,12/22/06 03:29,7.709400E-001,1.116500E+000,4.199300E-001,3.043400E-001
2,12/24/06 04:27,5.869800E-001,1.557800E+000,-1.315000E-001,6.281400E-001
2,12/26/06 03:20,3.665200E-001,9.418600E-001,-2.000000E-001,5.040100E-001
2,12/28/06 03:22,5.431400E-001,1.291800E+000,-6.521000E-002,7.128000E-001
2,01/01/07 03:20,4.483700E+000,2.620200E+000,3.912600E-001,2.921600E-001
2,01/03/07 03:07,9.327200E+000,3.119100E+000,1.146000E+000,-2.000000E-001
2,01/05/07 02:54,4.388900E-003,1.361000E-002,7.039900E-003,-1.184700E-003
2,01/07/07 03:09,8.322900E+000,5.515800E-001,1.803600E+000,3.088600E-001
2,01/09/07 03:02,6.007800E+000,1.907300E+000,2.028300E+000,1.144300E-001
2,01/11/07 02:55,4.803600E+000,3.064900E+000,1.579100E+000,4.520400E-001
2,01/13/07 03:27,5.137300E+000,3.205300E+000,1.105600E+000,1.596800E-001
2,01/15/07 03:19,4.987500E+000,1.890100E+000,6.901600E-001,-9.420600E-002
2,01/17/07 03:14,4.670800E+000,3.984200E+000,6.364100E-001,-2.000000E-001
2,01/19/07 03:40,7.386400E+000,3.700600E+000,1.305400E+000,-2.000000E-001
2,01/21/07 03:30,5.340100E+000,3.829600E+000,1.116600E-001,-5.187800E-002
2,01/23/07 07:32,4.123400E+000,1.065000E+000,1.017300E+000,6.554400E-001
2,01/25/07 05:42,2.454200E+000,8.152900E-001,6.157100E-001,1.264700E+000
2,01/27/07 03:15,2.102700E+000,7.902700E-001,8.051000E-001,1.162900E+000
2,01/29/07 03:26,1.946600E+000,8.206300E-001,8.759000E-001,1.045800E+000
2,01/31/07 03:30,9.173000E-001,8.467400E-001,3.171200E-001,8.518300E-001
2,02/02/07 03:13,1.192800E+000,9.692700E-001,1.183600E+000,7.671300E-001
2,02/04/07 03:16,1.022700E+000,1.246300E+000,6.892600E-001,8.339000E-001
2,02/06/07 03:20,4.219300E-001,8.092000E-001,5.495400E-001,1.029300E+000
2,02/08/07 03:14,6.238200E-001,1.211200E-001,6.462800E-001,1.421500E+000
2,02/12/07 03:09,3.014800E-001,1.224800E+000,1.268900E+000,7.270600E-001
2,02/14/07 03:01,4.860500E-001,1.503400E+000,8.340000E-001,4.511500E-001
2,02/16/07 02:51,1.293100E+000,1.122100E+000,8.964200E-001,7.512500E-001
2,02/18/07 02:34,1.211200E+000,2.361200E+000,1.523100E+000,1.040200E+000
2,02/20/07 02:37,5.981700E-001,8.515000E-001,9.044100E-001,1.386700E+000
2,02/22/07 02:35,6.134800E-001,4.760800E-001,1.140500E+000,1.639900E+000
2,02/24/07 02:38,1.748400E+000,8.698900E-001,1.736300E+000,1.173600E+000
2,02/26/07 00:46,1.856700E+000,8.226900E-001,1.875100E+000,1.013200E+000
2,02/28/07 00:39,2.027700E+000,7.608200E-001,1.938300E+000,1.150100E+000
2,03/02/07 00:30,2.213500E+000,7.966600E-001,1.653400E+000,7.844500E-001
2,03/04/07 00:54,2.872600E+000,1.115900E+000,1.635700E+000,5.229800E-001
2,03/06/07 01:01,4.158400E+000,1.502400E+000,2.189400E+000,8.594700E-001
2,03/08/07 00:42,1.916000E+000,1.503500E+000,1.080700E+000,1.124000E+000
2,03/10/07 00:43,1.835100E+000,1.692700E+000,1.515600E+000,1.176000E+000
2,03/12/07 00:44,1.360800E+000,1.006000E+000,8.135100E-001,1.125200E+000
2,03/14/07 00:44,1.360400E+000,6.480400E-001,9.394200E-001,1.216900E+000
2,03/16/07 00:42,5.369100E-001,1.086900E+000,9.670100E-001,4.153300E-001
2,03/18/07 00:52,4.476700E-001,7.544000E-001,8.532300E-001,9.719900E-001
2,03/20/07 00:53,1.398100E+000,8.828400E-001,1.749700E+000,1.310300E+000
2,03/22/07 00:46,1.303200E+000,9.282100E-001,1.504100E+000,8.271100E-001
2,03/24/07 00:30,6.645800E-001,7.741500E-001,7.717600E-001,1.108700E+000
2,03/28/07 01:29,2.676100E-001,9.114000E-001,5.208700E-001,7.166500E-001
2,03/30/07 00:38,3.606300E-001,1.272700E+000,1.246100E+000,1.192400E+000
2,04/01/07 00:30,2.566300E-001,1.049700E+000,5.421500E-001,7.873600E-001
2,04/03/07 00:34,1.556900E-001,7.149600E-001,9.848600E-001,1.006500E+000
2,04/05/07 00:24,3.498000E-001,7.732200E-001,9.927900E-001,6.763400E-001
2,04/07/07 00:28,2.302500E-001,5.926500E-001,6.416100E-001,5.113500E-001
2,04/09/07 00:46,2.013900E-001,5.000200E-001,7.495300E-001,5.675300E-001
2,04/11/07 00:50,2.534500E-001,5.200500E-001,7.209400E-001,7.842600E-001
2,04/13/07 00:45,4.630600E-001,4.209200E-001,8.339600E-001,1.240500E+000
2,04/15/07 01:15,4.042400E-001,8.586600E-001,9.270100E-001,1.101600E+000
2,04/17/07 01:10,2.566200E-001,1.318300E+000,1.254100E+000,1.363700E+000
2,04/19/07 01:21,4.111100E-001,1.071000E+000,4.772700E-001,8.763900E-001
2,04/21/07 01:15,2.882000E-001,1.254300E+000,1.046300E+000,7.729800E-001
2,04/23/07 01:00,4.891200E-001,1.325900E+000,8.062700E-001,6.740700E-001
2,04/25/07 01:11,1.767500E-001,1.249500E+000,8.702900E-001,1.068600E+000
2,04/27/07 01:17,9.718100E-003,1.337900E+000,8.853400E-001,5.006400E-001
2,04/29/07 01:20,2.930200E-001,1.537300E+000,9.984000E-001,8.569400E-001
2,05/01/07 01:31,4.440000E-001,1.753900E+000,8.051100E-001,4.666400E-001
2,05/03/07 01:39,2.855200E-001,1.559500E+000,1.049300E+000,4.356100E-001
2,05/05/07 01:33,4.510400E-001,1.079500E+000,4.816700E-001,7.723300E-001
2,05/09/07 01:25,5.808900E-001,1.644000E+000,8.959700E-001,7.980100E-001
2,05/11/07 01:32,1.163500E-001,1.101600E+000,4.700800E-001,4.665800E-001
2,05/13/07 01:55,3.034900E-001,6.292400E-001,9.507000E-001,9.185100E-001
2,05/15/07 01:51,6.242500E-001,5.123600E-001,1.106100E+000,1.153800E+000
2,05/17/07 01:54,1.538800E-001,8.784000E-001,1.025800E+000,1.064600E+000
2,05/19/07 01:20,4.930300E-001,9.599000E-001,1.164500E+000,8.416200E-001
2,05/23/07 01:57,-4.050900E-002,1.722100E-001,4.558500E-001,2.304200E+000
2,05/25/07 02:08,1.750500E-001,6.453700E-001,4.971700E-001,2.006100E+000
2,05/27/07 01:23,9.860200E-001,2.257300E-001,6.154700E-001,7.810000E-001
2,05/29/07 01:05,1.813200E-001,1.104200E+000,2.108100E+000,8.906000E-001
2,05/31/07 01:09,2.873200E-001,3.644700E-001,5.780100E-001,8.599900E-001
2,06/02/07 00:39,-1.454300E-003,3.684600E-001,4.768000E-001,8.890100E-001
2,06/04/07 01:06,-2.577900E-002,-1.116800E-001,5.217700E-001,1.201800E+000
2,06/06/07 01:35,-9.331900E-002,5.421100E-001,1.031500E+000,1.317300E+000
2,06/08/07 01:20,1.318500E-001,4.851800E-001,6.103100E-001,7.895200E-001
2,06/10/07 01:07,-7.032500E-002,4.140000E-001,6.804800E-001,1.693100E+000
2,06/12/07 01:33,-8.341500E-002,6.055500E-001,5.932700E-001,1.293900E+000
2,06/14/07 01:54,-3.295200E-002,3.923100E-001,3.511300E-001,8.068100E-001
2,06/16/07 01:45,-6.275300E-002,6.324400E-002,1.050200E+000,2.430700E+000
2,06/18/07 01:52,-1.440400E-001,6.623700E-002,1.233900E+000,2.593000E+000
2,06/20/07 01:53,-4.451400E-002,1.666000E-001,8.311000E-001,2.013000E+000
2,06/24/07 02:16,-4.558000E-002,3.321800E-001,5.938900E-001,1.521300E+000
2,06/26/07 02:06,6.156700E-003,3.870500E-001,1.362300E+000,1.707000E+000
2,06/28/07 02:38,-7.996900E-002,5.891200E-001,8.662700E-001,1.159700E+000
2,06/30/07 02:14,-2.000000E-001,-1.523000E-001,1.405200E-001,2.743300E+000
2,07/02/07 01:01,-1.257800E-001,4.027900E-001,1.266800E+000,2.272300E+000
2,07/04/07 01:09,7.800500E-002,3.284500E-001,9.895100E-001,1.444500E+000
2,07/12/07 01:09,2.286700E-001,5.432600E-001,7.269700E-001,9.641000E-001
2,07/16/07 01:19,5.851200E-002,3.482100E-002,2.703100E-001,2.368400E+000
2,07/20/07 02:38,2.169500E-002,2.462000E-001,1.044200E+000,1.190800E+000
2,07/24/07 01:19,-4.096600E-002,2.524500E-001,1.002100E+000,2.086900E+000
2,07/30/07 01:08,-1.394300E-001,-2.000000E-001,9.263300E-001,3.039000E+000
2,08/01/07 01:12,-1.474000E-001,4.825800E-001,7.237000E-001,1.335300E+000
2,08/03/07 01:19,-7.088000E-002,7.368900E-001,1.144800E+000,2.408600E+000
2,08/05/07 01:18,-1.522800E-001,4.054800E-001,7.982500E-001,2.541100E+000
2,08/07/07 01:31,3.018500E-002,7.838800E-001,1.153600E+000,1.347000E+000
2,08/09/07 01:41,1.003000E-001,7.173000E-001,8.733900E-001,1.209800E+000
