
Factor Profiles (conc. of species) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
2,mass,2.370500E+001,1.095000E+001,2.664900E+000,7.241500E+000
2,Na,0.000000E+000,0.000000E+000,0.000000E+000,4.713000E-001
2,Mg,2.247100E-001,0.000000E+000,3.359000E-002,7.773600E-002
2,Al,1.446000E+000,6.640500E-001,1.122900E-003,2.253700E-001
2,Si,3.606600E+000,1.520300E+000,1.474500E-002,5.736600E-001
2,P,9.887700E-004,1.473500E-002,1.976500E-003,8.226200E-004
2,S,0.000000E+000,0.000000E+000,1.696800E-001,1.528800E-002
2,Cl,3.315200E-002,2.033500E-001,2.491800E-001,1.003900E+000
2,K,2.090400E-001,6.192700E-002,2.055300E-001,0.000000E+000
2,Ca,8.012200E-001,5.615800E-001,1.571900E-002,2.495100E-001
2,Ti,1.157600E-001,5.762000E-002,0.000000E+000,2.013300E-002
2,V,1.961700E-003,7.636200E-004,8.894800E-005,3.113500E-004
2,Mn,1.759000E-002,5.665000E-003,8.114200E-004,2.552200E-003
2,Fe,1.034200E+000,6.083600E-001,1.709100E-002,2.046100E-001
2,Zn,3.190100E-005,1.200100E-002,3.992100E-003,1.367100E-003
2,Br,7.731600E-005,1.719500E-004,3.664000E-003,5.874400E-004
2,Pb,1.205000E-003,2.228900E-003,1.949500E-003,1.921800E-004

Factor Profiles (% of species sum) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
2,mass,5.319626E+001,2.457284E+001,5.980288E+000,1.625061E+001
2,Na,0.000000E+000,0.000000E+000,0.000000E+000,1.000000E+002
2,Mg,6.687081E+001,0.000000E+000,9.995953E+000,2.313324E+001
2,Al,6.188630E+001,2.842019E+001,4.805818E-002,9.645447E+000
2,Si,6.310424E+001,2.660051E+001,2.579915E-001,1.003726E+001
2,P,5.338098E+000,7.955022E+001,1.067058E+001,4.441100E+000
2,S,0.000000E+000,0.000000E+000,9.173479E+001,8.265213E+000
2,Cl,2.225591E+000,1.365148E+001,1.672818E+001,6.739474E+001
2,K,4.387016E+001,1.299630E+001,4.313353E+001,0.000000E+000
2,Ca,4.921411E+001,3.449447E+001,9.655234E-001,1.532589E+001
2,Ti,5.982027E+001,2.977578E+001,0.000000E+000,1.040395E+001
2,V,6.276199E+001,2.443101E+001,2.845773E+000,9.961230E+000
2,Mn,6.608157E+001,2.128209E+001,3.048317E+000,9.588025E+000
2,Fe,5.547506E+001,3.263277E+001,9.167708E-001,1.097539E+001
2,Zn,1.834223E-001,6.900259E+001,2.295352E+001,7.860465E+000
2,Br,1.717864E+000,3.820512E+000,8.140945E+001,1.305217E+001
2,Pb,2.161210E+001,3.997611E+001,3.496497E+001,3.446816E+000

Factor Profiles (% of total variable) from Base Run #2 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
2,mass,*,*,*,*
2,Na,0.000000E+000,0.000000E+000,0.000000E+000,6.508320E+000
2,Mg,9.479434E-001,0.000000E+000,1.260460E+000,1.073479E+000
2,Al,6.099979E+000,6.064384E+000,4.213667E-002,3.112200E+000
2,Si,1.521451E+001,1.388402E+001,5.533041E-001,7.921839E+000
2,P,4.171145E-003,1.345662E-001,7.416788E-002,1.135980E-002
2,S,0.000000E+000,0.000000E+000,6.367218E+000,2.111165E-001
2,Cl,1.398523E-001,1.857078E+000,9.350445E+000,1.386315E+001
2,K,8.818393E-001,5.655434E-001,7.712484E+000,0.000000E+000
2,Ca,3.379962E+000,5.128584E+000,5.898533E-001,3.445557E+000
2,Ti,4.883358E-001,5.262101E-001,0.000000E+000,2.780225E-001
2,V,8.275470E-003,6.973699E-003,3.337761E-003,4.299524E-003
2,Mn,7.420375E-002,5.173516E-002,3.044842E-002,3.524408E-002
2,Fe,4.362792E+000,5.555799E+000,6.413374E-001,2.825520E+000
2,Zn,1.345750E-004,1.095982E-001,1.498030E-001,1.887869E-002
2,Br,3.261590E-004,1.570320E-003,1.374911E-001,8.112132E-003
2,Pb,5.083316E-003,2.035525E-002,7.315472E-002,2.653870E-003
