
Residuals from Base Run #2 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
2,11/12/06 04:19,-5.472000E+000,7.659000E-003,5.806000E-002,-2.635000E-001,3.420000E-001,-1.987000E-002,1.445000E-002,-1.330000E-002,-3.098000E-002,2.866000E-001,-1.472000E-002,1.168000E-004,2.692000E-003,-1.627000E-001,5.074000E-003,-1.027000E-003,-2.462000E-003
2,11/16/06 04:08,3.857000E+000,-5.197000E-002,8.952000E-004,-1.647000E-002,5.465000E-001,9.100000E-003,2.876000E-002,1.033000E-002,-2.229000E-002,2.162000E-001,-1.756000E-002,-4.937000E-004,-9.752000E-004,-4.740000E-002,-2.155000E-003,-1.142000E-003,-1.985000E-003
2,11/18/06 04:01,-4.907000E+000,-1.134000E-001,-8.930000E-002,3.142000E-001,8.342000E-001,2.316000E-002,2.311000E-002,5.708000E-002,8.283000E-003,8.846000E-002,-1.794000E-002,-1.900000E-003,-9.881000E-004,-1.230000E-002,-5.298000E-003,-9.410000E-004,-3.813000E-004
2,11/20/06 03:11,1.816000E+000,-1.382000E-001,1.186000E-001,-9.449000E-002,3.906000E-001,-1.055000E-002,-6.177000E-003,3.071000E-002,1.946000E-002,-3.550000E-002,-1.810000E-002,-5.043000E-005,3.604000E-003,-1.924000E-001,3.547000E-003,-9.465000E-004,-6.712000E-004
2,11/22/06 03:22,5.218000E+000,-8.563000E-002,9.295000E-002,-9.857000E-002,1.216000E-001,4.349000E-004,9.544000E-003,4.947000E-003,-4.106000E-002,2.185000E-001,-1.690000E-002,5.710000E-004,-3.847000E-004,-6.227000E-002,-9.308000E-004,5.438000E-004,-2.502000E-004
2,11/26/06 03:04,-1.868000E+000,-1.069000E-001,1.801000E-002,4.290000E-002,3.721000E-002,1.020000E-002,5.311000E-003,3.179000E-002,-6.416000E-003,4.751000E-002,-5.661000E-003,-2.719000E-004,1.306000E-004,-4.340000E-002,-2.882000E-003,-3.395000E-004,-1.222000E-003
2,11/28/06 03:01,1.996000E+000,-5.816000E-002,-3.504000E-003,4.342000E-002,1.424000E-001,7.159000E-003,-1.246000E-002,1.722000E-002,7.753000E-003,-5.501000E-002,-2.836000E-003,-1.116000E-004,-8.140000E-004,6.419000E-002,-2.683000E-003,1.968000E-003,7.638000E-004
2,11/30/06 03:08,-6.238000E+000,1.448000E-002,-4.243000E-002,1.725000E-003,-1.871000E-001,-1.882000E-002,-6.178000E-003,5.249000E-003,3.936000E-002,-1.155000E-001,-1.592000E-003,8.870000E-004,2.526000E-003,3.294000E-002,2.614000E-002,-1.603000E-003,8.833000E-004
2,12/02/06 05:11,2.229000E+000,2.537000E-002,2.009000E-003,7.441000E-002,-2.392000E-001,9.517000E-003,1.661000E-002,-3.033000E-003,2.366000E-002,-1.659000E-002,6.127000E-003,-6.121000E-004,-4.991000E-004,4.952000E-002,-2.374000E-003,-1.249000E-003,-1.479000E-003
2,12/04/06 05:21,-1.474000E+000,-5.560000E-002,-7.863000E-002,3.618000E-002,8.231000E-002,-1.231000E-003,-2.292000E-002,1.972000E-002,2.768000E-002,-3.436000E-002,-4.895000E-003,3.407000E-004,-1.370000E-003,2.230000E-001,-2.458000E-003,8.515000E-004,2.685000E-003
