
Factor Contributions (avg = 1) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
4,11/12/06 04:19,6.637500E-001,9.577100E-003,-3.936200E-002,9.149300E-001
4,11/16/06 04:08,5.792600E-001,9.055200E-003,-2.581600E-002,1.141800E+000
4,11/18/06 04:01,5.440000E-001,1.046400E-002,-7.737000E-002,1.239900E+000
4,11/20/06 03:11,6.889300E-001,1.844600E-003,4.932500E-002,1.047200E+000
4,11/22/06 03:22,3.224700E-001,4.505500E-003,6.569100E-002,8.833900E-001
4,11/26/06 03:04,2.480100E-001,2.517400E-003,3.881100E-002,8.961800E-001
4,11/28/06 03:01,2.767900E-001,1.281100E+000,8.831800E-002,6.491800E-001
4,12/04/06 05:21,2.788600E-001,1.306300E+000,1.335900E-001,8.283600E-001
4,12/06/06 03:32,7.394900E-001,1.557400E-003,2.673200E-002,6.898500E-001
4,12/08/06 03:28,3.455500E-001,1.274900E+000,3.812900E-002,3.618700E-001
4,12/10/06 03:20,1.336600E+000,6.513600E-003,1.145900E-001,1.094700E+000
4,12/12/06 03:18,2.859800E-001,9.938500E-003,1.150400E-001,1.055500E+000
4,12/14/06 03:19,3.967000E-001,6.642700E-003,2.072900E-001,1.155900E+000
4,12/16/06 03:09,4.185000E-001,-4.770000E-003,3.192500E-001,1.153900E+000
4,12/18/06 03:10,2.478600E-001,-6.607700E-005,4.392300E-002,1.101300E+000
4,12/20/06 03:26,5.136700E-001,1.417200E-003,2.457400E-001,6.822800E-001
4,12/22/06 03:29,3.438100E-001,9.600600E-003,2.923400E-002,6.027100E-001
4,01/01/07 03:20,1.672800E+000,2.191500E+000,1.178700E-001,7.147200E-001
4,01/03/07 03:07,3.767000E+000,5.586000E+000,3.798400E-001,6.890500E-002
4,01/05/07 02:54,-6.143700E-002,-1.426200E-001,4.475000E+001,7.190200E-001
4,01/07/07 03:09,2.815500E+000,3.418400E+000,3.587900E-001,7.488400E-001
4,01/09/07 03:02,2.487900E+000,2.795700E-001,3.091800E-002,1.101100E+000
4,01/11/07 02:55,1.663200E+000,2.835500E+000,-1.427800E-002,1.315600E+000
4,01/13/07 03:27,1.805500E+000,4.948000E+000,4.103300E-001,5.120500E-001
4,01/15/07 03:19,1.970300E+000,2.552200E+000,-1.503100E-002,2.160800E-001
4,01/17/07 03:14,1.714400E+000,5.660200E+000,2.814100E-001,9.678600E-002
4,01/19/07 03:40,2.886900E+000,4.138300E+000,5.181200E-001,4.417000E-001
4,01/21/07 03:30,1.906500E+000,6.557100E+000,-1.999900E-001,-3.718300E-002
4,01/23/07 07:32,1.554700E+000,4.775100E-003,1.107700E-002,1.095600E+000
4,01/25/07 05:42,7.751300E-001,1.018200E-002,-1.139200E-001,1.317600E+000
4,01/27/07 03:15,6.458500E-001,1.478900E-002,-1.253200E-001,1.316400E+000
4,01/29/07 03:26,5.777200E-001,9.588900E-003,3.111000E-003,1.278600E+000
4,01/31/07 03:30,2.517600E-001,6.282000E-003,-2.722000E-002,9.644200E-001
4,02/02/07 03:13,3.076700E-001,7.924000E-003,4.927700E-002,1.252700E+000
4,02/04/07 03:16,3.047000E-001,7.187300E-003,1.464200E-002,1.185400E+000
