**** Analysis Summary ****

Time of run: ,05/07/16 23:56
Concentration file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\RGeH.csv
Uncertainty file: ,C:\Users\thiago\Documents\EPA PMF\Data\pmf_fa\RGeHunc8.csv
Configuration file: ,


**** Input Data Statistics ****

Species,Category,S/N,Min,25th,Median,75th,Max,% Modeled Samples,% Raw Samples
mass,Weak,      5.3, 33.14000, 46.04500, 64.34000,169.15000,437.88000, 100.00 %, 100.00 %
Na,Strong,      1.5,  0.02439,  0.21629,  0.33933, 40.56603, 40.56603, 100.00 %, 100.00 %
Mg,Strong,      3.9,  0.18883,  0.36533,  0.58208,  0.91173,  8.97818, 100.00 %, 100.00 %
Al,Strong,      8.4,  1.88016,  2.78685,  3.66798,  6.31955, 10.48102, 100.00 %, 100.00 %
Si,Strong,      8.6,  1.86090,  6.58626,  8.77414, 18.26755, 29.53665, 100.00 %, 100.00 %
P,Strong,      2.9,  0.00233,  0.01395,  0.02740,  0.04639,  1.14626, 100.00 %, 100.00 %
S,Strong,      4.5,  0.01721,  0.14817,  0.20004,  0.28463,  1.04718, 100.00 %, 100.00 %
Cl,Strong,      9.7,  0.55880,  0.93070,  1.20516,  1.49039,  2.31427, 100.00 %, 100.00 %
K,Strong,      8.0,  0.28126,  0.52528,  0.70788,  1.25170,  3.15296, 100.00 %, 100.00 %
Ca,Strong,      9.8,  0.43346,  1.67271,  2.34862,  4.93841, 11.59203, 100.00 %, 100.00 %
Ti,Strong,      8.7,  0.13713,  0.21963,  0.29181,  0.69573,  1.56528, 100.00 %, 100.00 %
V,Strong,      3.3,  0.00212,  0.00340,  0.00490,  0.01266,  0.41081, 100.00 %, 100.00 %
Mn,Strong,      8.8,  0.02059,  0.02988,  0.03997,  0.11932,  0.41763, 100.00 %, 100.00 %
Fe,Strong,      8.9,  0.41929,  2.09559,  2.61722,  6.71399, 15.58105, 100.00 %, 100.00 %
Zn,Strong,      5.3,  0.00627,  0.01546,  0.02072,  0.03290,  0.38408, 100.00 %, 100.00 %
Br,Strong,      2.1,  0.00058,  0.00351,  0.00455,  0.00717,  0.48683, 100.00 %, 100.00 %
Pb,Strong,      1.4,  0.00274,  0.00539,  0.00763,  0.01125,  1.08373, 100.00 %, 100.00 %

Excluded Samples


**** Base Run Summary ****

Number of base runs:  ,20
Base user-selected seed:  123
Number of factors:  ,4
Extra modeling uncertainty (%):,0

Base run summary table:

Run #,Q(Robust),Q(True)     ,Converged,# Steps,Q(true)/Qexp
1,1110.8      ,2149        ,Yes      ,483,4.132692
2,1110.76     ,2149.01     ,Yes      ,512,4.132711
3,1110.78     ,2149.01     ,Yes      ,512,4.132711
4,1103.24     ,1718.12     ,Yes      ,1898,3.304077
5,1103.24     ,1718.12     ,Yes      ,283,3.304077
6,1226.98     ,2073.22     ,Yes      ,821,3.986962
7,1103.24     ,1718.11     ,Yes      ,430,3.304058
8,1103.24     ,1718.12     ,Yes      ,275,3.304077
9,1225.59     ,2294.82     ,Yes      ,1232,4.413116
10,1103.25     ,1718.12     ,Yes      ,389,3.304077
11,1103.24     ,1718.12     ,Yes      ,440,3.304077
12,1103.24     ,1718.12     ,Yes      ,614,3.304077
13,1103.24     ,1718.11     ,Yes      ,348,3.304058
14,1103.24     ,1718.12     ,Yes      ,317,3.304077
15,1103.24     ,1718.11     ,Yes      ,414,3.304058
16,1103.24     ,1718.12     ,Yes      ,452,3.304077
17,1103.24     ,1718.12     ,Yes      ,302,3.304077
18,1110.78     ,2149.01     ,Yes      ,506,4.132711
19,1103.24     ,1718.12     ,Yes      ,595,3.304077
20,1103.24     ,1718.12     ,Yes      ,349,3.304077

Scaled residual analysis:

Sum of the squares of the differences in scaled residuals for each base run pair by species (d)
Run #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,
2,0.00018,
3,0.00070,0.00069,
4,961.22781,961.19815,961.23004,
5,961.22960,961.19996,961.23177,0.00028,
6,2648.09147,2648.04170,2648.12815,1752.69190,1752.66434,
7,961.28074,961.25110,961.28295,0.00016,0.00031,1752.70480,
8,961.27565,961.24599,961.27785,0.00014,0.00015,1752.70543,0.00023,
9,1230.20030,1230.17375,1230.01350,931.30018,930.76809,2298.95711,931.13938,931.13322,
10,961.24636,961.21669,961.24858,0.00016,0.00024,1752.73688,0.00031,0.00010,931.24387,
11,961.34437,961.31473,961.34657,0.00022,0.00031,1752.69721,0.00006,0.00027,931.05510,0.00037,
12,961.29653,961.26690,961.29874,0.00020,0.00030,1752.70112,0.00007,0.00027,931.09752,0.00036,0.00006,
13,961.27347,961.24380,961.27572,0.00011,0.00041,1752.69056,0.00016,0.00023,931.43984,0.00025,0.00025,0.00023,
14,961.22225,961.19261,961.22451,0.00034,0.00022,1752.63632,0.00045,0.00021,931.04663,0.00026,0.00044,0.00042,0.00052,
15,961.27414,961.24449,961.27636,0.00017,0.00028,1752.68429,0.00006,0.00021,931.04164,0.00030,0.00008,0.00010,0.00018,0.00046,
16,961.33777,961.30813,961.34002,0.00018,0.00032,1752.67000,0.00005,0.00025,931.19675,0.00033,0.00006,0.00007,0.00018,0.00042,0.00009,
17,961.27082,961.24118,961.27304,0.00015,0.00026,1752.66152,0.00007,0.00020,931.04336,0.00028,0.00009,0.00010,0.00019,0.00040,0.00004,0.00008,
18,0.00039,0.00060,0.00085,961.29185,961.29367,2648.13839,961.34480,961.33970,1230.22893,961.31040,961.40843,961.36060,961.33751,961.28630,961.33822,961.40184,961.33489,
19,961.27179,961.24211,961.27402,0.00009,0.00026,1752.72946,0.00016,0.00013,931.27588,0.00016,0.00023,0.00020,0.00011,0.00035,0.00018,0.00018,0.00017,961.33583,
20,961.26180,961.23214,961.26400,0.00008,0.00020,1752.67137,0.00012,0.00011,931.10643,0.00017,0.00015,0.00014,0.00016,0.00030,0.00010,0.00014,0.00009,961.32584,0.00010,

Sum of d across all species for each base run pair (D)
Run #            Run #,mass        ,Na          ,Mg          ,Al          ,Si          ,P           ,S           ,Cl          ,K           ,Ca          ,Ti          ,V           ,Mn          ,Fe          ,Zn          ,Br          ,Pb          ,
2                    1,0.00000,0.00004,0.00001,0.00001,0.00001,0.00001,0.00002,0.00002,0.00002,0.00001,0.00001,0.00001,0.00001,0.00000,0.00001,0.00001,0.00000,
3                    1,0.00000,0.00033,0.00002,0.00001,0.00001,0.00002,0.00003,0.00003,0.00002,0.00001,0.00001,0.00007,0.00001,0.00001,0.00003,0.00004,0.00005,
3                    2,0.00000,0.00038,0.00001,0.00001,0.00000,0.00003,0.00001,0.00002,0.00002,0.00001,0.00001,0.00006,0.00000,0.00001,0.00001,0.00005,0.00005,
4                    1,1.14720,627.96472,19.95181,8.42510,7.55299,30.31134,85.10678,43.42950,52.59972,9.17184,0.85567,5.98166,18.12028,8.30239,35.07021,4.66277,2.57385,
4                    2,1.14806,627.96370,19.95697,8.42501,7.55442,30.31499,85.09445,43.42017,52.57751,9.17407,0.85508,5.98488,18.11680,8.30282,35.07427,4.66192,2.57306,
4                    3,1.14806,627.95971,19.95899,8.42194,7.55403,30.28134,85.09597,43.43421,52.59934,9.17719,0.85582,5.98575,18.11751,8.30717,35.09036,4.66827,2.57439,
5                    1,1.14702,628.01062,19.94437,8.41946,7.54356,30.31716,85.10905,43.41821,52.59994,9.17208,0.85418,5.98103,18.12538,8.29881,35.05894,4.65853,2.57127,
5                    2,1.14788,628.00960,19.94953,8.41936,7.54499,30.32082,85.09673,43.40888,52.57774,9.17431,0.85358,5.98424,18.12190,8.29924,35.06301,4.65767,2.57048,
5                    3,1.14788,628.00557,19.95155,8.41630,7.54460,30.28716,85.09825,43.42292,52.59956,9.17743,0.85432,5.98511,18.12261,8.30359,35.07911,4.66402,2.57180,
5                    4,0.00000,0.00012,0.00002,0.00001,0.00002,0.00001,0.00002,0.00001,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,
6                    1,3.52368,628.29732,140.94683,12.53817,10.42461,668.42442,186.60978,40.75128,48.44196,24.68250,11.59949,168.58459,135.88397,7.53756,202.23844,191.77035,165.83655,
6                    2,3.52441,628.29595,140.94999,12.53788,10.42817,668.40470,186.60122,40.74348,48.41914,24.68502,11.59919,168.58014,135.87951,7.53804,202.24869,191.76696,165.83921,
6                    3,3.52441,628.29480,140.95149,12.53526,10.42775,668.43688,186.60501,40.76199,48.43647,24.69011,11.59916,168.57797,135.88054,7.53988,202.24545,191.77016,165.85083,
6                    4,2.22471,0.96383,123.24115,7.09809,3.95965,678.15859,105.53910,2.26752,3.30614,11.84958,11.60060,161.22610,112.18450,2.53067,172.37237,191.41536,162.75394,
6                    5,2.22470,0.97001,123.23911,7.09509,3.95705,678.16864,105.52870,2.26563,3.30276,11.84856,11.59263,161.23991,112.18387,2.53201,172.36644,191.40825,162.74100,
7                    1,1.14720,627.98749,19.95962,8.42797,7.55673,30.30651,85.11544,43.43054,52.59640,9.17202,0.85721,5.98301,18.12675,8.30373,35.07580,4.66153,2.57281,
7                    2,1.14806,627.98648,19.96478,8.42788,7.55816,30.31016,85.10312,43.42122,52.57419,9.17425,0.85662,5.98623,18.12327,8.30416,35.07986,4.66067,2.57202,
7                    3,1.14806,627.98247,19.96679,8.42481,7.55777,30.27650,85.10464,43.43525,52.59602,9.17737,0.85736,5.98710,18.12398,8.30852,35.09595,4.66703,2.57335,
7                    4,0.00000,0.00003,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00002,0.00001,0.00001,
7                    5,0.00000,0.00008,0.00002,0.00001,0.00002,0.00001,0.00002,0.00001,0.00000,0.00001,0.00001,0.00001,0.00001,0.00001,0.00003,0.00002,0.00001,
7                    6,2.22471,0.96732,123.24083,7.09808,3.96018,678.16227,105.55256,2.26399,3.30341,11.85667,11.59517,161.22402,112.18467,2.53253,172.36457,191.41786,162.75596,
8                    1,1.14702,628.03643,19.95293,8.41987,7.54625,30.31179,85.11686,43.41609,52.59683,9.17188,0.85493,5.98185,18.12262,8.30227,35.06924,4.65501,2.57379,
8                    2,1.14788,628.03542,19.95808,8.41977,7.54768,30.31544,85.10453,43.40676,52.57462,9.17411,0.85433,5.98507,18.11914,8.30270,35.07330,4.65415,2.57300,
