
Factor Profiles (conc. of species) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
4,mass,6.490900E+001,1.538000E+001,8.069300E+000,1.944900E+001
4,Na,2.729900E-004,3.073200E+001,6.545300E-001,2.588900E-011
4,Mg,4.514500E-001,3.207500E-003,1.914800E-001,1.964100E-001
4,Al,2.828000E+000,3.761800E-001,5.962400E-002,1.512700E+000
4,Si,7.952300E+000,1.006500E+000,7.343700E-004,3.392000E+000
4,P,4.342100E-003,8.297800E-003,2.647000E-002,1.349500E-002
4,S,4.695400E-002,2.893400E-004,2.143500E-002,1.471000E-001
4,Cl,5.762800E-010,1.334700E-001,4.395500E-015,1.091800E+000
4,K,5.396300E-001,1.115400E-001,7.537000E-003,2.853000E-001
4,Ca,2.188600E+000,4.169100E-001,6.822600E-004,8.158000E-001
4,Ti,2.911400E-001,5.933500E-002,8.591200E-003,9.015800E-002
4,V,4.115900E-003,8.926200E-004,8.601900E-003,1.531500E-003
4,Mn,4.690300E-002,8.935000E-003,8.900400E-003,1.050300E-002
4,Fe,2.722000E+000,6.489800E-001,3.418600E-003,8.379400E-001
4,Zn,7.678300E-003,5.839200E-003,8.969100E-003,1.092500E-002
4,Br,9.244000E-004,4.826900E-005,1.145400E-002,3.388900E-003
4,Pb,2.016300E-003,1.931900E-003,2.258500E-002,3.670500E-003

Factor Profiles (% of species sum) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
4,mass,6.020835E+001,1.426620E+001,7.484929E+000,1.804052E+001
4,Na,8.697605E-004,9.791376E+001,2.085367E+000,8.248371E-011
4,Mg,5.358155E+001,3.806907E-001,2.272631E+001,2.331145E+001
4,Al,5.920648E+001,7.875635E+000,1.248277E+000,3.166961E+001
4,Si,6.438309E+001,8.148786E+000,5.945577E-003,2.746218E+001
4,P,8.254174E+000,1.577382E+001,5.031851E+001,2.565350E+001
4,S,2.176029E+001,1.340913E-001,9.933805E+000,6.817181E+001
4,Cl,4.703290E-008,1.089311E+001,3.587373E-013,8.910689E+001
4,K,5.716377E+001,1.181559E+001,7.984051E-001,3.022223E+001
4,Ca,6.395689E+001,1.218325E+001,1.993751E-002,2.383991E+001
4,Ti,6.480951E+001,1.320833E+001,1.912453E+000,2.006971E+001
4,V,2.718215E+001,5.895025E+000,5.680852E+001,1.011431E+001
4,Mn,6.233669E+001,1.187511E+001,1.182913E+001,1.395907E+001
4,Fe,6.461969E+001,1.540664E+001,8.115682E-002,1.989251E+001
4,Zn,2.298094E+001,1.747656E+001,2.684427E+001,3.269822E+001
4,Br,5.844873E+000,3.051993E-001,7.242231E+001,2.142762E+001
4,Pb,6.675672E+000,6.396236E+000,7.477560E+001,1.215248E+001

Factor Profiles (% of total variable) from Base Run #4 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
4,mass,*,*,*,*
4,Na,4.205734E-004,1.998179E+002,8.111361E+000,1.331122E-010
4,Mg,6.955122E-001,2.085501E-002,2.372944E+000,1.009872E+000
4,Al,4.356869E+000,2.445904E+000,7.388993E-001,7.777778E+000
4,Si,1.225146E+001,6.544213E+000,9.100789E-003,1.744049E+001
4,P,6.689519E-003,5.395189E-002,3.280334E-001,6.938660E-002
4,S,7.233819E-002,1.881274E-003,2.656364E-001,7.563371E-001
4,Cl,8.878276E-010,8.678153E-001,5.447189E-014,5.613656E+000
4,K,8.313639E-001,7.252276E-001,9.340339E-002,1.466913E+000
4,Ca,3.371797E+000,2.710728E+000,8.455008E-003,4.194560E+000
4,Ti,4.485357E-001,3.857932E-001,1.064677E-001,4.635611E-001
4,V,6.341031E-003,5.803771E-003,1.066003E-001,7.874440E-003
4,Mn,7.225963E-002,5.809493E-002,1.102995E-001,5.400278E-002
4,Fe,4.193563E+000,4.219636E+000,4.236551E-002,4.308396E+000
4,Zn,1.182933E-002,3.796619E-002,1.111509E-001,5.617255E-002
4,Br,1.424148E-003,3.138426E-004,1.419454E-001,1.742455E-002
4,Pb,3.106349E-003,1.256112E-002,2.798880E-001,1.887244E-002
