
Residuals from Base Run #4 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
4,11/12/06 04:19,-6.738000E+000,-1.496000E-003,2.832000E-002,-1.346000E-001,2.507000E-001,-1.193000E-002,-2.587000E-002,2.426000E-002,-8.141000E-002,2.879000E-001,-1.242000E-002,8.026000E-004,8.406000E-004,-1.118000E-001,9.088000E-003,-1.111000E-003,5.342000E-006
4,11/16/06 04:08,4.279000E+000,4.564000E-004,8.634000E-003,-4.264000E-002,2.852000E-001,1.008000E-002,3.446000E-002,-4.051000E-002,-1.908000E-003,1.454000E-001,-1.652000E-002,9.325000E-005,-8.338000E-004,-2.510000E-002,-2.236000E-003,-4.571000E-004,-2.420000E-004
4,11/18/06 04:01,-2.643000E+000,2.364000E-003,-1.203000E-002,2.544000E-001,6.197000E-001,1.776000E-002,4.160000E-002,-5.061000E-003,5.998000E-002,-5.159000E-002,-1.598000E-002,-7.801000E-004,1.620000E-003,-2.399000E-002,-1.081000E-002,5.351000E-004,1.686000E-003
4,11/20/06 03:11,1.855000E-001,-1.220000E-003,6.788000E-002,-1.296000E-002,2.115000E-001,-4.421000E-003,-7.690000E-003,-2.886000E-002,2.483000E-002,-5.110000E-002,-1.695000E-002,-1.027000E-004,1.262000E-003,-1.370000E-001,7.839000E-003,-1.183000E-003,3.579000E-004
4,11/22/06 03:22,6.157000E+000,-2.591000E-004,5.605000E-002,-1.809000E-001,-1.331000E-001,1.406000E-003,-9.792000E-004,9.842000E-003,-4.890000E-002,2.478000E-001,-1.232000E-002,2.142000E-004,-6.559000E-004,2.540000E-002,8.205000E-004,-1.881000E-004,-8.684000E-004
4,11/26/06 03:04,-7.411000E-001,-2.104000E-003,-5.681000E-002,-1.139000E-001,-3.747000E-001,1.599000E-002,6.520000E-003,-3.821000E-002,-7.791000E-003,1.222000E-001,-6.694000E-004,-5.064000E-004,-3.961000E-004,7.958000E-002,3.062000E-003,-5.382000E-004,-7.415000E-004
4,11/28/06 03:01,-3.960000E+000,1.134000E+000,1.273000E-002,3.344000E-001,6.135000E-001,8.249000E-003,4.219000E-002,-9.002000E-002,3.841000E-002,-3.999000E-004,-8.467000E-003,-8.084000E-004,-4.612000E-003,-3.224000E-002,9.837000E-004,2.392000E-003,-2.877000E-004
4,12/04/06 05:21,-7.083000E+000,3.303000E-001,-7.988000E-002,2.397000E-001,3.845000E-001,2.156000E-004,9.532000E-002,-1.140000E-001,1.353000E-001,1.880000E-002,-1.214000E-002,-7.592000E-004,-5.400000E-003,1.350000E-001,3.338000E-003,2.149000E-003,1.466000E-003
4,12/06/06 03:32,1.281000E+001,6.752000E-004,-5.905000E-003,-1.567000E-001,1.449000E-001,1.133000E+000,9.104000E-001,-1.638000E-002,-9.157000E-002,2.135000E-001,-3.747000E-003,-1.269000E-003,-3.546000E-003,2.438000E-001,-2.106000E-003,3.614000E-004,3.942000E-003
4,12/08/06 03:28,-4.053000E-001,1.359000E+000,4.490000E-002,2.615000E-001,7.252000E-001,-7.985000E-003,2.609000E-003,-6.457000E-003,-1.106000E-002,3.841000E-002,-1.472000E-002,-4.818000E-004,-1.486000E-003,-1.623000E-001,-7.765000E-004,9.225000E-004,2.031000E-003
