**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 4

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 64.90900, 28.75900, 33.03275, 50.58900, 63.46050, 74.08100, 50.08400, 14.95900,  0.29868,  0.23046
Na,  0.00027,  0.00000,  0.00007,  1.11344, 28.11700, 30.62200, 10.36885, 13.79380,  1.33031,50528.59223
Mg,  0.45145,  0.10926,  0.12979,  0.32545,  0.35601,  0.51699,  0.28468,  0.13339,  0.46857,  0.29548
Al,  2.82800,  0.97976,  1.17843,  2.12895,  2.39725,  3.25080,  1.98163,  0.71627,  0.36146,  0.25328
Si,  7.95230,  2.76890,  3.25330,  6.07655,  6.91233,  9.06570,  5.60211,  2.03142,  0.36262,  0.25545
P,  0.00434,  0.00180,  0.00406,  0.00732,  0.00824,  0.00904,  0.00603,  0.00253,  0.41943,  0.58204
S,  0.04695,  0.00000,  0.00600,  0.01613,  0.03788,  0.06709,  0.02255,  0.02029,  0.89968,  0.43215
Cl,  0.00000,  0.00000,  0.00001,  0.08170,  0.15144,  0.17811,  0.07968,  0.06935,  0.87033,120333842.65811
K,  0.53963,  0.21980,  0.26126,  0.40973,  0.47816,  0.62008,  0.39705,  0.12375,  0.31168,  0.22933
Ca,  2.18860,  0.88339,  1.02070,  1.70910,  2.02665,  2.49490,  1.62940,  0.52352,  0.32130,  0.23920
Ti,  0.29114,  0.12017,  0.13917,  0.22732,  0.26838,  0.33196,  0.21784,  0.06783,  0.31137,  0.23297
V,  0.00412,  0.00174,  0.00196,  0.00277,  0.00400,  0.00479,  0.00302,  0.00105,  0.34941,  0.25626
Mn,  0.04690,  0.01920,  0.02201,  0.03642,  0.04385,  0.05357,  0.03496,  0.01126,  0.32208,  0.24008
Fe,  2.72200,  1.21750,  1.38980,  2.13030,  2.57305,  3.10270,  2.08423,  0.60518,  0.29036,  0.22233
Zn,  0.00768,  0.00514,  0.00660,  0.00749,  0.00964,  0.01051,  0.00784,  0.00171,  0.21762,  0.22234
Br,  0.00092,  0.00000,  0.00000,  0.00006,  0.00079,  0.00151,  0.00036,  0.00050,  1.39861,  0.54307
Pb,  0.00202,  0.00003,  0.00170,  0.00206,  0.00250,  0.00490,  0.00200,  0.00122,  0.61094,  0.60547

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 15.38000, 11.38800, 17.37900, 22.04300, 53.12375, 60.41200, 31.34330, 18.43936,  0.58830,  1.19892
Na, 30.73200,  0.00000,  0.00208,  0.77043, 28.95700, 30.73200, 11.85129, 14.49468,  1.22305,  0.47165
Mg,  0.00321,  0.00058,  0.03795,  0.10065,  0.37825,  0.43646,  0.18039,  0.16686,  0.92502, 52.02268
Al,  0.37618,  0.34796,  0.57531,  1.26430,  2.40008,  2.85780,  1.42270,  0.87237,  0.61318,  2.31903
Si,  1.00650,  0.92868,  1.57223,  2.59705,  6.62108,  7.72670,  3.69570,  2.46127,  0.66598,  2.44538
P,  0.00830,  0.00166,  0.00728,  0.00814,  0.01346,  0.01787,  0.00938,  0.00441,  0.47030,  0.53164
S,  0.00029,  0.00025,  0.00434,  0.04428,  0.11956,  0.15479,  0.05643,  0.05580,  0.98883,192.84426
Cl,  0.13347,  0.00000,  0.10849,  0.13139,  0.15136,  0.63727,  0.15514,  0.14264,  0.91944,  1.06869
K,  0.11154,  0.10426,  0.14795,  0.35968,  0.46186,  0.54565,  0.31518,  0.15633,  0.49600,  1.40153
Ca,  0.41691,  0.38853,  0.52373,  0.75582,  1.80818,  2.08960,  1.05362,  0.63392,  0.60166,  1.52052
Ti,  0.05934,  0.05531,  0.07181,  0.11045,  0.23810,  0.27346,  0.14458,  0.08116,  0.56133,  1.36775
V,  0.00089,  0.00054,  0.00089,  0.00131,  0.00375,  0.00461,  0.00206,  0.00145,  0.70424,  1.62286
Mn,  0.00894,  0.00828,  0.01062,  0.01455,  0.03788,  0.04423,  0.02163,  0.01383,  0.63957,  1.54832
Fe,  0.64898,  0.60717,  0.75737,  1.15295,  2.22605,  2.55640,  1.41926,  0.71801,  0.50590,  1.10636
Zn,  0.00584,  0.00484,  0.00597,  0.00747,  0.00881,  0.01044,  0.00761,  0.00178,  0.23412,  0.30492
Br,  0.00005,  0.00000,  0.00000,  0.00121,  0.00183,  0.00493,  0.00108,  0.00121,  1.11706, 24.97107
Pb,  0.00193,  0.00000,  0.00056,  0.00188,  0.00316,  0.00596,  0.00212,  0.00165,  0.77636,  0.85309

Factor 3,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass,  8.06930,  6.78600,  8.82283,  9.10490,  9.71640, 10.85400,  9.20532,  0.97319,  0.10572,  0.12060
Na,  0.65453,  0.00000,  0.03303,  0.69599,  0.75868, 35.71300,  2.26762,  7.87951,  3.47479, 12.03843
Mg,  0.19148,  0.05699,  0.19994,  0.20862,  0.23063,  0.24608,  0.20610,  0.03991,  0.19366,  0.20844
Al,  0.05962,  0.05652,  0.08281,  0.09149,  0.10450,  0.30394,  0.10223,  0.05102,  0.49907,  0.85573
Si,  0.00073,  0.00000,  0.02498,  0.06277,  0.10127,  0.77576,  0.09794,  0.16423,  1.67696,223.64052
P,  0.02647,  0.02533,  0.02682,  0.02840,  0.03275,  0.13352,  0.03417,  0.02354,  0.68897,  0.88937
