
Factor Contributions (avg = 1) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
14,11/12/06 04:19,1.160400E+000,7.564800E-001,3.193300E+000,6.281600E-003
14,11/16/06 04:08,6.064600E-001,1.151700E+000,3.339300E+000,2.667300E-001
14,11/18/06 04:01,-1.753300E-001,1.209900E+000,3.697300E+000,4.816800E-001
14,11/20/06 03:11,1.205900E+000,1.126000E+000,3.432000E+000,-2.106100E-002
14,11/22/06 03:22,9.265900E-001,7.693200E-001,1.923400E+000,2.650100E-001
14,11/26/06 03:04,1.428200E+000,8.538300E-001,1.416800E+000,1.797300E-001
14,11/28/06 03:01,1.548500E+000,1.040400E+000,2.090200E+000,-1.234600E-001
14,11/30/06 03:08,2.474300E+000,1.535100E+000,1.329300E+000,-1.999900E-001
14,02/02/07 03:13,8.765200E-001,1.202000E+000,2.311100E+000,4.964800E-001
14,02/04/07 03:16,1.419700E+000,6.616100E-001,2.087300E+000,4.505100E-001
14,02/06/07 03:20,1.101600E+000,5.086800E-001,9.171000E-001,7.920100E-001
14,02/08/07 03:14,9.047300E-002,5.199700E-001,1.210600E+000,1.261700E+000
14,02/12/07 03:09,1.599400E+000,1.373300E+000,6.650400E-001,6.200400E-001
14,02/14/07 03:01,1.901200E+000,9.471500E-001,1.065600E+000,1.977900E-001
14,02/16/07 02:51,1.131200E+000,8.826800E-001,2.518500E+000,3.746600E-001
14,02/18/07 02:34,2.825900E+000,1.617700E+000,2.538500E+000,5.719100E-001
14,02/20/07 02:37,1.100400E+000,8.483000E-001,1.252600E+000,1.135400E+000
14,02/22/07 02:35,5.217700E-001,1.073100E+000,1.241500E+000,1.483200E+000
14,02/24/07 02:38,4.396600E-001,1.791300E+000,3.318400E+000,8.917800E-001
14,02/26/07 00:46,2.907000E-001,1.942500E+000,3.495100E+000,7.617200E-001
14,02/28/07 00:39,1.527100E-001,1.961300E+000,3.819400E+000,8.655600E-001
14,03/02/07 00:30,1.472200E-001,1.675200E+000,4.130200E+000,4.414700E-001
14,03/04/07 00:54,2.574500E-001,1.708000E+000,5.367800E+000,-2.842600E-002
14,03/06/07 01:01,2.636400E-001,2.252200E+000,7.757200E+000,7.154100E-002
14,03/08/07 00:42,1.445500E+000,1.040600E+000,3.743200E+000,5.861800E-001
14,03/10/07 00:43,1.641300E+000,1.544200E+000,3.612300E+000,7.100500E-001
14,03/12/07 00:44,9.887200E-001,7.369500E-001,2.681900E+000,7.200600E-001
14,03/14/07 00:44,4.194400E-001,8.869300E-001,2.636000E+000,8.871000E-001
14,03/16/07 00:42,1.334900E+000,1.022000E+000,1.082100E+000,2.424900E-001
14,03/18/07 00:52,9.411200E-001,8.375800E-001,9.441400E-001,8.058600E-001
14,03/20/07 00:53,6.815300E-001,1.750700E+000,2.672600E+000,1.076600E+000
14,03/22/07 00:46,7.054800E-001,1.539100E+000,2.518800E+000,6.055400E-001
14,03/24/07 00:30,8.780500E-001,7.387600E-001,1.376300E+000,8.774700E-001
14,03/28/07 01:29,1.238600E+000,5.169700E-001,6.376400E-001,5.262300E-001
14,03/30/07 00:38,1.688700E+000,1.267400E+000,8.475600E-001,1.004800E+000
14,04/01/07 00:30,1.479200E+000,5.325200E-001,6.322500E-001,5.593900E-001
14,04/03/07 00:34,9.757700E-001,1.006700E+000,3.844700E-001,9.428400E-001
14,04/05/07 00:24,8.742400E-001,1.030300E+000,7.590700E-001,6.018200E-001
14,04/07/07 00:28,7.634200E-001,6.621300E-001,4.896100E-001,4.299400E-001
14,04/09/07 00:46,6.199700E-001,7.734400E-001,4.237900E-001,5.330600E-001
14,04/11/07 00:50,6.383500E-001,7.206400E-001,5.548200E-001,7.072000E-001
14,04/13/07 00:45,4.427600E-001,7.859900E-001,9.629400E-001,1.122600E+000
14,04/15/07 01:15,1.084100E+000,9.142200E-001,8.962600E-001,9.354200E-001
14,04/17/07 01:10,1.798700E+000,1.273600E+000,6.844900E-001,1.163800E+000
14,04/19/07 01:21,1.285200E+000,4.255300E-001,1.026700E+000,6.093200E-001
14,04/21/07 01:15,1.658300E+000,1.102000E+000,6.897500E-001,6.114100E-001
