
Factor Profiles (conc. of species) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
14,mass,6.872400E+000,3.895400E+000,1.426800E+001,5.770900E+000
14,Na,2.433800E-002,1.987800E-013,1.547700E-003,5.353100E-001
14,Mg,1.872300E-003,1.024200E-002,1.443900E-001,7.997600E-002
14,Al,3.640500E-001,8.544300E-002,9.764600E-001,1.256700E-001
14,Si,8.571500E-001,2.217000E-001,2.280200E+000,3.267000E-001
14,P,1.043400E-002,1.457400E-003,3.344700E-003,1.773200E-005
14,S,0.000000E+000,1.479700E-001,7.250100E-003,3.465300E-002
14,Cl,2.698900E-001,4.271500E-002,2.269300E-001,1.053900E+000
14,K,2.821900E-002,1.934800E-001,1.229600E-001,1.069800E-002
14,Ca,3.644600E-001,7.788900E-002,5.090200E-001,1.745600E-001
14,Ti,3.385800E-002,7.919800E-003,7.092700E-002,1.126300E-002
14,V,4.830100E-004,1.375400E-004,1.116100E-003,2.183800E-004
14,Mn,3.233100E-003,1.830600E-003,9.771500E-003,1.460400E-003
14,Fe,3.723500E-001,9.228300E-002,6.360900E-001,1.190000E-001
14,Zn,7.556400E-003,5.299400E-003,1.743000E-003,6.687500E-004
14,Br,1.354900E-004,3.201600E-003,8.576700E-005,1.053100E-003
14,Pb,1.331300E-003,2.157400E-003,7.918800E-004,1.704800E-004

Factor Profiles (% of species sum) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
14,mass,2.230813E+001,1.264465E+001,4.631460E+001,1.873261E+001
14,Na,4.336812E+000,3.542080E-011,2.757862E-001,9.538741E+001
14,Mg,7.917361E-001,4.331016E+000,6.105794E+001,3.381931E+001
14,Al,2.346253E+001,5.506686E+000,6.293152E+001,8.099261E+000
14,Si,2.325578E+001,6.015058E+000,6.186529E+001,8.863868E+000
14,P,6.840248E+001,9.554320E+000,2.192695E+001,1.162462E-001
14,S,0.000000E+000,7.793100E+001,3.818392E+000,1.825061E+001
14,Cl,1.693762E+001,2.680687E+000,1.424156E+001,6.614013E+001
14,K,7.941028E+000,5.444666E+001,3.460182E+001,3.010494E+000
14,Ca,3.236971E+001,6.917754E+000,4.520889E+001,1.550364E+001
14,Ti,2.731193E+001,6.388595E+000,5.721405E+001,9.085423E+000
14,V,2.470601E+001,7.035186E+000,5.708864E+001,1.117016E+001
14,Mn,1.984032E+001,1.123371E+001,5.996404E+001,8.961928E+000
14,Fe,3.052742E+001,7.565898E+000,5.215036E+001,9.756313E+000
14,Zn,4.949321E+001,3.471022E+001,1.141637E+001,4.380205E+000
14,Br,3.027062E+000,7.152884E+001,1.916171E+000,2.352793E+001
14,Pb,2.990973E+001,4.846935E+001,1.779082E+001,3.830099E+000

Factor Profiles (% of total variable) from Base Run #14 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
14,mass,*,*,*,*
14,Na,3.541412E-001,5.102942E-012,1.084735E-002,9.276023E+000
14,Mg,2.724376E-002,2.629255E-001,1.011985E+000,1.385850E+000
14,Al,5.297276E+000,2.193433E+000,6.843706E+000,2.177650E+000
14,Si,1.247235E+001,5.691328E+000,1.598122E+001,5.661162E+000
14,P,1.518247E-001,3.741336E-002,2.344197E-002,3.072658E-004
14,S,0.000000E+000,3.798583E+000,5.081371E-002,6.004782E-001
14,Cl,3.927158E+000,1.096550E+000,1.590482E+000,1.826232E+001
14,K,4.106135E-001,4.966884E+000,8.617886E-001,1.853784E-001
14,Ca,5.303242E+000,1.999512E+000,3.567564E+000,3.024832E+000
14,Ti,4.926663E-001,2.033116E-001,4.971054E-001,1.951689E-001
14,V,7.028258E-003,3.530831E-003,7.822400E-003,3.784158E-003
14,Mn,4.704470E-002,4.699389E-002,6.848542E-002,2.530628E-002
14,Fe,5.418049E+000,2.369025E+000,4.458158E+000,2.062070E+000
14,Zn,1.099529E-001,1.360425E-001,1.221615E-002,1.158831E-002
14,Br,1.971509E-003,8.218925E-002,6.011144E-004,1.824845E-002
14,Pb,1.937169E-002,5.538327E-002,5.550042E-003,2.954132E-003
