
Factor Contributions (avg = 1) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
7,11/12/06 04:19,3.960800E-001,2.093800E-001,1.858300E+000,7.559700E-001
7,11/14/06 03:18,4.001100E-001,1.863200E-002,1.112300E+000,3.275300E-001
7,11/16/06 04:08,2.925000E-001,5.267800E-001,1.766700E+000,6.248700E-001
7,11/18/06 04:01,2.687500E-001,6.785700E-001,1.847500E+000,5.479400E-001
7,11/20/06 03:11,7.650000E-001,-3.843200E-002,1.787700E+000,8.032200E-001
7,11/22/06 03:22,1.133900E+000,6.013000E-001,1.306100E+000,3.002500E-001
7,11/24/06 03:10,2.339500E-001,8.264800E-001,1.443900E+000,5.223100E-001
7,11/26/06 03:04,7.301900E-001,8.480500E-001,8.982300E-001,2.122100E-001
7,11/28/06 03:01,1.354400E+000,1.357100E+000,1.530100E-001,5.617800E-002
7,12/04/06 05:21,6.778900E-001,2.330600E+000,3.187000E-001,2.436500E-001
7,12/06/06 03:32,7.698500E-002,1.884700E+000,-6.634000E-002,1.069500E+000
7,12/08/06 03:28,5.883400E-001,1.897800E+000,-1.480400E-002,5.716300E-001
7,12/10/06 03:20,1.387600E-001,2.115000E+000,5.726000E-001,6.437900E-001
7,12/12/06 03:18,6.361400E-001,1.628000E+000,1.369600E+000,3.313900E-001
7,12/14/06 03:19,1.707600E+000,1.428800E+000,8.975600E-001,7.377800E-002
7,12/16/06 03:09,9.068400E-001,1.939600E+000,6.185700E-001,1.945500E-001
7,12/18/06 03:10,1.958700E-001,1.764500E+000,1.021900E+000,2.943300E-001
7,12/20/06 03:26,3.939100E-001,2.122500E+000,7.723600E-001,2.924800E-001
7,12/22/06 03:29,-1.284700E-002,1.797900E+000,8.801400E-001,2.593400E-001
7,12/30/06 03:26,-1.998700E-001,2.854900E+000,1.084700E+000,3.072900E-001
7,01/01/07 03:20,2.430600E+000,2.700200E+000,2.849500E-001,1.297100E+000
7,01/03/07 03:07,1.592300E+000,-2.000000E-001,-2.000000E-001,4.981900E+000
7,01/05/07 02:54,4.018100E-001,4.754600E-002,2.237000E-001,1.056600E+000
7,01/07/07 03:09,7.203600E-001,2.030000E+000,1.818500E-001,3.031100E+000
7,01/09/07 03:02,6.584000E-001,9.042900E-001,8.827800E-001,3.306100E+000
7,01/11/07 02:55,1.825300E+000,2.140900E+000,3.473800E-001,2.521200E+000
7,01/13/07 03:27,1.530200E+000,-7.681700E-002,1.023100E+000,2.979100E+000
7,01/15/07 03:19,1.298600E+000,2.927400E-001,1.233700E-001,3.690800E+000
7,01/17/07 03:14,5.866900E-001,2.043500E+000,-1.989400E-001,2.946400E+000
7,01/19/07 03:40,1.270100E+000,8.566700E-001,-9.896200E-002,3.469200E+000
7,01/21/07 03:30,2.200500E+000,7.127900E-001,1.792300E-001,2.966400E+000
7,01/23/07 07:32,1.124400E+000,-2.000000E-001,1.970100E+000,1.876000E+000
7,01/25/07 05:42,2.580900E+000,-3.262000E-002,2.112700E+000,4.293800E-001
7,01/27/07 03:15,5.161000E-001,2.231000E-001,2.269100E+000,6.753000E-001
7,01/29/07 03:26,5.515400E-001,6.998300E-001,1.935300E+000,5.253800E-001
7,01/31/07 03:30,5.663400E-001,1.028800E+000,1.373800E+000,1.365000E-001
7,02/02/07 03:13,3.177000E-001,1.146200E+000,1.500700E+000,2.084400E-001
7,02/04/07 03:16,1.145300E-001,1.221600E+000,1.651600E+000,3.011300E-001
7,02/16/07 02:51,2.586600E-001,9.695000E-001,1.375500E+000,3.272300E-001
7,02/18/07 02:34,3.368100E-001,9.206000E-001,1.579200E+000,2.818600E-001
7,02/24/07 02:38,6.769700E-001,7.677000E-001,1.862600E+000,2.054100E-001
7,02/26/07 00:46,6.737500E-001,2.901300E-001,1.956200E+000,2.316400E-001
7,02/28/07 00:39,5.831300E-001,1.841500E-002,2.444900E+000,2.982900E-001
7,11/14/07 04:52,1.341800E+000,4.164800E-001,1.502900E+000,-1.382000E-001
7,12/08/07 04:07,6.999300E-001,7.480300E-001,1.221000E+000,1.755900E-001
7,12/26/07 03:31,6.567600E-001,9.613400E-001,8.730700E-001,1.399200E+000
7,01/01/08 03:23,1.449200E+000,1.491200E+000,1.138100E+000,9.109500E-002
7,01/07/08 03:04,1.613600E+000,1.172600E+000,6.422000E-001,9.841900E-001
7,01/13/08 03:21,2.865400E+000,1.539100E+000,1.854200E-001,-1.999900E-001
7,01/19/08 02:55,3.276700E+000,9.472700E-001,5.511600E-001,1.438800E+000
7,01/31/08 03:32,4.081500E-001,1.382500E+000,-3.269900E-002,3.265200E+000
7,02/06/08 03:36,2.222300E+000,2.873600E-001,1.171800E+000,3.867300E-001
7,02/18/08 02:24,2.207500E+000,-1.333500E-001,2.170400E+000,2.905000E-001
7,02/24/08 01:52,3.814400E+000,-9.322300E-002,2.110000E-001,1.471000E-001

Factor Contributions (conc. units) from Base Run #7 (Convergent Run)
(Total Variable = mass)

,,,,Factor 1,Factor 2,Factor 3,Factor 4
7,11/12/06 04:19,1.606382E+001,4.471938E+000,2.935557E+001,1.250601E+002
7,11/14/06 03:18,1.622726E+001,3.979423E-001,1.757100E+001,5.418329E+001
7,11/16/06 04:08,1.186292E+001,1.125097E+001,2.790856E+001,1.033722E+002
7,11/18/06 04:01,1.089969E+001,1.449290E+001,2.918496E+001,9.064571E+001
7,11/20/06 03:11,3.102611E+001,-8.208307E-001,2.824030E+001,1.328767E+002
7,11/22/06 03:22,4.598758E+001,1.284257E+001,2.063246E+001,4.967036E+001
7,11/24/06 03:10,9.488310E+000,1.765196E+001,2.280929E+001,8.640574E+001
7,11/26/06 03:04,2.961432E+001,1.811265E+001,1.418934E+001,3.510590E+001
7,11/28/06 03:01,5.493040E+001,2.898494E+001,2.417099E+000,9.293527E+000
7,12/04/06 05:21,2.749318E+001,4.977695E+001,5.034504E+000,4.030702E+001
7,12/06/06 03:32,3.122281E+000,4.025342E+001,-1.047973E+000,1.769274E+002
7,12/08/06 03:28,2.386131E+001,4.053321E+001,-2.338588E-001,9.456475E+001
7,12/10/06 03:20,5.627689E+000,4.517217E+001,9.045362E+000,1.065022E+002
7,12/12/06 03:18,2.579993E+001,3.477082E+001,2.163557E+001,5.482185E+001
7,12/14/06 03:19,6.925513E+001,3.051631E+001,1.417876E+001,1.220509E+001
7,12/16/06 03:09,3.677871E+001,4.142598E+001,9.771550E+000,3.218441E+001
7,12/18/06 03:10,7.943900E+000,3.768619E+001,1.614295E+001,4.869101E+001
7,12/20/06 03:26,1.597581E+001,4.533236E+001,1.220097E+001,4.838497E+001
7,12/22/06 03:29,-5.210358E-001,3.839955E+001,1.390357E+001,4.290262E+001
7,12/30/06 03:26,-8.106128E+000,6.097495E+001,1.713501E+001,5.083498E+001
7,01/01/07 03:20,9.857784E+001,5.767087E+001,4.501355E+000,2.145793E+002
7,01/03/07 03:07,6.457891E+001,-4.271600E+000,-3.159400E+000,8.241557E+002
7,01/05/07 02:54,1.629621E+001,1.015487E+000,3.533789E+000,1.747933E+002
7,01/07/07 03:09,2.921564E+001,4.335674E+001,2.872684E+000,5.014349E+002
7,01/09/07 03:02,2.670273E+001,1.931383E+001,1.394528E+001,5.469281E+002
7,01/11/07 02:55,7.402869E+001,4.572534E+001,5.487562E+000,4.170821E+002
7,01/13/07 03:27,6.206032E+001,-1.640657E+000,1.616191E+001,4.928325E+002
7,01/15/07 03:19,5.266732E+001,6.252341E+000,1.948876E+000,6.105690E+002
7,01/17/07 03:14,2.379439E+001,4.364507E+001,-3.142655E+000,4.874230E+002
7,01/19/07 03:40,5.151145E+001,1.829676E+001,-1.563303E+000,5.739098E+002
7,01/21/07 03:30,8.924568E+001,1.522377E+001,2.831296E+000,4.907316E+002
7,01/23/07 07:32,4.560229E+001,-4.271600E+000,3.112167E+001,3.103467E+002
7,01/25/07 05:42,1.046736E+002,-6.966980E-001,3.337432E+001,7.103233E+001
7,01/27/07 03:15,2.093147E+001,4.764970E+000,3.584497E+001,1.117149E+002
7,01/29/07 03:26,2.236881E+001,1.494697E+001,3.057193E+001,8.691361E+001
7,01/31/07 03:30,2.296905E+001,2.197311E+001,2.170192E+001,2.258120E+001
7,02/02/07 03:13,1.288496E+001,2.448054E+001,2.370656E+001,3.448223E+001
7,02/04/07 03:16,4.644993E+000,2.609093E+001,2.609033E+001,4.981594E+001
7,02/16/07 02:51,1.049047E+001,2.070658E+001,2.172877E+001,5.413366E+001
7,02/18/07 02:34,1.366000E+001,1.966217E+001,2.494662E+001,4.662810E+001
7,02/24/07 02:38,2.745587E+001,1.639654E+001,2.942349E+001,3.398098E+001
7,02/26/07 00:46,2.732528E+001,6.196597E+000,3.090209E+001,3.832021E+001
7,02/28/07 00:39,2.365000E+001,3.933076E-001,3.862209E+001,4.934611E+001
7,11/14/07 04:52,5.441938E+001,8.895180E+000,2.374131E+001,-2.286243E+001
7,12/08/07 04:07,2.838706E+001,1.597642E+001,1.928814E+001,2.904785E+001
7,12/26/07 03:31,2.663622E+001,2.053230E+001,1.379189E+001,2.314697E+002
7,01/01/08 03:23,5.877520E+001,3.184905E+001,1.797857E+001,1.506985E+001
7,01/07/08 03:04,6.544278E+001,2.504439E+001,1.014483E+001,1.628146E+002
7,01/13/08 03:21,1.162120E+002,3.287210E+001,2.929080E+000,-3.308435E+001
7,01/19/08 02:55,1.328931E+002,2.023179E+001,8.706675E+000,2.380207E+002
7,01/31/08 03:32,1.655334E+001,2.952744E+001,-5.165461E-001,5.401620E+002
7,02/06/08 03:36,9.012982E+001,6.137435E+000,1.851092E+001,6.397674E+001
7,02/18/08 02:24,8.952958E+001,-2.848089E+000,3.428581E+001,4.805742E+001
7,02/24/08 01:52,1.547006E+002,-1.991057E+000,3.333167E+000,2.433475E+001
