
Factor Profiles (conc. of species) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
7,mass,4.055700E+001,2.135800E+001,1.579700E+001,1.654300E+002
7,Na,0.000000E+000,3.350100E-002,2.330000E-001,0.000000E+000
7,Mg,3.870800E-001,0.000000E+000,2.522600E-001,1.122300E+000
7,Al,2.058900E+000,9.172200E-001,1.435200E+000,7.413800E+000
7,Si,5.542200E+000,1.628500E+000,3.207500E+000,1.977400E+001
7,P,3.931200E-004,3.066200E-002,1.109000E-002,2.168000E-002
7,S,2.138600E-001,4.837200E-001,3.627500E-001,1.838900E-001
7,Cl,3.063500E-001,1.988100E-001,8.849800E-001,6.522200E-001
7,K,6.601400E-001,6.782900E-001,3.323400E-001,2.098100E+000
7,Ca,1.018600E+000,3.131900E-001,6.302000E-001,4.018000E+000
7,Ti,1.435300E-001,6.085700E-002,7.144800E-002,6.296200E-001
7,V,2.584700E-003,1.516100E-003,1.349900E-003,1.017100E-002
7,Mn,2.462200E-002,6.698700E-003,8.553000E-003,1.079200E-001
7,Fe,1.331800E+000,6.807700E-001,5.654500E-001,5.788100E+000
7,Zn,1.073200E-002,2.030900E-002,9.932900E-003,3.715600E-002
7,Br,2.733600E-002,1.265600E-002,9.196900E-012,9.473800E-009
7,Pb,6.210800E-003,9.144600E-003,4.298300E-003,1.430300E-002

Factor Profiles (% of species sum) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
7,mass,1.668038E+001,8.784167E+000,6.497026E+000,6.803843E+001
7,Na,0.000000E+000,1.257068E+001,8.742931E+001,0.000000E+000
7,Mg,2.197271E+001,0.000000E+000,1.431961E+001,6.370768E+001
7,Al,1.741124E+001,7.756538E+000,1.213688E+001,6.269535E+001
7,Si,1.838075E+001,5.400933E+000,1.063770E+001,6.558062E+001
7,P,6.159331E-001,4.804065E+001,1.737560E+001,3.396782E+001
7,S,1.718828E+001,3.887737E+001,2.915481E+001,1.477954E+001
7,Cl,1.499980E+001,9.734327E+000,4.333125E+001,3.193462E+001
7,K,1.751559E+001,1.799717E+001,8.818027E+000,5.566920E+001
7,Ca,1.703347E+001,5.237300E+000,1.053848E+001,6.719075E+001
7,Ti,1.585170E+001,6.721151E+000,7.890840E+000,6.953631E+001
7,V,1.654557E+001,9.705090E+000,8.641185E+000,6.510815E+001
7,Mn,1.665971E+001,4.532466E+000,5.787121E+000,7.302071E+001
7,Fe,1.591897E+001,8.137225E+000,6.758808E+000,6.918500E+001
7,Zn,1.373610E+001,2.599389E+001,1.271332E+001,4.755670E+001
7,Br,6.835365E+001,3.164632E+001,2.299684E-008,2.368923E-005
7,Pb,1.829035E+001,2.693018E+001,1.265818E+001,4.212129E+001

Factor Profiles (% of total variable) from Base Run #7 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
7,mass,*,*,*,*
7,Na,0.000000E+000,1.568546E-001,1.474964E+000,0.000000E+000
7,Mg,9.544098E-001,0.000000E+000,1.596885E+000,6.784138E-001
7,Al,5.076559E+000,4.294503E+000,9.085269E+000,4.481533E+000
7,Si,1.366521E+001,7.624778E+000,2.030449E+001,1.195309E+001
7,P,9.693025E-004,1.435621E-001,7.020320E-002,1.310524E-002
7,S,5.273073E-001,2.264819E+000,2.296322E+000,1.111588E-001
7,Cl,7.553567E-001,9.308456E-001,5.602203E+000,3.942574E-001
7,K,1.627684E+000,3.175812E+000,2.103817E+000,1.268271E+000
7,Ca,2.511527E+000,1.466383E+000,3.989365E+000,2.428822E+000
7,Ti,3.538970E-001,2.849377E-001,4.522884E-001,3.805960E-001
7,V,6.373006E-003,7.098511E-003,8.545293E-003,6.148220E-003
7,Mn,6.070962E-002,3.136389E-002,5.414319E-002,6.523605E-002
7,Fe,3.283773E+000,3.187424E+000,3.579477E+000,3.498821E+000
7,Zn,2.646152E-002,9.508849E-002,6.287839E-002,2.246026E-002
7,Br,6.740143E-002,5.925648E-002,5.821928E-011,5.726773E-009
7,Pb,1.531376E-002,4.281581E-002,2.720960E-002,8.645953E-003
