
Residuals from Base Run #7 (Convergent Run)

Base_Run,Date_Time,mass,Na,Mg,Al,Si,P,S,Cl,K,Ca,Ti,V,Mn,Fe,Zn,Br,Pb
7,11/12/06 04:19,-1.817000E+001,-2.545000E-002,2.379000E-001,8.084000E-001,2.925000E+000,2.262000E-003,6.551000E-002,-1.947000E-001,-2.514000E-001,1.524000E-001,-2.864000E-002,-2.086000E-004,-3.008000E-003,-2.676000E-001,-5.909000E-004,-1.658000E-004,2.090000E-003
7,11/14/06 03:18,-1.074000E+001,-1.184000E-001,1.400000E-001,7.135000E-001,2.200000E+000,1.216000E-002,-3.421000E-002,-5.547000E-003,-1.548000E-001,6.298000E-002,-2.899000E-002,-4.531000E-004,-1.367000E-003,-1.244000E-001,-4.939000E-004,1.556000E-004,4.585000E-003
7,11/16/06 04:08,2.910000E-001,-1.097000E-001,1.691000E-001,3.327000E-001,1.977000E+000,1.424000E-002,-2.190000E-003,-2.922000E-002,-1.282000E-001,2.811000E-001,-4.171000E-002,-6.819000E-004,-1.476000E-003,-1.214000E-001,-6.435000E-003,-1.581000E-005,2.961000E-003
7,11/18/06 04:01,-5.608000E+000,-1.014000E-002,8.398000E-002,5.587000E-001,1.894000E+000,1.765000E-002,-4.405000E-002,-1.294000E-002,-1.404000E-001,-3.741000E-002,-1.921000E-002,-1.650000E-003,3.458000E-003,1.918000E-002,-3.611000E-003,2.204000E-004,-4.763000E-004
7,11/20/06 03:11,-1.044000E+001,-1.627000E-001,1.708000E-001,7.327000E-001,2.013000E+000,-5.872000E-004,1.936000E-002,-1.087000E-002,-1.754000E-001,-2.088000E-001,-2.052000E-002,-1.048000E-003,-6.948000E-004,-1.197000E-001,3.609000E-003,-2.098000E-004,4.784000E-004
7,11/22/06 03:22,1.678000E+000,-2.835000E-002,7.912000E-002,-5.187000E-002,5.324000E-001,1.275000E-003,-1.179000E-001,1.004000E-001,-1.168000E-002,-1.479000E-002,-3.640000E-002,1.255000E-004,-9.171000E-004,-1.901000E-001,1.617000E-002,4.466000E-004,-6.191000E-004
7,11/24/06 03:10,-2.630000E+000,-5.700000E-002,1.099000E-001,2.699000E-003,3.966000E-001,1.069000E-002,-4.857000E-002,6.291000E-002,3.163000E-001,-6.271000E-002,-3.855000E-002,-9.444000E-004,2.065000E-003,1.197000E-002,-5.546000E-003,-1.785000E-005,8.462000E-004
7,11/26/06 03:04,-4.655000E+000,-7.139000E-003,-2.805000E-002,1.149000E-001,1.837000E-001,1.078000E-002,-1.069000E-001,9.443000E-002,-4.911000E-002,9.428000E-002,-8.435000E-003,-6.208000E-004,1.102000E-003,-4.305000E-002,3.550000E-003,1.564000E-003,-1.952000E-003
7,11/28/06 03:01,2.814000E-001,6.502000E-002,-3.635000E-002,-4.333000E-003,-2.207000E-001,1.353000E-002,-5.470000E-002,5.653000E-003,-1.605000E-001,1.717000E-001,2.118000E-003,-6.863000E-005,1.738000E-003,5.140000E-002,-1.849000E-003,6.354000E-003,-3.092000E-003
7,12/04/06 05:21,9.362000E-002,4.243000E-002,6.578000E-002,-2.108000E-001,-2.459000E-001,-1.465000E-003,6.366000E-002,-4.390000E-002,-1.330000E-001,3.477000E-001,-2.353000E-002,-6.459000E-004,-7.792000E-004,5.675000E-002,1.505000E-003,-9.521000E-004,4.810000E-003
