**** Run Comparison Statistics ****

Concentration of Species,Lowest Q (Robust) Run = Run 7

Factor 1,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 40.55700,  5.24630, 10.60330, 22.67200, 33.06625, 42.52600, 22.89628, 12.26286,  0.53558,  0.30236
Na,  0.00000,  0.00000,  0.00000,  0.00000,  0.01558,  0.02977,  0.00655,  0.01176,  1.79543,  0.00000
Mg,  0.38708,  0.10837,  0.18336,  0.24941,  0.30957,  0.41493,  0.24997,  0.09349,  0.37399,  0.24151
Al,  2.05890,  0.42052,  0.77776,  1.22710,  1.68468,  2.21540,  1.26308,  0.55198,  0.43702,  0.26810
Si,  5.54220,  1.06880,  1.98945,  3.27535,  4.47108,  5.85260,  3.32710,  1.51900,  0.45655,  0.27408
P,  0.00039,  0.00000,  0.00000,  0.00023,  0.00298,  0.00425,  0.00120,  0.00163,  1.35393,  4.14152
S,  0.21386,  0.19362,  0.20517,  0.22964,  0.25936,  0.35269,  0.23777,  0.04185,  0.17603,  0.19571
Cl,  0.30635,  0.14416,  0.21682,  0.25033,  0.29262,  0.37018,  0.25319,  0.05574,  0.22013,  0.18194
K,  0.66014,  0.24113,  0.34554,  0.45638,  0.58987,  0.80898,  0.47247,  0.14815,  0.31356,  0.22442
Ca,  1.01860,  0.12410,  0.28944,  0.56675,  0.81073,  1.03750,  0.57103,  0.30389,  0.53219,  0.29834
Ti,  0.14353,  0.00789,  0.02780,  0.07512,  0.11409,  0.14402,  0.07489,  0.04677,  0.62455,  0.32589
V,  0.00258,  0.00042,  0.00080,  0.00149,  0.00213,  0.00277,  0.00152,  0.00074,  0.48923,  0.28778
Mn,  0.02462,  0.00014,  0.00409,  0.01270,  0.01928,  0.02475,  0.01243,  0.00825,  0.66369,  0.33510
Fe,  1.33180,  0.10069,  0.28205,  0.70985,  1.07243,  1.35510,  0.71119,  0.42713,  0.60058,  0.32072
Zn,  0.01073,  0.00447,  0.00688,  0.00764,  0.01042,  0.01434,  0.00834,  0.00234,  0.28082,  0.21812
Br,  0.02734,  0.02426,  0.02521,  0.02661,  0.02850,  0.04010,  0.02743,  0.00344,  0.12558,  0.12599
Pb,  0.00621,  0.00365,  0.00468,  0.00498,  0.00607,  0.00862,  0.00534,  0.00106,  0.19832,  0.17046

Factor 2,,Statistics Over All Runs
,Lowest Q,Min,25th,50th,75th,Max,Mean    ,Std Dev,RSD % mean,RSD % Lowest Q
mass, 21.35800, 21.35800, 33.82950, 54.32050, 68.71600, 76.33300, 51.17705, 18.32032,  0.35798,  0.85777
Na,  0.03350,  0.00000,  0.00000,  0.00000,  0.02011,  0.04117,  0.00869,  0.01565,  1.80015,  0.46714
Mg,  0.00000,  0.00000,  0.00000,  0.07588,  0.20026,  0.25789,  0.09519,  0.10058,  1.05660,  0.00000
