
Factor Contributions (avg = 1) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
12,11/12/06 03:20,7.693700E-001,9.939900E-001,-2.000000E-001,2.250600E+000
12,11/14/06 02:25,6.444300E-001,1.547300E+000,-1.760500E-001,2.555900E+000
12,11/16/06 03:20,9.711000E-001,7.913300E-001,-6.712600E-002,2.031200E+000
12,11/18/06 03:18,1.191100E+000,7.955300E-001,1.895200E-001,1.668300E+000
12,11/20/06 02:28,7.275800E-001,9.048300E-001,1.750200E-001,2.110100E+000
12,11/22/06 02:36,6.649200E-001,1.593500E+000,1.042900E+000,1.873400E+000
12,11/24/06 02:30,1.444000E+000,1.030100E+000,2.274300E-001,1.851700E+000
12,11/26/06 02:31,7.247900E-001,9.865800E-001,1.804400E+000,1.262200E+000
12,11/28/06 02:26,1.514700E+000,1.004400E-001,1.474300E+000,7.704100E-001
12,11/30/06 02:31,2.112600E+000,3.915300E-001,8.488400E-001,5.554100E-001
12,12/02/06 02:40,1.702700E+000,3.123200E-001,1.111400E+000,1.380000E-001
12,12/04/06 02:53,1.798800E+000,3.520900E-001,3.237400E+000,7.018800E-001
12,12/06/06 02:55,2.882200E+000,-2.000000E-001,1.074400E+000,1.779900E+000
12,12/08/06 02:45,1.899100E+000,-2.000000E-001,3.140500E+000,1.492600E+000
12,12/10/06 02:48,2.115100E+000,5.295800E-001,1.782200E+000,1.605800E+000
12,12/12/06 02:49,1.477500E+000,4.508700E-001,1.623300E+000,1.472800E+000
12,12/14/06 02:50,1.448900E+000,2.647600E-001,3.780700E+000,1.322000E+000
12,12/16/06 02:39,1.422800E+000,3.670900E-002,3.014900E+000,1.109600E+000
12,12/18/06 02:36,1.428400E+000,8.735100E-001,1.207300E+000,1.082500E+000
12,12/20/06 02:55,1.879700E+000,5.972100E-001,1.915900E+000,7.849000E-001
12,12/22/06 02:57,1.508300E+000,1.331400E+000,8.452800E-001,8.322500E-001
12,12/24/06 04:00,1.747200E+000,9.006400E-001,1.581700E+000,4.672800E-001
12,12/26/06 02:52,1.550200E+000,5.157600E-001,4.219000E+000,4.465900E-001
12,12/28/06 02:53,1.603000E+000,9.330700E-001,2.637200E+000,3.045900E-001
12,12/30/06 03:04,2.287400E+000,1.584800E+000,1.137400E+000,6.771400E-001
12,01/01/07 03:27,1.077100E+000,-2.000000E-001,4.250500E+000,4.246100E+000
12,01/03/07 03:25,-6.735800E-003,-1.542500E-001,-2.000000E-001,1.260700E+001
12,01/05/07 02:58,-2.000000E-001,4.101300E-001,5.918700E-001,1.365700E+001
12,01/07/07 02:53,9.838100E-001,1.554500E-001,1.234500E+000,6.573200E+000
12,01/09/07 02:25,9.076600E-001,-2.000000E-001,3.791400E-001,7.645300E+000
12,01/11/07 02:28,1.434900E+000,-2.000000E-001,2.544200E+000,4.618800E+000
12,01/13/07 02:51,8.424300E-001,-2.000000E-001,5.636200E-001,8.176000E+000
12,01/15/07 02:43,1.736900E+000,-9.133000E-002,4.960300E-001,2.158900E+001
12,01/17/07 02:40,1.285900E+000,1.728500E-001,1.275600E+000,6.394900E+000
12,01/19/07 03:06,9.620400E-001,-1.433300E-001,6.841600E-001,1.038100E+001
12,01/21/07 02:59,7.952300E-001,6.210900E-001,2.037700E+000,6.397700E+000
12,01/23/07 05:16,1.198000E+000,6.303900E-001,2.672500E-001,4.987800E+000
12,01/25/07 03:02,7.129200E-001,1.117100E+000,2.111400E+000,2.796900E+000
12,01/27/07 02:55,1.145200E+000,5.894300E-001,2.562000E-001,2.058400E+000
12,01/29/07 03:00,2.048300E+000,5.184300E-001,5.225700E-001,2.085100E+000
12,01/31/07 02:59,1.432100E+000,4.777700E-001,1.518100E+000,7.049500E-001
12,02/02/07 02:41,1.381900E+000,7.594100E-001,9.207600E-001,8.713200E-001
12,02/04/07 02:45,1.263200E+000,8.679400E-001,6.166500E-001,8.676600E-001
12,02/06/07 02:47,7.789100E-001,1.880600E+000,1.040400E+000,5.072200E-001
12,02/08/07 02:47,7.778100E-001,2.055100E+000,1.988500E-001,4.732000E-001
12,02/10/07 02:43,9.626800E-001,1.798600E+000,6.165400E-001,4.463800E-001
12,02/12/07 02:42,7.315200E-001,1.346500E+000,1.418900E+000,2.953400E-001
12,02/14/07 02:34,1.343600E+000,3.682000E-001,1.172200E+000,2.759200E-001
12,02/16/07 02:20,1.387000E+000,6.921000E-001,3.405000E-001,8.832200E-001
12,02/18/07 02:08,1.309200E+000,1.939000E+000,2.912900E-001,1.019100E+000
12,02/20/07 02:12,2.496400E-001,2.987200E+000,2.320400E-001,9.817900E-001
12,02/22/07 02:11,8.860600E-001,1.642000E+000,6.698600E-001,3.818000E-001
12,02/24/07 02:17,1.524900E+000,6.824400E-001,1.278700E+000,5.609700E-001
12,02/26/07 00:17,1.080700E+000,8.548700E-001,8.886700E-001,6.914500E-001
12,02/28/07 00:09,1.206200E+000,6.859700E-001,3.315400E-001,8.365200E-001
12,03/02/07 00:06,1.183100E+000,4.262500E-001,7.175200E-001,7.324300E-001
12,03/04/07 00:26,8.410500E-001,6.150200E-001,5.257000E-001,1.876600E+000
12,03/06/07 00:33,2.547700E-001,1.247300E+000,1.117600E+000,2.838000E+000
12,03/08/07 00:13,6.630400E-001,1.279700E+000,8.402400E-002,1.430100E+000
12,03/10/07 00:11,7.487500E-001,1.044900E+000,1.683200E-001,1.335000E+000
12,03/12/07 00:18,6.129100E-001,1.441200E+000,6.443200E-001,1.010100E+000
12,03/16/07 00:10,1.165400E+000,1.509200E+000,2.359500E-001,6.081900E-001
12,03/18/07 00:15,9.367000E-001,8.643000E-001,4.643300E-001,3.143500E-001
12,03/20/07 00:26,5.818400E-001,1.401000E+000,1.167400E+000,8.748500E-001
12,03/22/07 00:21,7.417500E-001,8.983400E-001,1.158100E+000,8.958100E-001
12,03/24/07 00:07,6.909100E-001,1.207500E+000,4.856400E-001,5.294400E-001
12,03/26/07 00:47,1.218500E+000,1.460200E+000,1.358300E-002,1.009300E-001
12,03/28/07 00:47,1.234900E+000,8.573100E-001,7.757000E-001,-4.599000E-003
12,03/30/07 00:36,1.167600E+000,9.245700E-001,6.434800E-001,1.214200E-001
12,04/01/07 00:27,6.766300E-001,9.403700E-001,1.454300E-001,9.529800E-002
12,04/03/07 00:30,1.017500E+000,8.962000E-001,1.939100E-001,3.375400E-002
12,04/05/07 00:29,8.586500E-001,7.448400E-001,2.658800E-001,1.388600E-001
12,04/07/07 00:12,1.063400E+000,5.920700E-001,6.622100E-001,7.929800E-002
12,04/09/07 00:30,1.125000E+000,5.666400E-001,6.705300E-001,1.152300E-001
12,04/11/07 00:36,7.176700E-001,7.896500E-001,4.048200E-001,7.898700E-002
12,04/13/07 00:28,8.662900E-001,1.049000E+000,1.452800E+000,1.862800E-001
12,04/15/07 00:33,6.652800E-001,1.166100E+000,4.839100E-001,2.919500E-001
12,04/17/07 00:38,9.094900E-001,1.324700E+000,8.226000E-002,2.156200E-001
12,04/19/07 00:42,9.015300E-001,1.145900E+000,8.836500E-001,2.825100E-001
12,04/21/07 00:40,5.678000E-001,1.714400E+000,4.345500E-001,3.728600E-001
12,04/23/07 00:42,1.019200E+000,6.911900E-001,3.541200E-001,1.620100E-001
12,04/25/07 00:54,6.436600E-001,1.628600E+000,7.647400E-001,1.441800E-001
12,04/27/07 00:45,6.827000E-001,8.118900E-001,8.258100E-002,8.304400E-002
12,04/29/07 00:52,7.559000E-001,7.603600E-001,5.960700E-001,5.121800E-002
12,05/01/07 00:57,9.512100E-001,7.762300E-001,4.381100E-001,1.183700E-001
12,05/03/07 01:03,8.751100E-001,5.945100E-001,8.698800E-001,1.094400E-001
12,05/05/07 00:59,6.400600E-001,1.364700E+000,2.691800E-001,1.783500E-001
12,05/07/07 00:57,6.373300E-001,1.145400E+000,8.430000E-002,1.376300E-001
12,05/09/07 00:57,1.232100E+000,5.461900E-001,3.394100E-001,1.142300E-001
12,05/11/07 01:03,1.226900E+000,5.247200E-001,3.689700E-001,-2.656700E-002
12,05/13/07 01:04,8.479200E-001,6.846000E-001,4.486700E-001,2.565300E-001
12,05/15/07 01:10,6.978000E-001,7.091000E-001,2.054300E-001,2.922400E-001
