
Factor Profiles (conc. of species) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
12,mass,2.105800E+001,7.169800E+000,2.391000E+000,3.747200E+001
12,Na,2.389600E-002,1.874400E-001,3.059200E-002,0.000000E+000
12,Mg,3.980700E-002,8.016800E-003,1.878800E-002,3.826000E-001
12,Al,5.302300E-001,5.022500E-003,3.563400E-002,2.672100E+000
12,Si,1.102000E+000,0.000000E+000,6.454700E-002,5.818000E+000
12,P,1.159800E-002,1.679600E-003,4.841900E-003,9.224100E-003
12,S,2.840100E-001,1.337900E-001,2.356400E-001,9.898600E-002
12,Cl,0.000000E+000,3.785400E-001,0.000000E+000,2.319600E-001
12,K,5.299600E-001,1.977400E-001,1.682800E-001,6.034200E-001
12,Ca,2.471000E-001,5.011600E-002,2.620200E-002,9.555300E-001
12,Ti,3.645800E-002,1.766100E-003,1.502200E-003,1.754600E-001
12,V,1.129400E-003,3.986500E-004,8.388400E-005,2.588200E-003
12,Mn,7.326400E-003,1.058100E-003,9.255300E-005,2.458800E-002
12,Fe,3.687700E-001,2.783300E-002,0.000000E+000,1.485400E+000
12,Zn,1.679700E-002,8.614600E-003,2.973500E-003,9.796100E-003
12,Br,0.000000E+000,6.388600E-003,1.599800E-002,2.608700E-003
12,Pb,8.056700E-003,4.873200E-003,1.810200E-003,4.016400E-003
12,BC,2.284900E+000,1.008500E+000,2.765900E-003,2.139500E-001

Factor Profiles (% of species sum) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
12,mass,3.092635E+001,1.052976E+001,3.511487E+000,5.503240E+001
12,Na,9.877319E+000,7.747760E+001,1.264508E+001,0.000000E+000
12,Mg,8.861522E+000,1.784637E+000,4.182437E+000,8.517140E+001
12,Al,1.635005E+001,1.548727E-001,1.098802E+000,8.239627E+001
12,Si,1.577769E+001,0.000000E+000,9.241401E-001,8.329817E+001
12,P,4.241578E+001,6.142571E+000,1.770762E+001,3.373404E+001
12,S,3.774590E+001,1.778115E+001,3.131737E+001,1.315558E+001
12,Cl,0.000000E+000,6.200491E+001,0.000000E+000,3.799509E+001
12,K,3.534480E+001,1.318794E+001,1.122316E+001,4.024410E+001
12,Ca,1.932057E+001,3.918533E+000,2.048715E+000,7.471219E+001
12,Ti,1.694253E+001,8.207307E-001,6.980928E-001,8.153865E+001
12,V,2.688962E+001,9.491364E+000,1.997174E+000,6.162185E+001
12,Mn,2.215753E+001,3.200055E+000,2.799118E-001,7.436250E+001
12,Fe,1.959455E+001,1.478903E+000,0.000000E+000,7.892654E+001
12,Zn,4.399286E+001,2.256241E+001,7.787864E+000,2.565687E+001
12,Br,0.000000E+000,2.555921E+001,6.400404E+001,1.043676E+001
12,Pb,4.295417E+001,2.598139E+001,9.651054E+000,2.141338E+001
12,BC,6.509472E+001,2.873125E+001,7.879797E-002,6.095240E+000

Factor Profiles (% of total variable) from Base Run #12 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
12,mass,*,*,*,*
12,Na,1.134771E-001,2.614299E+000,1.279465E+000,0.000000E+000
12,Mg,1.890350E-001,1.118134E-001,7.857800E-001,1.021029E+000
12,Al,2.517951E+000,7.005077E-002,1.490339E+000,7.130924E+000
12,Si,5.233166E+000,0.000000E+000,2.699582E+000,1.552626E+001
12,P,5.507645E-002,2.342604E-002,2.025052E-001,2.461598E-002
12,S,1.348704E+000,1.866021E+000,9.855290E+000,2.641599E-001
12,Cl,0.000000E+000,5.279645E+000,0.000000E+000,6.190222E-001
12,K,2.516668E+000,2.757957E+000,7.038059E+000,1.610322E+000
12,Ca,1.173426E+000,6.989874E-001,1.095860E+000,2.549984E+000
12,Ti,1.731313E-001,2.463249E-002,6.282727E-002,4.682429E-001
12,V,5.363282E-003,5.560127E-003,3.508323E-003,6.907024E-003
12,Mn,3.479153E-002,1.475773E-002,3.870891E-003,6.561700E-002
12,Fe,1.751211E+000,3.881977E-001,0.000000E+000,3.964026E+000
12,Zn,7.976541E-002,1.201512E-001,1.243622E-001,2.614245E-002
12,Br,0.000000E+000,8.910430E-002,6.690924E-001,6.961731E-003
12,Pb,3.825957E-002,6.796842E-002,7.570891E-002,1.071840E-002
12,BC,1.085051E+001,1.406594E+001,1.156796E-001,5.709596E-001
