
Factor Contributions (avg = 1) from Base Run #10 (Convergent Run)

,,Factor 1,Factor 2,Factor 3,Factor 4
10,11/14/06 02:25,2.516200E+000,6.177300E-001,6.894000E-001,2.908900E-001
10,11/16/06 03:20,1.541200E+000,5.468500E-001,7.835900E-001,1.796100E-001
10,11/18/06 03:18,1.302000E+000,4.479300E-001,8.526100E-001,2.980700E-001
10,11/20/06 02:28,1.488400E+000,5.855000E-001,6.694100E-001,3.107900E-001
10,11/22/06 02:36,2.026700E+000,3.658400E-001,7.764200E-001,9.213600E-001
10,11/24/06 02:30,1.599500E+000,4.668000E-001,1.060500E+000,3.701400E-001
10,11/26/06 02:31,1.331300E+000,1.811600E-001,7.606800E-001,1.267800E+000
10,11/28/06 02:26,2.360800E-001,2.027700E-001,9.897500E-001,7.897600E-001
10,11/30/06 02:31,5.019000E-001,5.087000E-002,1.530700E+000,4.804800E-001
10,12/04/06 02:53,5.926900E-001,1.643200E-003,1.410500E+000,1.733200E+000
10,12/06/06 02:55,-1.812700E-001,7.477300E-001,1.723300E+000,4.836400E-001
10,12/08/06 02:45,-1.097900E-002,4.737700E-001,1.406200E+000,1.445000E+000
10,12/10/06 02:48,8.938300E-001,3.601400E-001,1.709400E+000,9.635800E-001
10,12/12/06 02:49,7.090000E-001,3.757200E-001,1.224100E+000,8.608600E-001
10,12/14/06 02:50,6.422500E-001,2.213000E-001,1.153300E+000,2.301400E+000
10,12/16/06 02:39,3.034900E-001,2.400700E-001,1.180600E+000,1.418200E+000
10,12/18/06 02:36,1.151200E+000,1.275900E-001,1.330500E+000,7.585300E-001
10,12/20/06 02:55,8.159800E-001,3.637800E-002,1.576700E+000,1.000600E+000
10,12/22/06 02:57,1.698500E+000,-8.385900E-002,1.547500E+000,6.903700E-001
10,12/24/06 04:00,1.090000E+000,-1.411700E-001,1.552200E+000,9.080100E-001
10,12/26/06 02:52,7.944200E-001,-2.000000E-001,1.529600E+000,2.014500E+000
10,12/30/06 03:04,1.965600E+000,-1.990600E-001,1.894600E+000,8.703000E-001
10,01/01/07 03:27,-1.794000E-001,1.729400E+000,8.374700E-001,2.136000E+000
